,book,team1,highest_ev,team1_ev,team1_p,team1_spread,team1_book_odds,team2,team2_ev,team2_p,team2_spread,team2_book_odds
23,draftkings,St. Bonaventure,302.5735294117647,302.5735294117647,0.5367647058823529,0.7798824310302734,650,VCU,-49.04411764705882,0.4632352941176471,-0.7798824310302734,-1000
22,fanduel,St. Bonaventure,281.1029411764706,281.1029411764706,0.5367647058823529,0.7798824310302734,610,VCU,-48.80030959752322,0.4632352941176471,-0.7798824310302734,-950
58,fanduel,Alabama,137.49999999999997,-16.583333333333332,0.8020833333333334,1.15625,-2500,LSU,137.49999999999997,0.19791666666666666,-1.15625,1100
36,fanduel,Boston College,110.7843137254902,110.7843137254902,0.14052287581699346,29.359375,1400,North Carolina,-11.903594771241824,0.8594771241830066,-29.359375,-4000
55,fanduel,Florida St.,95.41666666666666,95.41666666666666,0.7291666666666666,-5.0,168,Stanford,-59.705284552845534,0.2708333333333333,5.0,-205
45,fanduel,TCU,81.40625,81.40625,0.703125,-1.749725341796875,158,UCF,-54.850260416666664,0.296875,1.749725341796875,-192
18,fanduel,Michigan,65.26829268292684,65.26829268292684,0.6829268292682927,24.51745986938478,142,Purdue,-50.277161862527706,0.3170731707317073,-24.51745986938478,-176
19,draftkings,Michigan,63.90243902439026,63.90243902439026,0.6829268292682927,24.51745986938478,140,Purdue,-49.19188950925653,0.3170731707317073,-24.51745986938478,-166
5,draftkings,Chicago St.,59.016393442622956,59.016393442622956,0.3180327868852459,3.25,400,Stonehill,-19.056227976099283,0.6819672131147541,-3.25,-535
57,fanduel,UConn,52.81699346405229,52.81699346405229,0.7418300653594772,5.02087211608886,106,Xavier,-54.013480392156865,0.2581699346405229,-5.02087211608886,-128
53,draftkings,Houston,50.78125,50.78125,0.75390625,-5.884462356567383,100,Kansas,-54.8828125,0.24609375,5.884462356567383,-120
4,fanduel,Chicago St.,47.88524590163935,47.88524590163935,0.3180327868852459,3.25,365,Stonehill,-17.885580461692875,0.6819672131147541,-3.25,-490
40,fanduel,Arizona,47.65625,-9.35546875,0.86328125,-25.06902313232422,-2000,Colorado,47.65625,0.13671875,25.06902313232422,980
52,fanduel,Houston,47.19122023809523,47.19122023809523,0.75390625,-5.884462356567383,-105,Kansas,-53.803453947368425,0.24609375,5.884462356567383,-114
9,draftkings,LIU,44.17254901960784,44.17254901960784,0.7137254901960784,2.5416812896728516,102,Saint Francis,-47.907425265188046,0.28627450980392155,-2.5416812896728516,-122
8,fanduel,LIU,42.74509803921569,42.74509803921569,0.7137254901960784,2.5416812896728516,100,Saint Francis,-47.51633986928105,0.28627450980392155,-2.5416812896728516,-120
28,fanduel,Georgetown,40.68627450980391,40.68627450980391,0.6699346405228758,-8.69354248046875,110,Providence,-41.98851257674788,0.3300653594771242,8.69354248046875,-132
41,fanduel,New Mexico,38.062283737024224,38.062283737024224,0.7750865051903114,-14.762901306152344,-128,UNLV,-53.66782006920415,0.22491349480968859,14.762901306152344,106
