year,team
2022,Akron
2022,Alabama
2022,Arizona
2022,Arkansas
2022,Auburn
2022,Baylor
2022,"Boise St."
2022,Bryant
2022,"Cal St. Fullerton"
2022,Chattanooga
2022,Colgate
2022,"Colorado St."
2022,Creighton
2022,Davidson
2022,Delaware
2022,Duke
2022,"Georgia St."
2022,Gonzaga
2022,Houston
2022,Illinois
2022,Indiana
2022,Iowa
2022,"Iowa St."
2022,"Jacksonville St."
2022,Kansas
2022,Kentucky
2022,Longwood
2022,"Loyola Chicago"
2022,LSU
2022,Marquette
2022,Memphis
2022,"Miami (FL)"
2022,Michigan
2022,"Michigan St."
2022,"Montana St."
2022,"Murray St."
2022,"New Mexico St."
2022,"Norfolk St."
2022,"North Carolina"
2022,"Notre Dame"
2022,"Ohio St."
2022,Providence
2022,Purdue
2022,Richmond
2022,Rutgers
2022,"Saint Mary's"
2022,"Saint Peter's"
2022,"San Diego St."
2022,"San Francisco"
2022,"Seton Hall"
2022,"South Dakota St."
2022,TCU
2022,Tennessee
2022,Texas
2022,"Texas A&M-CC"
2022,"Texas Southern"
2022,"Texas Tech"
2022,UAB
2022,UCLA
2022,UConn
2022,USC
2022,Vermont
2022,Villanova
2022,"Virginia Tech"
2022,Wisconsin
2022,"Wright St."
2022,Wyoming
2022,Yale
