,year,team,nickname
786,2025,Spalding,Golden Eagles
787,2025,Spring Hill,Badgers
788,2025,Springfield,Pride
789,2025,St. Anselm,Hawks
790,2025,St. Augustine's,Falcons
791,2025,St. Bonaventure,Bonnies
792,2025,St. Cloud State,Huskies
793,2025,St. Edward's,Hilltoppers
794,2025,St. Elizabeth,Eagles
795,2025,St. John Fisher,Cardinals
796,2025,St. John's (NY),Red Storm
797,2025,St. Joseph's (Brkln),Bears
798,2025,St. Joseph's (L.I.),Golden Eagles
799,2025,St. Joseph's (Me.),Monks
800,2025,St. Lawrence,Saints
801,2025,Saint-Mary's (CA),Gaels
802,2025,Saint-Mary's (MD),Seahawks
803,2025,Saint Mary's (Minn.),Cardinals
804,2025,St. Mary's (TX),Rattlers
805,2025,St. Norbert,Green Knights
806,2025,St. Olaf,Oles
807,2025,Saint Peter's ,Peacocks
808,2025,St. Scholastica,Saints
809,2025,St. Thomas Aquinas,Spartans
810,2025,St. Thomas (MN),Tommies
811,2025,St. Thomas Houston,Celts
812,2025,Stanford,Cardinal
813,2025,Staten Island,Dolphins
814,2025,Stephen F. Austin,Lumberjacks
815,2025,Stetson,Hatters
816,2025,Stevens ,Ducks
817,2025,Stevenson,Mustangs
818,2025,Stonehill,Skyhawks
819,2025,Stony Brook,Seawolves
820,2025,Suffolk,Rams
821,2025,Sul Ross St.,Lobos
822,2025,SUNY Canton,Kangaroos (Roos)
823,2025,SUNY Cortland,Red Dragons
824,2025,SUNY Delhi ,Broncos
825,2025,SUNY Geneseo,Knights
826,2025,SUNY Maritime,Privateers
827,2025,SUNY New Paltz,Hawks
828,2025,SUNY Potsdam,Bears
829,2025,SUNY Poly,Wildcats
830,2025,Susquehanna,River Hawks
831,2025,Swarthmore,Garnet
832,2025,Syracuse,Orange
833,2025,Tampa,Spartans
834,2025,Tarleton St.,Texans
835,2025,TCNJ,Lions
836,2025,TCU,Horned Frogs
837,2025,Temple,Owls
838,2025,Tennessee,Volunteers
839,2025,Tennessee St.,Tigers
840,2025,Tennessee Tech,Golden Eagles
841,2025,Tex. A&M Int'l,Dustdevils
842,2025,Tex. A&M-Kingsville,Javelinas
843,2025,Texas of the Permian Basin,Falcons
844,2025,Texas,Longhorns
845,2025,Texas A&M,Aggies
846,2025,Texas at Arlington,Mavericks
847,2025,Texas at Dallas,Comets
848,2025,Texas Lutheran,Bulldogs
849,2025,Texas Southern,Tigers
850,2025,Texas St.,Bobcats
851,2025,Texas Tech,Red Raiders
852,2025,Texas at Tyler,Patriots
853,2025,Thiel,Tomcats
854,2025,Thomas (ME),Terriers
855,2025,Thomas More,Saints
856,2025,Tiffin,Dragons
857,2025,Toledo,Rockets
858,2025,Towson,Tigers
859,2025,Transylvania,Pioneers
860,2025,Trevecca Nazarene,Trojans
861,2025,Trine,Thunder
862,2025,Trinity (CT),Bantams
863,2025,Trinity (TX),Tigers
864,2025,Troy,Trojans
865,2025,Truman,Bulldogs
866,2025,Tufts,Jumbos
867,2025,Tulane,Green Wave
868,2025,Tulsa,Golden Hurricane
869,2025,Tusculum,Pioneers
870,2025,Tuskegee,Golden Tigers
871,2025,New-England ,Nor'easters
872,2025,UAB,Blazers
873,2025,Little-Rock ,Trojans
874,2025,Colo-Springs,Mountain Lions
875,2025,UC Davis,Aggies
876,2025,UC Irvine,Anteaters
877,2025,UC Riverside,Highlanders
878,2025,UC San Diego,Tritons
879,2025,UC Santa Barbara,Gauchos
880,2025,UC Santa Cruz,Banana Slugs
881,2025,UCF,Knights
882,2025,UCLA,Bruins
883,2025,Connecticut,Huskies
884,2025,Mass.-Boston,Beacons
885,2025,Mass.-Dartmouth,Corsairs
886,2025,Mass.-Lowell,River Hawks
887,2025,Maryland-Baltimore-County ,Retrievers
888,2025,Kansas City,Roos
889,2025,UNC Asheville,Bulldogs
890,2025,UNC Greensboro,Spartans
891,2025,UNC Pembroke,Braves
892,2025,UNCW,Seahawks
893,2025,Northern Iowa,Panthers
894,2025,Union (NY),Garnet Chargers
895,2025,Union (Tenn.),Bulldogs
896,2025,UNLV,Rebels
897,2025,Upper Iowa,Peacocks
898,2025,Ursinus,Bears
899,2025,Ursuline,Arrows
900,2025,USC Beaufort,Sand Sharks
901,2025,South-Carolina-Upstate,Spartans
902,2025,Tenn-Martin,Skyhawks
903,2025,Utah,Utes
904,2025,Utah St.,Aggies
905,2025,Utah Tech ,Trailblazers 
906,2025,Utah Valley,Wolverines
907,2025,Texas at El Paso,Miners
908,2025,Utica,Pioneers
909,2025,Texas Rio Grande Valley ,Vaqueros
910,2025,Texas at San Antonio,Roadrunners
911,2025,Virginia-Wise,Highland Cavaliers
912,2025,Virg-Wesleyan,Marlins
913,2025,Valdosta St.,Blazers
914,2025,Valley Forge,The Patriots
915,2025,Valparaiso,Beacons
916,2025,Vanderbilt,Commodores
917,2025,Vassar,Brewers
918,2025,VCU,Rams
919,2025,Vermont,Catamounts
920,2025,Villanova,Wildcats
921,2025,Virginia,Cavaliers
922,2025,Virginia St.,Trojans
923,2025,Virginia Tech,Hokies
924,2025,Virginia Union,Panthers
925,2025,VMI,Keydets
926,2025,Wabash,Little Giants
927,2025,Wagner,Seahawks
928,2025,Wake Forest,Demon Deacons
929,2025,Walsh,Cavaliers
930,2025,Warren Wilson College,Owls
931,2025,Wartburg,Knights
932,2025,Wash. & Jeff.,Presidents
933,2025,Wash. & Lee,Generals
934,2025,Washburn,Ichabods
935,2025,Washington,Huskies
936,2025,Washington Col.,Shoremen
937,2025,Washington St.,Cougars
938,2025,Washington-St. Louis,Bears
939,2025,Wayne St. (MI),Warriors
940,2025,Wayne St. (NE),Wildcats
941,2025,Waynesburg,Yellow Jackets
942,2025,Weber St.,Wildcats
943,2025,Webster,Gorloks
944,2025,Wentworth Inst.,Leopards
945,2025,Wesleyan (CT),Cardinals
946,2025,West Ala.,Tigers
947,2025,West Chester,Golden Rams
948,2025,West Fla.,Argonauts
949,2025,West Ga.,Wolves
950,2025,West Liberty,Hilltoppers
951,2025,West Tex. A&M,Buffaloes
952,2025,West Va. Wesleyan,Bobcats
953,2025,West Virginia,Mountaineers
954,2025,West Virginia St.,Yellow Jackets
955,2025,Western Caro.,Catamounts
956,2025,Western Conn. St.,Wolves
957,2025,Western Ill.,Leathernecks
958,2025,Western Ky.,Hilltoppers
959,2025,Western Mich.,Broncos
960,2025,Western New Eng.,Golden Bears
961,2025,Western N.M.,Mustangs
962,2025,Western Ore.,Wolves
963,2025,Western Colo.,Mountaineers
964,2025,Western Wash.,Vikings
965,2025,Westfield St.,Owls
966,2025,Westminster (MO),Blue Jays
967,2025,Westminster (PA),Titans
968,2025,Westminster (UT),Griffins
969,2025,Wheaton (IL),Thunder
970,2025,Wheaton (MA),Lyons
971,2025,Wheeling Jesuit,Cardinals
972,2025,Whitman,Blues
973,2025,Whittier,Poets
974,2025,Whitworth,Pirates
975,2025,Wichita St.,Shockers
976,2025,Widener,Pride
977,2025,Wilkes,Colonels
978,2025,Willamette,Bearcats
979,2025,William Jewell,Cardinals
980,2025,William & Mary,Tribe
981,2025,William Smith,Herons
982,2025,Williams,Ephs
983,2025,Wilmington (DE),Wildcats
984,2025,Wilmington (OH),Fightin' Quakers
985,2025,Wilson,Phoenix
986,2025,Wingate,Bulldogs
987,2025,Winona St.,Warriors
988,2025,Winston-Salem,Rams
989,2025,Winthrop,Eagles
990,2025,Wis.-Eau Claire,Blugolds
991,2025,Wis.-La Crosse,Eagles
992,2025,Wis. Lutheran,Warriors
993,2025,Wis.-Oshkosh,Titans
994,2025,Wis.-Parkside,Rangers
995,2025,Wis.-Platteville,Pioneers
996,2025,Wis.-River Falls,Falcons
997,2025,Wis.-Stevens Point,Pointers
998,2025,Wis.-Stout,Blue Devils
999,2025,Wis.-Superior,Yellowjackets
1000,2025,Wis.-Whitewater,Warhawks
1001,2025,Wisconsin,Badgers
1002,2025,Wittenberg,Tigers
1003,2025,William Paterson,Pioneers
1004,2025,Wofford,Terriers
1005,2025,Wooster,Fighting Scots
1006,2025,Worcester St.,Lancers
1007,2025,WPI,Engineers
1008,2025,Wright St.,Raiders
1009,2025,Wyoming,Cowboys
1010,2025,Xavier,Musketeers
1011,2025,Yale,"Elis, Bulldogs"
1012,2025,Yeshiva,Maccabees
1013,2025,York (NY),Cardinals
1014,2025,York (PA),Spartans
1015,2025,Young Harris,Mountain Lions
1016,2025,Youngstown St.,Penguins
