,team,team_score,opponent,opponent_score,home_team,opponent_strength,diff,adjusted_diff
78,Notre Dame (MD),62,Mount St. Mary's,98,Mount St. Mary's,37.4375,-36,1.4375
79,Mid-Atlantic Christ.,53,Hampton,110,Hampton,39.1875,-57,-17.8125
80,Charleston So.,64,Clemson,91,Clemson,52.875,-27,25.875
81,FGCU,64,UNC Greensboro,73,UNC Greensboro,43.61507034301758,-9,34.61507034301758
82,Western Mich.,56,Coastal Carolina,60,Coastal Carolina,35.0,-4,31.0
83,Central Conn. St.,55,Providence,59,Providence,46.339834213256836,-4,42.339834213256836
84,Texas Southern,69,Xavier,78,Xavier,56.079010009765625,-9,47.079010009765625
85,York (NE),41,Drake,93,Drake,48.5859375,-52,-3.4140625
86,La. Christian,42,Tulane,76,Tulane,39.40625,-34,5.40625
87,Randolph,68,Longwood,79,Longwood,36.133544921875,-11,25.133544921875
88,LSU-Alexandria,50,Louisiana Tech,77,Louisiana Tech,43.89247131347656,-27,16.892471313476562
89,Pfeiffer,49,Campbell,96,Campbell,35.72271728515625,-47,-11.27728271484375
90,Vermont,67,UAB,62,UAB,44.797149658203125,5,49.797149658203125
91,Mississippi Col.,58,Samford,100,Samford,46.603515625,-42,4.603515625
92,Saint Peter's,53,Seton Hall,57,Seton Hall,42.18145751953125,-4,38.18145751953125
93,Dallas Christian,55,Northwestern St.,96,Northwestern St.,37.26023864746094,-41,-3.7397613525390625
94,Tennessee Tech,78,Georgia,83,Georgia,52.610870361328125,-5,47.610870361328125
95,Maryville (TN),70,Belmont,93,Belmont,43.0,-23,20.0
96,Binghamton,66,Penn St.,108,Penn St.,55.418678283691406,-42,13.418678283691406
97,West Ga.,60,Mississippi St.,95,Mississippi St.,59.0,-35,24.0
98,Bob Jones,61,Western Caro.,100,Western Caro.,25.00341796875,-39,-13.99658203125
99,Northeastern,80,Boston U.,72,Boston U.,35.907470703125,8,43.907470703125
100,Indiana St.,64,Fla. Atlantic,97,Fla. Atlantic,43.4375,-33,10.4375
101,Quinnipiac,62,Yale,88,Yale,51.86102294921875,-26,25.86102294921875
102,Lipscomb,77,Duquesne,72,Duquesne,40.58595371246338,5,45.58595371246338
103,UAlbany,59,Army West Point,67,Army West Point,32.4375,-8,24.4375
104,Avila,59,Houston Christian,86,Houston Christian,31.0,-27,4.0
105,Western Colo.,57,Utah Valley,92,Utah Valley,40.4375,-35,5.4375
106,UTRGV,67,Nebraska,87,Nebraska,57.375003814697266,-20,37.375003814697266
107,Ark. Baptist,64,Little Rock,84,Little Rock,34.154296875,-20,14.154296875
108,Eastern Ill.,67,Illinois,112,Illinois,65.25,-45,20.25
109,St. Francis (IL),43,UIC,91,UIC,44.3359375,-48,-3.6640625
110,Mid-Amer. Christian,69,Omaha,85,Omaha,38.022769927978516,-16,22.022769927978516
111,Trinity (TX),77,UTSA,103,UTSA,35.75,-26,9.75
112,Presbyterian,79,Charlotte,88,Charlotte,31.0,-9,22.0
113,Park (AZ),49,Northern Ariz.,100,Northern Ariz.,34.625,-51,-16.375
114,Howard,57,Kansas,87,Kansas,61.3800048828125,-30,31.3800048828125
115,Dean,63,Bryant,105,Bryant,37.56534481048584,-42,-4.43465518951416
116,Jamestown,59,North Dakota St.,96,North Dakota St.,43.44704055786133,-37,6.447040557861328
117,Union (TN),75,Austin Peay,95,Austin Peay,27.802383422851562,-20,7.8023834228515625
118,Northeastern St.,68,Tulsa,82,Tulsa,32.15625,-14,18.15625
119,Paul Quinn,42,Lamar University,113,Lamar University,31.11251449584961,-71,-39.88748550415039
120,Penn St.-Wilkes Barre,41,Norfolk St.,96,Norfolk St.,41.138671875,-55,-13.861328125
121,Bethel (TN),37,Murray St.,113,Murray St.,41.0,-76,-35.0
122,Lehigh,46,Northwestern,90,Northwestern,51.85548400878906,-44,7.8554840087890625
123,Southern-N.O.,42,Grambling,92,Grambling,27.69597625732422,-50,-22.30402374267578
124,Missouri,75,Memphis,83,Memphis,57.69190216064453,-8,49.69190216064453
125,Southeast Mo. St.,60,Bradley,88,Bradley,46.970703125,-28,18.970703125
126,Jackson St.,40,Houston,97,Houston,70.46302032470703,-57,13.463020324707031
127,Coppin St.,49,Wake Forest,64,Wake Forest,44.25,-15,29.25
128,Mercyhurst,59,George Washington,76,George Washington,40.943687438964844,-17,23.943687438964844
129,Mississippi Val.,44,Iowa St.,83,Iowa St.,67.490234375,-39,28.490234375
130,UMES,63,Vanderbilt,102,Vanderbilt,56.339805603027344,-39,17.339805603027344
131,Eastern Mich.,44,Texas St.,64,Texas St.,42.94099426269531,-20,22.940994262695312
132,Wichita St.,91,Western Ky.,84,Western Ky.,46.306640625,7,53.306640625
133,UT Martin,67,Illinois St.,65,Illinois St.,43.1328125,2,45.1328125
134,Central Mich.,74,South Alabama,70,South Alabama,44.60335159301758,4,48.60335159301758
135,The Citadel,60,Boston College,69,Boston College,33.0,-9,24.0
136,Dubuque,54,UNI,96,UNI,45.306640625,-42,3.306640625
137,Southern Ind.,78,DePaul,80,DePaul,45.95645523071289,-2,43.95645523071289
138,Holy Cross,61,Wisconsin,85,Wisconsin,60.2333984375,-24,36.2333984375
139,Kent St.,70,Louisiana,66,Louisiana,32.498046875,4,36.498046875
140,Akron,75,Arkansas St.,80,Arkansas St.,44.92603874206543,-5,39.92603874206543
141,Florida A&M,59,TCU,105,TCU,52.66089630126953,-46,6.660896301269531
142,Fairfield,58,Rhode Island,96,Rhode Island,46.292715072631836,-38,8.292715072631836
143,Delaware St.,60,Virginia Tech,83,Virginia Tech,44.0,-23,21.0
144,Cleveland St.,53,Michigan,101,Michigan,63.375,-48,15.375
145,Bowling Green,68,Southern Miss.,77,Southern Miss.,34.387901306152344,-9,25.387901306152344
146,East Texas A&M,67,Iowa,89,Iowa,56.85523223876953,-22,34.85523223876953
147,Lafayette,63,Villanova,75,Villanova,52.3607063293457,-12,40.3607063293457
148,Chicago St.,72,Loyola Chicago,79,Loyola Chicago,38.7574462890625,-7,31.7574462890625
149,Fisk,66,Tennessee St.,96,Tennessee St.,28.0814208984375,-30,-1.9185791015625
150,Dallas,51,SFA,85,SFA,35.5,-34,1.5
151,Howard Payne,74,Abilene Christian,107,Abilene Christian,31.8193359375,-33,-1.1806640625
152,Westminster (MO),42,SIUE,95,SIUE,35.90677261352539,-53,-17.09322738647461
153,Tarleton St.,62,SMU,96,SMU,54.0,-34,20.0
154,William Carey,53,Southeastern La.,91,Southeastern La.,38.53125,-38,0.53125
155,Western N.M.,68,Southern Utah,96,Southern Utah,37.0,-28,9.0
156,Stony Brook,62,Marquette,102,Marquette,61.0,-40,21.0
157,South Fla.,83,Florida,98,Florida,60.25,-15,45.25
158,Champion Chris.,61,ULM,111,ULM,25.25,-50,-24.75
159,LIU,60,Ole Miss,90,Ole Miss,59.0,-30,29.0
160,Northwest Indian,35,Weber St.,118,Weber St.,35.35505676269531,-83,-47.64494323730469
161,Eastern Wash.,56,Colorado,76,Colorado,48.16218948364258,-20,28.162189483642578
162,N.M. Highlands,57,New Mexico St.,93,New Mexico St.,39.890625,-36,3.890625
163,Nicholls,84,New Mexico,91,New Mexico,49.0,-7,42.0
164,Hawaii Hilo,61,Montana,92,Montana,36.04423522949219,-31,5.0442352294921875
165,Southern U.,79,South Dakota,93,South Dakota,35.0,-14,21.0
166,Sul Ross St.,55,UTEP,102,UTEP,47.0009765625,-47,0.0009765625
