odds_api_name,matched_name
Nevada Wolf Pack,Nevada
New Hampshire Wildcats,New Hampshire
New Mexico Lobos,New Mexico
New Mexico St Aggies,New Mexico St.
New Orleans Privateers,New Orleans
Niagara Purple Eagles,Niagara
Nicholls St Colonels,Nicholls
Norfolk St Spartans,Norfolk St.
North Alabama Lions,North Ala.
North Carolina A&T Aggies,N.C. A&T
North Carolina Central Eagles,N.C. Central
North Carolina Tar Heels,North Carolina
North Dakota Fighting Hawks,North Dakota
North Dakota St Bison,North Dakota St.
North Florida Ospreys,North Florida
North Texas Mean Green,North Texas
Northeastern Huskies,Northeastern
Northern Arizona Lumberjacks,Northern Ariz.
Northern Illinois Huskies,NIU
Northern Iowa Panthers,UNI
Northern Kentucky Norse,Northern Ky.
Northwestern St Demons,Northwestern St.
Northwestern Wildcats,Northwestern
Notre Dame Fighting Irish,Notre Dame
Oakland Golden Grizzlies,Oakland
Ohio Bobcats,Ohio
Ohio State Buckeyes,Ohio St.
Oklahoma Sooners,Oklahoma
Oklahoma St Cowboys,Oklahoma St.
Old Dominion Monarchs,Old Dominion
Ole Miss Rebels,Ole Miss
Omaha Mavericks,Omaha
Oral Roberts Golden Eagles,Oral Roberts
Oregon Ducks,Oregon
Oregon St Beavers,Oregon St.
Pacific Tigers,Pacific
Penn State Nittany Lions,Penn St.
Pennsylvania Quakers,Penn
Pepperdine Waves,Pepperdine
Pittsburgh Panthers,Pittsburgh
Portland Pilots,Portland
Portland St Vikings,Portland St.
Prairie View Panthers,Prairie View
Presbyterian Blue Hose,Presbyterian
Princeton Tigers,Princeton
Providence Friars,Providence
Purdue Boilermakers,Purdue
Queens University Royals,Queens (NC)
Quinnipiac Bobcats,Quinnipiac
Radford Highlanders,Radford
Rhode Island Rams,Rhode Island
Rice Owls,Rice
Richmond Spiders,Richmond
Rider Broncs,Rider
Robert Morris Colonials,Robert Morris
Rutgers Scarlet Knights,Rutgers
SE Louisiana Lions,Southeastern La.
SE Missouri St Redhawks,Southeastern Mo. St.
SIU-Edwardsville Cougars,SIUE
SMU Mustangs,SMU
Sacramento St Hornets,Sacramento St.
Sacred Heart Pioneers,Sacred Heart
Saint Joseph's Hawks,Saint Joseph's
Saint Louis Billikens,Saint Louis
Saint Mary's Gaels,Saint Mary's (CA)
Saint Peter's Peacocks,Saint Peter's
Sam Houston St Bearkats,Sam Houston
Samford Bulldogs,Samford
San Diego St Aztecs,San Diego St.
San Diego Toreros,San Diego
San Francisco Dons,San Francisco
San José St Spartans,San Jose St.
Santa Clara Broncos,Santa Clara
Seattle Redhawks,Seattle U
Seton Hall Pirates,Seton Hall
Siena Saints,Siena
South Alabama Jaguars,South Alabama
South Carolina Gamecocks,South Carolina
South Carolina St Bulldogs,South Carolina St.
South Carolina Upstate Spartans,USC Upstate
South Dakota Coyotes,South Dakota
South Dakota St Jackrabbits,South Dakota St.
South Florida Bulls,South Fla.
Southern Illinois Salukis,Southern Ill.
Southern Indiana Screaming Eagles,Southern Ind.
Southern Jaguars,Southern U.
Southern Miss Golden Eagles,Southern Miss.
Southern Utah Thunderbirds,Southern Utah
St. Bonaventure Bonnies,St. Bonaventure
St. Francis (PA) Red Flash,Saint Francis
St. John's Red Storm,St. John's (NY)
St. Thomas (MN) Tommies,St. Thomas (MN)
Stanford Cardinal,Stanford
Stephen F. Austin Lumberjacks,SFA
Stetson Hatters,Stetson
Stonehill Skyhawks,Stonehill
Stony Brook Seawolves,Stony Brook
Syracuse Orange,Syracuse
TCU Horned Frogs,TCU
Tarleton State Texans,Tarleton St.
Temple Owls,Temple
Tenn-Martin Skyhawks,UT Martin
Tennessee St Tigers,Tennessee St.
Tennessee Tech Golden Eagles,Tennessee Tech
Tennessee Volunteers,Tennessee
Texas A&M Aggies,Texas A&M
Texas A&M-CC Islanders,A&M-Corpus Christi
Texas A&M-Commerce Lions,Texas A&M
Texas Longhorns,Texas
Texas Southern Tigers,Texas Southern
Texas State Bobcats,Texas St.
Texas Tech Red Raiders,Texas Tech
The Citadel Bulldogs,The Citadel
Toledo Rockets,Toledo
Towson Tigers,Towson
Troy Trojans,Troy
Tulane Green Wave,Tulane
Tulsa Golden Hurricane,Tulsa
UAB Blazers,UAB
UC Davis Aggies,UC Davis
UC Irvine Anteaters,UC Irvine
UC Riverside Highlanders,UC Riverside
UC San Diego Tritons,UC San Diego
UC Santa Barbara Gauchos,UC Santa Barbara
UCF Knights,UCF
UCLA Bruins,UCLA
UConn Huskies,UConn
UIC Flames,UIC
UL Monroe Warhawks,ULM
UMBC Retrievers,UMBC
UMKC Kangaroos,Kansas City
UMass Lowell River Hawks,UMass Lowell
UNC Asheville Bulldogs,UNC Asheville
UNC Greensboro Spartans,UNC Greensboro
UNC Wilmington Seahawks,UNCW
UNLV Rebels,UNLV
USC Trojans,Southern California
UT Rio Grande Valley Vaqueros,UTRGV
UT-Arlington Mavericks,UT Arlington
UTEP Miners,UTEP
UTSA Roadrunners,UTSA
Utah State Aggies,Utah St.
Utah Tech Trailblazers,Utah Tech
Utah Utes,Utah
Utah Valley Wolverines,Utah Valley
VCU Rams,VCU
VMI Keydets,VMI
Valparaiso Beacons,Valparaiso
Vanderbilt Commodores,Vanderbilt
Vermont Catamounts,Vermont
Villanova Wildcats,Villanova
Virginia Cavaliers,Virginia
Virginia Tech Hokies,Virginia Tech
Wagner Seahawks,Wagner
Wake Forest Demon Deacons,Wake Forest
Washington Huskies,Washington
Washington St Cougars,Washington St.
Weber State Wildcats,Weber St.
West Georgia Wolves,West Ga.
West Virginia Mountaineers,West Virginia
Western Carolina Catamounts,Western Caro.
Western Illinois Leathernecks,Western Ill.
Western Kentucky Hilltoppers,Western Ky.
Western Michigan Broncos,Western Mich.
Wichita St Shockers,Wichita St.
William & Mary Tribe,William & Mary
Winthrop Eagles,Winthrop
Wisconsin Badgers,Wisconsin
Wofford Terriers,Wofford
Wright St Raiders,Wright St.
Wyoming Cowboys,Wyoming
Xavier Musketeers,Xavier
Yale Bulldogs,Yale
Youngstown St Penguins,Youngstown St.
