Team,Score
Col. of Charleston,131.125
Saint Louis,122.6884765625
Denver,102.2578125
Valparaiso,113.970703125
Marist,120.75
Sacred Heart,111.57421875
McNeese,135.25
A&M-Corpus Christi,121.375
Miami (OH),124.39453125
Fordham,116.53125
Bucknell,115.96875
Missouri St.,110.6796875
Wright St.,116.228515625
Bellarmine,90.484375
Penn,100.306640625
Buffalo,102.0
Ohio,122.306640625
N.C. Central,110.6875
American,119.515625
FDU,104.3125
Le Moyne,92.25
Toledo,122.328125
New Hampshire,88.421875
Ark.-Pine Bluff,82.7939453125
Manhattan,113.02734375
Monmouth,113.5
Saint Francis,102.6787109375
USC Upstate,98.03125
Navy,100.7734375
Morehead St.,108.1171875
Brown,113.875
North Florida,108.55859375
Texas A&M,152
Columbia,121.57421875
Gardner-Webb,113.75
Ball St.,107.546875
Radford,119.6875
Iona,113.3955078125
Maine,117.1875
CSUN,124.25
Northern Ky.,114.75
NIU,95.1533203125
Robert Morris,122.75
Charleston So.,110.5078125
FGCU,117.375
Western Mich.,101.1728515625
Central Conn. St.,126.875
Texas Southern,101.25
Vermont,112.453125
Saint Peter's,102.1875
Tennessee Tech,112.109375
Binghamton,101.17578125
West Ga.,97.119140625
Northeastern,118.6328125
Indiana St.,122.86328125
Quinnipiac,121.5
Lipscomb,124.5
UAlbany,101.71875
UTRGV,117.15625
Eastern Ill.,98.96875
Presbyterian,108.75
Howard,112.25
Lehigh,103.5
Missouri,142.75
Southeast Mo. St.,115.67578125
Jackson St.,109.419921875
Coppin St.,91.0
Mercyhurst,103.4375
Mississippi Val.,76.3984375
UMES,89.4453125
Eastern Mich.,111.5556640625
Wichita St.,127.2451171875
UT Martin,101.904296875
Central Mich.,114.15625
The Citadel,93
Southern Ind.,101.634765625
Holy Cross,103.5
Kent St.,128.125
Akron,134.046875
Florida A&M,108.2421875
Fairfield,106.109375
Delaware St.,109.25
Cleveland St.,122.9677734375
Bowling Green,106.720703125
East Texas A&M,101
Lafayette,104.50390625
Chicago St.,93.703125
Tarleton St.,112.484375
Stony Brook,101.5224609375
South Fla.,115.125
LIU,103.1171875
Eastern Wash.,105.578125
Nicholls,120.5810546875
Southern U.,115.6875
Elon,119.03125
Lindenwood,99.380859375
Alcorn,105
Cal St. Fullerton,104.6875
Green Bay,100.421875
UNC Asheville,124.0
North Ala.,125.75
North Dakota,99.125
Ohio St.,141.099609375
Utah Tech,104.53125
Towson,124.1875
Sam Houston,117
Chattanooga,126.39453125
UIW,106.375
Western Ill.,90.490234375
Canisius,93.5625
Rider,105.890625
UC Riverside,125.35546875
Portland St.,115.1875
CSU Bakersfield,112.75
Baylor,147
Alabama St.,107.12890625
FIU,110.15234375
Bethune-Cookman,110.28125
New Orleans,97.9609375
Evansville,108.05859375
Idaho St.,117.65625
Central Ark.,102.125
Cal Poly,110.53125
UC Davis,121.0
Wagner,99.7099609375
Campbell,116.111328125
Stonehill,103
Virginia-Lynchburg,45.8125
Oral Roberts,100.703125
SIUE,114.34375
ULM,94.7265625
Oakland,118.01953125
Seattle U,114.1171875
UC San Diego,143.0791015625
N.C. A&T,98.5234375
Southern Miss.,111.0
Milwaukee,119.75
Montana St.,114.015625
Prairie View,94.0
Omaha,118.5625
Jacksonville,119.37890625
Detroit Mercy,102.265625
Niagara,108.11328125
Illinois St.,125.353515625
Jacksonville St.,131.27734375
Army West Point,113.9765625
Samford,130.0
Temple,127.4609375
Boston College,115.421875
IU Indy,107.02734375
UMBC,100.0146484375
Austin Peay,106.0
Eastern Ky.,118.0
Hampton,110.2666015625
Purdue Fort Wayne,126.9296875
Grambling,100
Ga. Southern,114.451171875
South Carolina St.,112.6533203125
St. Thomas (MN),122.375
Western Caro.,99.5625
Massachusetts,115.0
Murray St.,116.8828125
North Carolina,137.375
William & Mary,115.625
Siena,109.6640625
Davidson,121.5
South Alabama,126.39453125
Georgia St.,113.953125
Furman,126.412109375
Houston Christian,109.046875
Arkansas St.,133.923828125
Santa Clara,138.484375
Mount St. Mary's,118.50390625
Yale,136.546875
Harvard,103.296875
NJIT,90.703125
Princeton,124.78515625
Northern Colo.,120.59375
George Mason,139.015625
Northwestern St.,113.0
Long Beach St.,101.625
San Jose St.,122.8125
Tennessee St.,108.810546875
Sacramento St.,92.8125
UC Irvine,144.091796875
Boston U.,110.697265625
Montana,120.927734375
Weber St.,101.083984375
Bradley,132.986328125
New Mexico,143.5
Tennessee,157.15625
Little Rock,116.0
Colgate,107.1796875
VMI,106.9140625
Morgan St.,97.0
Coastal Carolina,103
St. Bonaventure,127.9130859375
Old Dominion,108.0
UTEP,129.15625
Charlotte,112.8310546875
Wofford,114.7421875
Troy,127.65625
Memphis,146.9052734375
James Madison,126.625
Louisiana Tech,129.0
UC Santa Barbara,123.0556640625
Florida St.,138.75
Middle Tenn.,132.1357421875
Arkansas,134.181640625
Northwestern,137.716796875
Western Ky.,131.28125
Liberty,132.5625
Kennesaw St.,120.25
Youngstown St.,116.6953125
New Mexico St.,116.9052734375
Auburn,165.25
Pepperdine,115.25
Washington,131.3046875
Boise St.,138.453125
App State,124.390625
Michigan,154.65625
SFA,112.53125
Southeastern La.,117.875
Arizona St.,129.90625
Pacific,104.375
Stetson,98.75
Winthrop,119.0
Kansas City,107.2109375
Lamar University,120.75
UNC Greensboro,120.0
Mercer,112.859375
North Dakota St.,119.8125
Idaho,110.625
Villanova,134.673828125
Michigan St.,152.59375
Cornell,123.46484375
Fla. Atlantic,128.5
Loyola Maryland,103.4453125
Delaware,112.5
Drexel,118.287109375
UIC,124.5078125
Norfolk St.,121.173828125
Texas St.,116.0
UTSA,113.0
Belmont,124.8671875
Queens (NC),119.9375
Duke,158.921875
South Dakota,114.4228515625
Northern Ariz.,111.625
Portland,104.5
Richmond,110.546875
Merrimack,121.15625
California,125.2421875
Seton Hall,113.146484375
North Texas,137.62890625
Louisiana,110.75390625
Wyoming,120.4375
Fresno St.,111.5
UT Arlington,113.564453125
