Team,Score
Utah Valley,125.92578125
Bryant,120.15625
UNI,130.91796875
Southern Ill.,117.078125
Grand Canyon,127.3125
LSU,131.546875
Virginia,129.515625
Florida,156.0
TCU,133.59375
Loyola Chicago,123.75
Alabama,162.99609375
Tulane,119.515625
SMU,143.515625
UNCW,134.181640625
UAB,128.087890625
Virginia Tech,124.484375
Georgia,139.703125
West Virginia,145.0
Marquette,146.7548828125
Saint Joseph's,126.25
Washington St.,127.96875
Arizona,153
UMass Lowell,118.75
Duquesne,110.25
Wake Forest,139.515625
Dartmouth,112.0869140625
Notre Dame,125.21875
La Salle,117.25
Tulsa,104.408203125
South Carolina,130.3828125
Colorado St.,132.4375
ETSU,119.3515625
Hofstra,114.7421875
Alabama A&M,87.8515625
LMU (CA),120
Nebraska,144.3984375
Clemson,145.0
Utah,133.25
Gonzaga,148
Longwood,119.03125
Cincinnati,142.25
Rice,121.0
Southern Utah,103.1328125
Purdue,156.03125
Abilene Christian,107.1875
Illinois,152.826171875
Miami (FL),116.546875
Oklahoma St.,128.8125
East Carolina,118.974609375
Syracuse,124.5078125
Vanderbilt,143
Texas Tech,148.0
Air Force,105.9765625
Oregon,151.703125
Drake,136.51953125
UCF,134.59375
VCU,148
Utah St.,144.4375
George Washington,123.701171875
Mississippi St.,147.0
Texas,141.1865234375
Marshall,119.0
Stanford,137.7021484375
St. John's (NY),151.55859375
Rutgers,133.453125
South Dakota St.,128.75
Wisconsin,154.90234375
Penn St.,139.1796875
Colorado,126.75
High Point,131.59375
Oregon St.,133.240234375
Xavier,133.587890625
Dayton,138.41015625
San Francisco,139.1875
Creighton,147.162109375
UConn,140.875
Iowa St.,156.587890625
Kansas,149.0
California Baptist,120.587890625
Indiana,142.12890625
Rhode Island,125.34765625
San Diego St.,136.78515625
Providence,126.95703125
Houston,160.69921875
Minnesota,127.75
NC State,125.21875
BYU,143.8125
Saint Mary's (CA),150.78125
Pittsburgh,139.0
Oklahoma,135.5625
Ole Miss,146.625
UNLV,126.375
Butler,127.259765625
Southern California,128.98046875
Hawaii,119.041015625
Georgia Tech,122.2265625
San Diego,101.2890625
Kentucky,159.0
DePaul,119.263671875
Georgetown,128.3994140625
Kansas St.,130.375
Nevada,131.03125
Maryland,149.4833984375
UCLA,149.7109375
Louisville,152.65234375
Iowa,137.5
