,date,team,team_score,opponent,opponent_score,home_team,opponent_strength,diff,adjusted_diff
0,2024-11-04,IU Columbus,44,IU Indy,100,IU Indy,10.978515625,-56,-45.021484375
1,2024-11-04,Oglethorpe,51,Middle Tenn.,97,Middle Tenn.,24.0,-46,-22.0
2,2024-11-04,UNT Dallas,55,UT Arlington,90,UT Arlington,21.6484375,-35,-13.3515625
3,2024-11-04,Col. of Charleston,90,Southern Ill.,80,Southern Ill.,16.625,10,26.625
4,2024-11-04,LaGrange,48,Jacksonville St.,112,Jacksonville St.,21.578125,-64,-42.421875
5,2024-11-04,Saint Louis,78,Santa Clara,85,Santa Clara,27.078125,-7,20.078125
6,2024-11-04,Denver,62,Stanford,85,Stanford,30.9833984375,-23,7.9833984375
7,2024-11-04,Penn St.-York,66,UMBC,95,UMBC,16.904296875,-29,-12.095703125
8,2024-11-04,Framingham St.,62,Stonehill,81,Stonehill,9.0,-19,-10.0
9,2024-11-04,Erskine,58,Wofford,112,Wofford,20.296875,-54,-33.703125
10,2024-11-04,Valparaiso,63,Liberty,83,Liberty,30.1923828125,-20,10.1923828125
11,2024-11-04,Old Westbury,62,Hofstra,89,Hofstra,18.109375,-27,-8.890625
12,2024-11-04,Marist,66,Harvard,79,Harvard,11.5546875,-13,-1.4453125
13,2024-11-04,Sacred Heart,70,Temple,81,Temple,21.0859375,-11,10.0859375
14,2024-11-04,McNeese,73,South Dakota St.,80,South Dakota St.,24.2734375,-7,17.2734375
15,2024-11-04,Georgian Court,43,Drexel,95,Drexel,19.0234375,-52,-32.9765625
16,2024-11-04,A&M-Corpus Christi,73,Purdue,90,Purdue,35.5,-17,18.5
17,2024-11-04,Washington Col.,54,VMI,103,VMI,8.5625,-49,-40.4375
18,2024-11-04,Rivier,59,UMass Lowell,115,UMass Lowell,20.9931640625,-56,-35.0068359375
19,2024-11-04,Houghton,65,Niagara,100,Niagara,10.8828125,-35,-24.1171875
