year,team1,team1_score,team2,team2_score
2022,"Northern Colo.",81,Hawaii,78
2022,Northeastern,64,"Georgia St.",83
2022,Hartford,67,Campbell,68
2022,"South Carolina St.",65,"Loyola Maryland",75
2022,"Eastern Wash.",76,"UC Davis",84
2022,"North Dakota St.",60,"Cal Poly",57
2022,Bryant,64,"Rhode Island",83
2022,"San Diego",75,Nevada,68
2022,"Utah St.",85,Richmond,74
2022,"Illinois St.",98,"Eastern Mich.",103
2022,"Kent St.",59,Xavier,73
2022,"Central Ark.",53,Butler,85
2022,"Western Ky.",69,Minnesota,73
2022,"Western Mich.",46,"Michigan St.",90
2022,ETSU,67,"App State",69
2022,"Morehead St.",71,UAB,85
2022,Wofford,68,Clemson,76
2022,American,74,"William & Mary",62
2022,Canisius,71,"East Carolina",83
2022,"Coppin St.",69,Rider,81
2022,Penn,66,"George Mason",87
2022,"Holy Cross",55,"Boston College",85
2022,Marist,82,Columbia,67
2022,"Robert Morris",60,Kentucky,100
2022,Furman,80,Louisville,72
2022,VMI,72,Presbyterian,73
2022,"UNC Greensboro",70,"Northern Ky.",69
2022,"Wright St.",88,Marshall,96
2022,Niagara,74,"Ohio St.",84
2022,"Army West Point",56,Duke,82
2022,Radford,52,Virginia,73
2022,"USC Upstate",64,Charlotte,76
2022,Bethune-Cookman,51,"Middle Tenn.",71
2022,NIU,49,Indiana,85
2022,"Charleston So.",68,"Ole Miss",93
2022,Fordham,60,Manhattan,66
2022,Lipscomb,77,"Col. of Charleston",86
2022,Cornell,90,Lafayette,85
2022,"Western Caro.",75,"Wake Forest",87
2022,Stetson,52,"Georgia Tech",77
2022,"Jackson St.",68,"Louisiana Tech",70
2022,Massachusetts,71,Yale,91
2022,"Austin Peay",55,"Southern Ill.",73
2022,"Tarleton St.",62,Kansas,88
2022,"Oregon St.",50,"Iowa St.",60
2022,SIUE,56,"Chicago St.",67
2022,"Kansas City",57,Iowa,89
2022,"Texas St.",59,LSU,84
2022,Oakland,56,"Oklahoma St.",55
2022,"High Point",60,Northwestern,95
2022,"Eastern Ill.",44,"Saint Louis",86
2022,"South Dakota St.",88,Alabama,104
2022,ULM,65,Auburn,93
2022,Rice,46,Houston,79
2022,Louisiana,66,"Southern Miss.",45
2022,"Abilene Christian",80,"Texas A&M",81
2022,"Green Bay",34,Wisconsin,72
2022,Grambling,62,"Texas Tech",88
2022,UTSA,44,Oklahoma,96
2022,"Sam Houston",65,Nebraska,74
2022,"New Hampshire",70,Marquette,75
2022,"Virginia Tech",77,Navy,57
2022,Pittsburgh,59,"West Virginia",74
2022,"Indiana St.",67,Purdue,92
2022,UIW,60,Baylor,87
2022,Brown,87,"North Carolina",94
2022,"Arkansas St.",53,Illinois,92
2022,"San Diego St.",60,BYU,66
2022,"North Florida",51,"Grand Canyon",65
2022,"Southern Utah",76,"Dixie St.",83
2022,UTRGV,50,Arizona,104
2022,Princeton,66,"South Carolina",62
2022,"Ark.-Pine Bluff",71,"Colorado St.",91
2022,"Texas Southern",58,"Saint Mary's (CA)",67
2022,"Idaho St.",60,Pepperdine,65
2022,"Seattle U",61,"Washington St.",79
2022,LIU,60,"Fresno St.",84
2022,SMU,63,Oregon,86
2022,Stanford,72,"Santa Clara",88
2022,Villanova,77,UCLA,86
2022,CSUN,52,"Notre Dame",68
2022,"Coppin St.",54,UConn,89
2022,Omaha,69,"Ball St.",73
2022,"Ga. Southern",53,"South Fla.",41
2022,"Southern U.",73,Tulane,70
2022,UCF,95,"Miami (FL)",89
2022,"Mount St. Mary's",60,"Saint Joseph's",80
2022,UIC,74,Valparaiso,70
2022,"Air Force",59,Tulsa,58
2022,Harvard,87,Iona,90
2022,"St. Thomas (MN)",91,"St. Francis Brooklyn",73
2022,Dartmouth,69,Georgetown,60
2022,Colgate,74,"NC State",77
2022,"N.C. A&T",54,Jacksonville,63
2022,"Lamar University",75,"Miami (OH)",104
2022,Vermont,57,Maryland,68
2022,FGCU,77,"Loyola Chicago",89
2022,Merrimack,35,Rutgers,48
2022,Mercer,85,Winthrop,88
2022,Hartford,79,"Army West Point",86
2022,Gardner-Webb,69,Arkansas,86
2022,Howard,76,Bradley,64
2022,"Saint Peter's",70,"St. John's (NY)",91
2022,UAlbany,64,"La Salle",67
2022,"Norfolk St.",66,"Tennessee St.",59
2022,"Old Dominion",53,"James Madison",58
2022,"South Alabama",58,"Wichita St.",64
2022,Evansville,43,Belmont,81
2022,"Alabama A&M",47,"Jacksonville St.",70
2022,"Loyola Maryland",72,"Col. of Charleston",79
2022,"Central Mich.",66,DePaul,99
2022,"UMass Lowell",59,Dayton,58
2022,"New Mexico",76,Colorado,87
2022,"Youngstown St.",97,"Southeast Mo. St.",79
2022,Ohio,67,"Cleveland St.",56
2022,Delaware,83,Siena,63
2022,Hofstra,73,Duquesne,63
2022,"Detroit Mercy",73,Toledo,81
2022,"Eastern Ky.",77,Milwaukee,71
2022,NJIT,73,Lehigh,56
2022,Wagner,58,VCU,44
2022,"Southern California",76,Temple,71
2022,"N.C. Central",51,Memphis,90
2022,Monmouth,79,Towson,71
2022,Montana,49,"Mississippi St.",86
2022,Georgia,68,Cincinnati,73
2022,"South Carolina St.",81,Lipscomb,93
2022,Campbell,56,Duke,67
2022,Bellarmine,59,"Murray St.",78
2022,Troy,59,Butler,70
2022,"Alabama St.",60,"Missouri St.",78
2022,Alcorn,58,Portland,62
2022,"Prairie View",49,Michigan,77
2022,California,52,UNLV,55
2022,Davidson,60,"San Francisco",65
2022,"Boise St.",50,"UC Irvine",58
2022,UTEP,71,"New Mexico St.",77
2022,"Sacramento St.",56,Utah,89
2022,"George Washington",55,"UC San Diego",75
2022,"Mississippi Val.",66,"California Baptist",95
2022,Texas,74,Gonzaga,86
2022,Pacific,61,Hawaii,73
2022,"Loyola Maryland",65,Lipscomb,70
2022,ETSU,62,Tennessee,94
2022,Yale,44,"Seton Hall",80
2022,"Florida St.",55,Florida,71
2022,Binghamton,72,"Sacred Heart",60
2022,Penn,73,Bucknell,68
2022,"UNC Asheville",45,Chattanooga,75
2022,"A&M-Corpus Christi",65,"Texas A&M",86
2022,"South Dakota St.",83,SFA,71
2022,"Prairie View",59,"Oklahoma St.",72
2022,"South Dakota",50,Drake,99
2022,"Central Conn. St.",57,Brown,75
2022,"Ark.-Pine Bluff",45,Wyoming,85
2022,"Western Caro.",79,"East Carolina",95
2022,Fairfield,64,"Boston College",72
2022,Drexel,60,Syracuse,75
2022,"Delaware St.",53,Rider,63
2022,Canisius,60,"St. Bonaventure",69
2022,"Western Ky.",64,"South Carolina",75
2022,"Morgan St.",53,"George Mason",90
2022,Minnesota,87,Princeton,80
2022,"Texas St.",60,Vanderbilt,79
2022,"Idaho St.",51,"Seattle U",77
2022,Nicholls,60,Baylor,89
2022,IUPUI,47,Denver,63
2022,"Bowling Green",58,"Ohio St.",89
2022,Liberty,58,LSU,74
2022,Bryant,70,Clemson,93
2022,"Coppin St.",48,"UNC Greensboro",55
2022,"Weber St.",63,Duquesne,59
2022,"Holy Cross",68,Quinnipiac,76
2022,Illinois,66,Marquette,67
2022,"Penn St.",56,Massachusetts,81
2022,Manhattan,58,"Old Dominion",79
2022,"The Citadel",70,Presbyterian,74
2022,Radford,39,"Virginia Tech",65
2022,"N.C. A&T",54,"South Fla.",56
2022,"St. Thomas (MN)",78,Fordham,84
2022,"Robert Morris",71,Ohio,85
2022,"Lamar University",66,"Georgia Tech",75
2022,Furman,89,Belmont,95
2022,Montana,77,"North Dakota",79
2022,"Central Mich.",62,"Eastern Ill.",61
2022,"Northwestern St.",48,SMU,95
2022,"Southern Miss.",51,TCU,83
2022,Navy,60,Louisville,77
2022,Maine,46,Colorado,90
2022,Buffalo,69,"North Texas",66
2022,"Prairie View",49,"Texas Tech",84
2022,"Kansas City",80,Missouri,66
2022,"San Diego",70,California,75
2022,"North Florida",63,"Arizona St.",72
2022,"Oregon St.",58,Tulsa,64
2022,"Texas Southern",65,Washington,72
2022,Samford,55,"San Francisco",77
2022,Grambling,61,"New Mexico",86
2022,Alcorn,57,Gonzaga,84
2022,Providence,63,Wisconsin,58
2022,Bethune-Cookman,55,Utah,86
2022,"North Dakota St.",62,UNLV,64
2022,"Southern Utah",51,"Saint Mary's (CA)",70
2022,"Utah Valley",86,Pepperdine,74
2022,Idaho,62,"Fresno St.",69
2022,"Sacramento St.",58,"Cal Poly",57
2022,"UC Santa Barbara",65,"Washington St.",73
2022,"San Jose St.",62,Stanford,76
2022,"Long Beach St.",79,UCLA,100
2022,"UMass Lowell",58,"Oklahoma St.",80
2022,"Miami (FL)",68,"Fla. Atlantic",66
2022,"Southern California",78,FGCU,61
2022,IUPUI,59,"A&M-Corpus Christi",65
2022,Howard,81,Villanova,100
2022,"Austin Peay",60,"Purdue Fort Wayne",65
2022,Yale,82,Siena,54
2022,Hofstra,74,Iona,82
2022,"Georgia St.",78,Richmond,94
2022,Hampton,54,Towson,78
2022,"Alabama A&M",66,Cincinnati,89
2022,Colgate,68,Cornell,78
2022,"James Madison",79,"Eastern Ky.",78
2022,Lafayette,57,Penn,85
2022,"Mount St. Mary's",55,Kentucky,80
2022,"Tennessee Tech",62,Chattanooga,69
2022,NJIT,61,Rutgers,75
2022,Winthrop,65,"Middle Tenn.",76
2022,"Wright St.",52,Purdue,96
2022,Gardner-Webb,52,Duke,92
2022,Jacksonville,54,UCF,63
2022,UNCW,51,Pittsburgh,59
2022,Creighton,77,Nebraska,69
2022,"South Carolina St.",60,Georgia,76
2022,"Jacksonville St.",65,Troy,69
2022,"Boston U.",48,Northeastern,49
2022,"William & Mary",74,"Norfolk St.",91
2022,Lehigh,75,Monmouth,85
2022,"South Alabama",68,Alabama,73
2022,"NC State",79,"Central Conn. St.",65
2022,"Southern U.",63,Rice,81
2022,"High Point",61,"Notre Dame",70
2022,"Abilene Christian",80,"UT Arlington",71
2022,"New Orleans",67,Northwestern,83
2022,"Alabama St.",60,"Iowa St.",68
2022,"Saint Louis",74,Memphis,90
2022,"Murray St.",77,"Illinois St.",65
2022,"Tarleton St.",51,"Wichita St.",65
2022,Virginia,47,Houston,67
2022,"Chicago St.",56,"Loyola Chicago",92
2022,Denver,64,UTSA,78
2022,"North Carolina",94,"Col. of Charleston",83
2022,American,57,Georgetown,79
2022,BYU,81,Oregon,49
2022,"N.C. Central",69,Iowa,86
2022,"Seton Hall",67,Michigan,65
2022,"North Dakota St.",45,Arizona,97
2022,Nevada,74,"Santa Clara",96
2022,"Jackson St.",64,"California Baptist",77
2022,"George Washington",59,"Cal St. Fullerton",74
2022,"Houston Baptist",39,"Texas A&M",73
2022,Denver,67,"A&M-Corpus Christi",69
2022,"Central Conn. St.",53,"UMass Lowell",77
2022,IUPUI,57,UTSA,60
2022,"Boston College",49,"Rhode Island",57
2022,Merrimack,51,"Army West Point",74
2022,LIU,40,UConn,93
2022,"La Salle",82,Delaware,85
2022,"Michigan St.",73,Butler,52
2022,Rider,74,Bucknell,81
2022,Toledo,59,Oakland,80
2022,Stetson,65,"Miami (OH)",80
2022,Marist,61,Princeton,80
2022,"Charleston So.",59,"Wake Forest",95
2022,"Loyola Maryland",49,"Coppin St.",71
2022,Drexel,78,"Saint Joseph's",75
2022,Harvard,60,UAlbany,53
2022,"George Mason",71,Maryland,66
2022,Lipscomb,78,Dayton,59
2022,Binghamton,77,Columbia,85
2022,"Oklahoma St.",74,"NC State",68
2022,Omaha,64,"Kansas St.",79
2022,"Detroit Mercy",64,"Mississippi St.",77
2022,"Montana St.",74,"South Dakota St.",91
2022,VCU,48,Vanderbilt,37
2022,"Central Ark.",47,Baylor,92
2022,Tulane,54,"Florida St.",59
2022,UNI,80,Arkansas,93
2022,"Northern Colo.",49,Texas,62
2022,"Missouri St.",77,"Sam Houston",55
2022,Valparaiso,60,Stanford,74
2022,"Texas Southern",57,"Air Force",61
2022,"Prairie View",64,"Grand Canyon",91
2022,"St. John's (NY)",74,Indiana,76
2022,"Utah Valley",84,"Long Beach St.",78
2022,Bellarmine,64,"Saint Mary's (CA)",73
2022,"UC Davis",67,Pepperdine,72
2022,"Little Rock",63,"LMU (CA)",82
2022,"UC Riverside",62,"San Diego",74
2022,"North Florida",63,UCLA,98
2022,Davidson,64,"New Mexico St.",75
2022,"St. Bonaventure",67,"Boise St.",61
2022,Penn,79,"Utah St.",87
2022,"Green Bay",58,"UNC Greensboro",60
2022,Clemson,75,Temple,48
2022,Massachusetts,73,"Weber St.",88
2022,Milwaukee,45,Florida,81
2022,Charlotte,67,"App State",66
2022,"New Hampshire",58,Providence,69
2022,"Ohio St.",65,Xavier,71
2022,"Coastal Carolina",53,UNCW,65
2022,Oklahoma,79,"East Carolina",74
2022,"Boston U.",75,Hartford,70
2022,Presbyterian,45,Cincinnati,79
2022,"Alabama St.",82,Iowa,108
2022,Marquette,78,"Ole Miss",72
2022,"USC Upstate",43,ETSU,56
2022,"Tennessee Tech",55,"UNC Asheville",61
2022,Campbell,67,Marshall,65
2022,UAB,63,"South Carolina",66
2022,"St. Francis Brooklyn",59,"Penn St.",74
2022,"Eastern Mich.",73,"Northern Ky.",74
2022,"Stony Brook",59,Kansas,88
2022,"Ball St.",60,FIU,73
2022,McNeese,46,LSU,85
2022,"Southeastern La.",61,SMU,78
2022,Nicholls,50,TCU,63
2022,"CSU Bakersfield",64,"Northern Ariz.",74
2022,"UT Arlington",36,"North Texas",64
2022,"Saint Francis (PA)",55,"Virginia Tech",85
2022,NIU,37,Missouri,54
2022,Rutgers,70,DePaul,73
2022,"Washington St.",109,Idaho,61
2022,Samford,78,"Oregon St.",77
2022,"Indiana St.",77,"Old Dominion",36
2022,"Fairleigh Dickinson",46,Northwestern,82
2022,Elon,68,"West Virginia",87
2022,"Southern Utah",68,California,75
2022,"Morgan St.",80,"Seattle U",93
2022,"Ark.-Pine Bluff",74,Portland,86
2022,"San Jose St.",66,"California Baptist",67
2022,"Arizona St.",63,"San Diego St.",65
2022,Nevada,70,"San Francisco",73
2022,Wyoming,77,Washington,72
2022,"New Mexico St.",58,"Utah St.",85
2022,"Boise St.",82,Temple,62
2022,Bradley,60,"Colorado St.",66
2022,"Texas St.",85,"Dixie St.",65
2022,"St. Bonaventure",68,Clemson,65
2022,Davidson,72,Penn,60
2022,Troy,72,"North Dakota",74
2022,"UNC Greensboro",90,Massachusetts,93
2022,Brown,57,Creighton,78
2022,Yale,53,Vermont,61
2022,Liberty,50,Iona,54
2022,Oklahoma,87,"Indiana St.",63
2022,"Eastern Wash.",67,CSUN,64
2022,American,42,Longwood,82
2022,"St. Thomas (MN)",75,"Youngstown St.",79
2022,"Norfolk St.",90,"Bowling Green",84
2022,"Weber St.",85,"Ball St.",74
2022,Northeastern,71,Duquesne,55
2022,Towson,59,Pittsburgh,63
2022,"UT Martin",67,"Fla. Atlantic",75
2022,Hofstra,67,Maryland,69
2022,Siena,65,Georgetown,83
2022,Marquette,82,"West Virginia",71
2022,Belmont,97,"Kennesaw St.",78
2022,"Mount St. Mary's",74,"Robert Morris",70
2022,Auburn,58,"South Fla.",52
2022,"George Mason",64,"James Madison",67
2022,"UMass Lowell",67,"George Washington",56
2022,Ohio,59,Kentucky,77
2022,"Idaho St.",60,Nebraska,78
2022,"Purdue Fort Wayne",49,Minnesota,78
2022,UMES,75,Fordham,73
2022,Lehigh,45,Merrimack,55
2022,"Coppin St.",52,Virginia,68
2022,Radford,64,Furman,81
2022,Hampton,60,Wofford,77
2022,"East Carolina",73,"Old Dominion",60
2022,"North Ala.",51,Manhattan,55
2022,"Middle Tenn.",74,SFA,87
2022,"Arkansas St.",72,"Southeast Mo. St.",60
2022,Niagara,70,SIUE,60
2022,Stetson,60,"Lamar University",59
2022,"Southern Ill.",67,Colorado,63
2022,FIU,63,"Green Bay",60
2022,Rice,83,"New Orleans",78
2022,"Southern U.",68,"South Dakota",71
2022,UMBC,91,"Western Caro.",75
2022,"Western Ky.",62,Memphis,74
2022,Oakland,59,Alabama,86
2022,Lafayette,55,Duke,88
2022,"Louisiana Tech",83,"Northwestern St.",64
2022,Bellarmine,50,Gonzaga,92
2022,"Georgia Tech",88,Georgia,78
2022,"Cal Poly",57,"Santa Clara",87
2022,"Ole Miss",74,Elon,56
2022,UTEP,73,Pacific,64
2022,"Cal St. Fullerton",57,"San Diego",55
2022,"Wichita St.",78,Arizona,82
2022,UNLV,61,Michigan,74
2022,Monmouth,87,"Saint Joseph's",75
2022,Bryant,75,Bethune-Cookman,81
2022,Binghamton,63,UConn,87
2022,Richmond,70,Drake,73
2022,Stanford,48,Baylor,86
2022,Villanova,71,Tennessee,53
2022,"Central Conn. St.",65,Quinnipiac,76
2022,"Detroit Mercy",67,Louisville,73
2022,SIUE,69,"Youngstown St.",66
2022,Rider,65,Buffalo,87
2022,Howard,63,"High Point",73
2022,UCF,75,Evansville,59
2022,"Northern Ariz.",89,UTRGV,87
2022,Canisius,70,"Cleveland St.",80
2022,"Austin Peay",87,Dayton,81
2022,"Holy Cross",53,"Air Force",72
2022,"UT Martin",67,Troy,80
2022,"Dixie St.",73,CSUN,79
2022,Bradley,62,Brown,65
2022,"Army West Point",58,"La Salle",61
2022,UIC,63,"Loyola Chicago",80
2022,Chattanooga,56,VCU,54
2022,"N.C. A&T",63,"Wake Forest",87
2022,"Montana St.",78,"New Mexico",81
2022,"Chicago St.",50,"UC Santa Barbara",81
2022,UNCW,67,"Delaware St.",63
2022,Purdue,93,"North Carolina",84
2022,"Oral Roberts",67,"Central Ark.",70
2022,"St. Thomas (MN)",76,Niagara,67
2022,Colgate,100,Syracuse,85
2022,"Eastern Mich.",59,"Michigan St.",83
2022,UMBC,55,Longwood,82
2022,Utah,68,"Boston College",61
2022,Radford,33,Navy,47
2022,"Texas Tech",84,UIW,62
2022,Hampton,66,"Ga. Southern",86
2022,Mercer,58,"Saint Louis",75
2022,VMI,74,Marist,78
2022,"Georgia St.",77,"William & Mary",59
2022,Duquesne,76,Colorado,84
2022,"San Jose St.",45,Texas,79
2022,"North Dakota",79,"Fla. Atlantic",98
2022,"Fairleigh Dickinson",74,"St. John's (NY)",87
2022,Manhattan,76,Liberty,60
2022,Bucknell,100,"Illinois St.",105
2022,Tulsa,77,"Rhode Island",71
2022,"Western Caro.",80,American,79
2022,UAlbany,64,"Eastern Ky.",77
2022,Iona,81,"North Ala.",65
2022,Fairfield,71,"Sacred Heart",61
2022,"Western Ill.",80,DePaul,84
2022,"Morgan St.",63,Portland,74
2022,"N.C. Central",74,"Alabama St.",80
2022,Winthrop,63,Vanderbilt,77
2022,Pepperdine,48,"UC Irvine",82
2022,Omaha,47,Montana,68
2022,"UT Arlington",62,"San Diego St.",68
2022,"UC San Diego",71,"Sacramento St.",56
2022,"Texas St.",81,"Eastern Wash.",74
2022,Temple,75,Elon,58
2022,"Boston U.",76,NIU,58
2022,"Green Bay",58,"Weber St.",68
2022,"Norfolk St.",48,Xavier,88
2022,Bryant,78,"Holy Cross",62
2022,Penn,71,"Old Dominion",63
2022,"St. Thomas (MN)",86,SIUE,73
2022,"Boise St.",60,"Ole Miss",50
2022,Villanova,74,Purdue,80
2022,"UT Martin",77,"North Dakota",72
2022,"Georgia St.",74,"High Point",66
2022,"Air Force",73,Bethune-Cookman,65
2022,"Little Rock",59,"Sam Houston",77
2022,"Ball St.",89,Massachusetts,86
2022,Navy,77,Furman,66
2022,"Morehead St.",46,"Mississippi St.",66
2022,Princeton,81,"Oregon St.",80
2022,"Lamar University",75,"Southern Miss.",82
2022,"Alabama A&M",41,UAB,86
2022,"Tennessee St.",66,"South Dakota",83
2022,"Utah St.",73,Oklahoma,70
2022,"Western Caro.",64,Longwood,53
2022,Tennessee,89,"North Carolina",72
2022,Niagara,58,"Youngstown St.",53
2022,"Houston Baptist",61,Denver,74
2022,"A&M-Corpus Christi",77,UTSA,58
2022,Merrimack,43,"Virginia Tech",72
2022,"Jackson St.",66,Marshall,80
2022,"Southern U.",59,Nebraska,82
2022,"Ga. Southern",52,Wofford,70
2022,"UNC Greensboro",71,FIU,74
2022,Clemson,59,"West Virginia",66
2022,Howard,82,"William & Mary",76
2022,"Boston College",65,"Rhode Island",71
2022,"Florida St.",73,"LMU (CA)",45
2022,"Colorado St.",95,Creighton,81
2022,Davidson,76,"East Carolina",67
2022,"Texas Southern",57,"NC State",65
2022,Grambling,47,"Iowa St.",82
2022,Louisiana,44,Indiana,76
2022,"St. Bonaventure",70,Marquette,54
2022,Utah,72,Tulsa,58
2022,"Florida A&M",59,"Miami (FL)",86
2022,Missouri,80,SMU,75
2022,Northeastern,59,"Southern Ill.",47
2022,"New Mexico St.",80,"Indiana St.",66
2022,Michigan,62,Arizona,80
2022,"Northern Colo.",70,"California Baptist",74
2022,"Wichita St.",74,UNLV,73
2022,Evansville,104,Rice,109
2022,NIU,60,"Little Rock",67
2022,"Kent St.",74,"James Madison",69
2022,Charlotte,86,Toledo,98
2022,Bradley,70,Duquesne,78
2022,"Boston U.",72,"Sam Houston",59
2022,"Texas A&M",58,Wisconsin,69
2022,Oakland,63,Vermont,61
2022,Tulane,90,Drexel,87
2022,"Wright St.",63,"George Washington",74
2022,Nicholls,75,"Cal Poly",72
2022,"Northwestern St.",66,ULM,96
2022,Brown,52,Colorado,54
2022,Butler,52,Houston,70
2022,Fordham,63,Akron,43
2022,Idaho,45,"Utah Valley",83
2022,"Jacksonville St.",70,Valparaiso,78
2022,"Murray St.",58,ETSU,66
