,year,team1,team1_score,team2,team2_score
129,2024,Mobile,83,South Alabama,74
130,2024,Warner Pacific,36,Idaho St.,92
131,2024,UIW,56,Texas,88
132,2024,Tex. A&M-Commerce,46,Texas A&M,78
133,2024,Kentucky St.,57,Southern Ill.,88
134,2024,Trinity Christian,61,Valparaiso,100
135,2024,N.C. Central,56,Kansas,99
136,2024,Arkansas St.,76,Wisconsin,105
137,2024,Life (GA),72,Austin Peay,90
138,2024,Youngstown St.,62,Louisiana,72
139,2024,Ky. Wesleyan,64,Western Ky.,90
140,2024,Fisk,61,Tennessee St.,76
141,2024,Northern Ky.,57,Middle Tenn.,74
142,2024,NIU,70,Marquette,92
143,2024,Doane,53,Omaha,85
144,2024,James Madison,79,Michigan St.,76
145,2024,S'western Assemblies,63,SMU,82
146,2024,Blue Mountain (MS),60,North Ala.,93
147,2024,Dartmouth,54,Duke,92
148,2024,Mt. Marty,53,South Dakota,85
149,2024,Northwest Indian,63,Montana St.,103
150,2024,Abilene Christian,64,Oklahoma St.,59
151,2024,Southern U.,75,TCU,108
152,2024,UIC,58,Cincinnati,69
153,2024,McMurry,71,UTEP,120
154,2024,Southeast Mo. St.,67,Grand Canyon,88
155,2024,Jessup ,51,UC Davis,86
156,2024,Nicholls,81,Tulane,91
157,2024,St. Thomas (MN),66,California,71
158,2024,Houston Christian,63,BYU,110
159,2024,Akron,81,South Dakota St.,75
160,2024,Colorado Col.,58,Northern Colo.,87
161,2024,Texas Southern,55,New Mexico,92
162,2024,Eastern Wash.,66,Utah,101
163,2024,Portland St.,62,Air Force,55
164,2024,South Dakota Mines,48,Utah St.,101
165,2024,Morgan St.,59,Arizona,122
166,2024,Bethesda (CA),59,San Francisco,128
167,2024,Kansas St.,69,Southern California,82
168,2024,Louisiana Tech,73,Colorado St.,81
169,2024,CUI,64,Pepperdine,76
170,2024,Southern Utah,72,CSU Bakersfield,73
171,2024,La Verne,62,Cal Poly,80
172,2024,Sam Houston,64,Pacific,57
173,2024,Stanislaus St.,28,Saint Mary's (CA),107
174,2024,San Fran. St.,57,California Baptist,74
175,2024,Cal St. Fullerton,57,San Diego St.,83
176,2024,Long Beach St.,73,Portland,78
177,2024,Denver,87,UC San Diego,95
178,2024,Fresno Pacific,66,Fresno St.,77
179,2024,Idaho,59,Washington St.,84
180,2024,CSUN,79,Stanford,88
181,2024,Sonoma St.,64,San Diego,68
182,2024,Saint Francis (PA),44,UCLA,75
183,2024,Bellarmine,57,Washington,91
184,2024,Brescia,41,Jacksonville St.,91
185,2024,Drexel,61,La Salle,67
186,2024,Oakland City,49,App State,87
187,2024,FGCU,63,Indiana,69
188,2024,Stony Brook,74,St. John's (NY),90
189,2024,West Va. Tech,72,Eastern Ky.,108
190,2024,UAlbany,71,Massachusetts,92
191,2024,Dalton St.,65,Western Caro.,106
192,2024,Oakwood,46,Kennesaw St.,93
193,2024,Goshen,40,Ball St.,101
194,2024,Le Moyne,57,Georgetown,94
195,2024,Mount St. Mary's,53,Maryland,68
196,2024,St. Thomas (TX),57,Rice,101
197,2024,Presbyterian,68,Vanderbilt,62
198,2024,UNI,77,North Texas,83
199,2024,North Dakota,68,Iowa,110
200,2024,UNC Asheville,74,Michigan,99
201,2024,Northern N.M.,56,Wyoming,104
202,2024,S'western Adventist,46,A&M-Corpus Christi,111
203,2024,Vanguard ,55,Boise St.,89
204,2024,Purdue Fort Wayne,82,DePaul,74
205,2024,Benedictine Mesa,62,Weber St.,96
206,2024,Northwest Indian,59,Montana,107
207,2024,Florida A&M,54,Creighton,105
208,2024,Auburn,82,Baylor,88
209,2024,Sacramento St.,63,Nevada,77
210,2024,UC Irvine,64,San Jose St.,72
211,2024,Westcliff,68,LMU (CA),109
212,2024,UC Merced,69,UC Riverside,76
213,2024,Fisher,79,Bryant,140
214,2024,Me.-Presque Isle,59,Maine,111
215,2024,Brevard,44,Winthrop,98
216,2024,Troy,70,Ohio,88
217,2024,SUNY Morrisville,86,Cornell,107
218,2024,Goldey-Beacom,68,Delaware,101
219,2024,Penn St.-Brandywine,63,FDU,107
220,2024,Canisius,77,Syracuse,89
221,2024,Defiance,41,Cleveland St.,102
222,2024,Curry,38,New Hampshire,115
223,2024,Bucknell,61,Penn,80
224,2024,Fla. Atlantic,75,Loyola Chicago,62
225,2024,Shawnee St.,40,Morehead St.,96
226,2024,Western Ill.,53,SMU,90
227,2024,Monmouth (IL),45,Eastern Ill.,91
228,2024,Tex. A&M-Commerce,46,Texas Tech,73
229,2024,Mt. Marty,66,North Dakota St.,93
230,2024,Lipscomb,70,Drake,85
231,2024,Dakota Wesleyan,55,South Dakota St.,83
232,2024,Northern N.M.,60,Northern Colo.,81
233,2024,Xavier (LA),62,Alcorn,70
234,2024,Lincoln (MO),66,Saint Louis,102
235,2024,Lewis & Clark,72,Portland,89
236,2024,Sul Ross St.,49,New Mexico St.,84
237,2024,Arizona St.,56,Mississippi St.,71
238,2024,Jackson St.,61,San Diego,87
239,2024,Utah Tech,69,Santa Clara,77
240,2024,Prairie View,60,Seattle U,71
241,2024,Southern U.,85,UNLV,71
242,2024,John Brown,70,Baylor,96
243,2024,Pepperdine,78,UC Davis,79
244,2024,Cheyney,52,Morgan St.,100
245,2024,Mid-Atlantic Christ.,46,Hampton,109
246,2024,Columbia Int'l,58,Presbyterian,100
247,2024,Molloy,48,Wagner,83
248,2024,Northwestern St.,71,Tulane,88
249,2024,St. Francis (IL),56,Green Bay,72
250,2024,North Florida,81,Charleston So.,70
251,2024,Worcester St.,72,Merrimack,93
252,2024,ETSU,76,Elon,79
253,2024,Christendom,53,VMI,87
254,2024,Southern Ind.,51,Michigan St.,74
255,2024,Army West Point,44,Stonehill,57
256,2024,Tarleton St.,82,FIU,65
257,2024,South Carolina St.,52,South Fla.,96
258,2024,Virginia-Lynchburg,54,N.C. Central,107
259,2024,American,56,William & Mary,75
260,2024,Fairfield,80,Rhode Island,93
261,2024,Apprentice,56,Norfolk St.,90
262,2024,James Madison,113,Kent St.,108
263,2024,Andrews,34,Purdue Fort Wayne,130
264,2024,Point Park,56,Robert Morris,66
265,2024,Utah Valley,79,Sam Houston,73
266,2024,Western Ky.,61,Wichita St.,71
267,2024,Howard,85,Georgia Tech,88
268,2024,Lindenwood,47,Iowa St.,102
269,2024,Towson,70,Coppin St.,49
270,2024,Omaha,60,TCU,82
271,2024,Kentucky St.,58,Tennessee St.,83
272,2024,SFA,62,Middle Tenn.,67
273,2024,Alabama A&M,67,North Ala.,83
274,2024,UHSP,46,Evansville,116
275,2024,Lamar University,67,SMU,78
276,2024,Mercer,66,Chicago St.,61
277,2024,Florida A&M,54,Nebraska,81
278,2024,Champion Chris.,73,Ark.-Pine Bluff,116
279,2024,North Park,67,SIUE,92
280,2024,LIFE Pacific,73,Southern Utah,108
281,2024,Science & Arts Okla.,72,UTEP,123
