,year,team1,team1_score,team2,team2_score
1386,2024,Montana,66,Nevada,77
1387,2024,Northern Colo.,72,San Diego,74
1388,2024,Eastern Wash.,78,Southern California,106
1389,2024,Bellevue,59,Omaha,78
1390,2024,Liberty,58,Fla. Atlantic,83
1391,2024,Texas Tech,95,Butler,103
1392,2024,Apprentice,46,Longwood,95
1393,2024,South Alabama,52,Jacksonville St.,70
1394,2024,UMBC,70,Coppin St.,89
1395,2024,UNCW,66,East Carolina,74
1396,2024,FDU,52,Fordham,80
1397,2024,South Fla.,63,Hofstra,82
1398,2024,New Hampshire,90,Sacred Heart,84
1399,2024,Warren Wilson,56,Elon,127
1400,2024,Shawnee St.,61,Kent St.,103
1401,2024,New Orleans,64,Minnesota,97
1402,2024,Hannibal-La Grange,40,Western Ill.,92
1403,2024,Southeast Mo. St.,44,Kansas City,74
1404,2024,Tennessee Tech,71,North Ala.,86
1405,2024,Illinois St.,69,UIC,64
1406,2024,Ark.-Pine Bluff,86,Oklahoma,107
1407,2024,Louisiana,65,Samford,88
1408,2024,UT Martin,78,Rice,98
1409,2024,Delaware St.,76,Chicago St.,69
1410,2024,Texas St.,58,Texas,77
1411,2024,Hawaii,66,Utah,79
1412,2024,Rocky Mountain,70,Montana St.,62
1413,2024,Creighton,79,Oklahoma St.,65
1414,2024,Lamar University,83,UTSA,86
1415,2024,UC Davis,59,Oregon St.,71
1416,2024,UC Riverside,65,UCLA,66
1417,2024,Carolina Christian,69,Queens (NC),134
1418,2024,St. Thomas (MN),65,Western Mich.,51
1419,2024,SUNY Maritime,39,Army West Point,74
1420,2024,Col. of Charleston,76,Liberty,67
1421,2024,Houston,66,Xavier,60
1422,2024,Johnson (TN),51,UNC Asheville,97
1423,2024,Lake Superior St.,53,Eastern Mich.,68
1424,2024,William Peace,56,UNC Greensboro,88
1425,2024,Bryant,69,Brown,66
1426,2024,Iona,78,Fairfield,67
1427,2024,St. John's (NY),79,West Virginia,73
1428,2024,Rider,65,Siena,67
1429,2024,Saint Peter's,72,Niagara,67
1430,2024,Norfolk St.,63,VCU,60
1431,2024,Quinnipiac,73,Canisius,93
1432,2024,Mount St. Mary's,74,Manhattan,75
1433,2024,George Washington,67,South Carolina,89
1434,2024,UIW,82,Bethune-Cookman,96
1435,2024,Mercer,69,Georgia,80
1436,2024,Maryland,53,Indiana,65
1437,2024,Arkansas St.,66,Little Rock,77
1438,2024,Southeastern La.,66,LSU,73
1439,2024,Towson,48,South Dakota St.,61
1440,2024,Southern Miss.,85,UAB,82
1441,2024,Iowa St.,99,DePaul,80
1442,2024,SIUE,60,Troy,83
1443,2024,North Dakota,54,Cal St. Fullerton,64
1444,2024,Fresno St.,56,BYU,85
1445,2024,Purdue,88,Northwestern,92
1446,2024,Wyoming,70,Portland,81
1447,2024,UConn,65,Kansas,69
1448,2024,San Diego St.,63,UC San Diego,62
1449,2024,Saint Mary's (CA),60,Boise St.,63
1450,2024,Northern Ky.,71,IUPUI,55
1451,2024,Bucknell,76,Penn St.,67
1452,2024,Notre Dame,49,Miami (FL),62
1453,2024,Syracuse,62,Virginia,84
1454,2024,Marquette,64,Wisconsin,75
1455,2024,Holy Cross,67,Central Conn. St.,78
1456,2024,Presbyterian,75,VMI,71
1457,2024,South Fla.,56,Massachusetts,66
1458,2024,Lehigh,87,UMBC,92
1459,2024,Georgia St.,77,Kennesaw St.,88
1460,2024,Cornell,79,Lafayette,71
1461,2024,Delaware,73,Ohio,74
1462,2024,Florida St.,70,North Carolina,78
1463,2024,St. Bonaventure,80,Buffalo,65
1464,2024,The Citadel,85,N.C. A&T,68
1465,2024,Youngstown St.,71,Robert Morris,57
1466,2024,Boston U.,70,Sacred Heart,49
1467,2024,Bellarmine,58,Ball St.,67
1468,2024,Saint Francis (PA),75,American,73
1469,2024,Drexel,57,Villanova,55
1470,2024,Old Dominion,68,Northeastern,81
1471,2024,High Point,86,North Florida,79
1472,2024,UNI,89,Evansville,91
1473,2024,Furman,69,Princeton,70
1474,2024,Binghamton,79,Stonehill,64
1475,2024,Valparaiso,68,Belmont,77
1476,2024,Grambling,46,Dayton,76
1477,2024,Indiana St.,85,Bradley,77
1478,2024,Southern Va.,56,Campbell,87
1479,2024,Mississippi Val.,48,North Texas,79
1480,2024,North Ala.,74,Kansas St.,75
1481,2024,Memphis,77,Ole Miss,80
1482,2024,Duke,68,Georgia Tech,72
1483,2024,UT Martin,80,McNeese,91
1484,2024,USC Upstate,85,N.C. Central,82
1485,2024,Jacksonville,81,Ga. Southern,79
1486,2024,Wright St.,73,Davidson,82
1487,2024,Detroit Mercy,58,Cleveland St.,69
1488,2024,Colgate,55,Arizona,82
1489,2024,UHSP,50,Eastern Ill.,112
1490,2024,Nicholls,55,Louisiana Tech,68
1491,2024,San Jose St.,58,Montana,75
1492,2024,Colorado Col.,66,Denver,90
1493,2024,Purdue Fort Wayne,98,Oakland,77
1494,2024,Winthrop,90,Coastal Carolina,87
1495,2024,FDU,71,NJIT,68
1496,2024,Michigan,83,Oregon,86
1497,2024,Wagner,60,Stony Brook,59
1498,2024,Saint Louis,62,Southern Ill.,101
1499,2024,Harvard,53,Loyola Chicago,75
1500,2024,UNCW,80,Kentucky,73
1501,2024,Bowling Green,54,Southern Ind.,52
1502,2024,NC State,84,Boston College,78
1503,2024,Pacific,58,Northern Ariz.,78
1504,2024,CSUN,71,Northern Colo.,75
1505,2024,Missouri St.,57,Drake,74
1506,2024,Lipscomb,57,UCF,72
1507,2024,Illinois,76,Rutgers,58
1508,2024,La Salle,93,Penn,92
1509,2024,Portland St.,61,Washington St.,71
1510,2024,Alabama A&M,59,Vanderbilt,78
1511,2024,Houston Christian,56,Rice,65
1512,2024,Cal Poly,70,Idaho,85
1513,2024,UTRGV,75,Tarleton St.,77
1514,2024,Delaware St.,79,Loyola Maryland,73
1515,2024,South Carolina St.,64,Charleston So.,66
1516,2024,TCU,84,Georgetown,83
1517,2024,William & Mary,69,Richmond,88
1518,2024,SFA,79,Abilene Christian,74
1519,2024,Northwestern St.,40,Baylor,91
1520,2024,Southern Utah,63,Seattle U,73
1521,2024,Col. of Charleston,74,Fla. Atlantic,90
1522,2024,LIU,59,FIU,74
1523,2024,Sacramento St.,73,Long Beach St.,83
1524,2024,Western Caro.,77,Gardner-Webb,82
1525,2024,Milwaukee,58,Green Bay,70
1526,2024,Washington,81,Colorado St.,86
1527,2024,Yale,65,Vermont,66
1528,2024,George Mason,86,Toledo,77
1529,2024,UMass Lowell,68,Merrimack,74
1530,2024,Miami (OH),79,Marshall,74
1531,2024,Santa Clara,69,California,84
1532,2024,Austin Peay,65,Tennessee St.,69
1533,2024,Wofford,74,Middle Tenn.,64
1534,2024,Temple,65,Saint Joseph's,74
1535,2024,Rhode Island,69,Providence,84
1536,2024,Tulsa,70,Oral Roberts,79
1537,2024,Dartmouth,68,UAlbany,73
1538,2024,UT Arlington,69,Grand Canyon,76
1539,2024,Lindenwood,70,Idaho St.,76
1540,2024,UC Irvine,69,Utah St.,79
1541,2024,Utah Valley,53,Utah Tech,65
1542,2024,New Mexico St.,62,New Mexico,106
1543,2024,LMU (CA),59,Nevada,73
1544,2024,Gonzaga,89,Southern California,76
1545,2024,Brown,49,Maine,60
1546,2024,Columbia,71,New Hampshire,80
1547,2024,FGCU,62,Cincinnati,99
1548,2024,Auburn,64,App State,69
1549,2024,Saint Peter's,54,Canisius,52
1550,2024,Tulane,89,Fordham,81
1551,2024,Siena,48,Mount St. Mary's,80
1552,2024,Keystone,59,James Madison,130
1553,2024,Coppin St.,52,Navy,75
1554,2024,Fairfield,88,Rider,81
1555,2024,Quinnipiac,75,Niagara,68
1556,2024,Manhattan,56,Marist,70
1557,2024,Longwood,88,Morgan St.,54
1558,2024,Clemson,79,Pittsburgh,70
1559,2024,Elon,72,Radford,82
1560,2024,South Dakota,70,Western Ill.,68
1561,2024,Stetson,54,Chicago St.,77
1562,2024,Virginia-Lynchburg,66,Hampton,121
1563,2024,Wichita St.,72,Missouri,82
1564,2024,ETSU,61,Jacksonville St.,59
1565,2024,San Francisco,61,Arizona St.,72
1566,2024,Murray St.,72,Illinois St.,76
1567,2024,Tex. A&M-Commerce,47,SMU,90
1568,2024,Creighton,89,Nebraska,60
1569,2024,Chattanooga,80,Morehead St.,87
1570,2024,Air Force,80,Portland,58
1571,2024,Alice Lloyd,82,Tennessee Tech,108
1572,2024,Southern U.,60,Mississippi St.,59
1573,2024,Mo. Baptist,56,Southeast Mo. St.,84
1574,2024,Louisville,68,Virginia Tech,75
1575,2024,LaGrange,82,Samford,128
1576,2024,Pepperdine,66,Colorado,91
1577,2024,Eastern Ky.,69,Western Ky.,79
1578,2024,Stanton,52,Cal St. Fullerton,102
1579,2024,Lamar University,70,Sam Houston,90
1580,2024,Minnesota,74,Ohio St.,84
1581,2024,San Diego,64,Stanford,88
1582,2024,MUW,60,Alabama St.,80
1583,2024,North Dakota,62,UC Riverside,68
1584,2024,Central Ark.,76,Hawaii,95
1585,2024,Boyce,54,Bellarmine,88
1586,2024,UMES,52,East Carolina,63
1587,2024,Iowa,68,Purdue,87
1588,2024,Middle Ga. St.,57,Georgia St.,89
1589,2024,St. Andrews,46,Coastal Carolina,110
1590,2024,Arkansas St.,65,Alabama,89
1591,2024,Furman,83,Arkansas,97
1592,2024,San Jose St.,78,North Dakota St.,83
1593,2024,Western N.M.,62,UTEP,90
1594,2024,Cal Poly,63,Oregon St.,70
1595,2024,Central Conn. St.,68,Boston College,82
1596,2024,Le Moyne,51,Army West Point,68
1597,2024,Fisher,69,UMass Lowell,117
1598,2024,Delaware,87,Xavier,80
1599,2024,Fla. Atlantic,89,Illinois,98
1600,2024,George Mason,66,Tennessee,87
1601,2024,Queens (NC),82,Winthrop,88
1602,2024,Gwynedd Mercy,58,Delaware St.,105
1603,2024,Providence,51,Oklahoma,72
1604,2024,Bradley,52,Akron,67
1605,2024,Merrimack,57,Florida,77
1606,2024,Wisconsin,70,Michigan St.,57
1607,2024,New College (FL),54,FGCU,87
1608,2024,Stetson,62,Charlotte,85
1609,2024,UNC Asheville,76,Kennesaw St.,79
1610,2024,Western Mich.,65,Notre Dame,86
1611,2024,Pfeiffer,60,The Citadel,88
1612,2024,Mississippi Val.,39,Liberty,74
1613,2024,Villanova,71,Kansas St.,72
1614,2024,N.C. Central,47,Virginia,77
1615,2024,Drexel,70,Princeton,81
1616,2024,SUNY Potsdam,59,UAlbany,98
1617,2024,Edward Waters,47,North Florida,99
1618,2024,Lafayette,72,Columbia,83
1619,2024,Navy,77,George Washington,79
1620,2024,Western Caro.,71,High Point,97
1621,2024,Georgia Tech,62,Georgia,76
1622,2024,Missouri St.,73,Middle Tenn.,77
1623,2024,Champion Chris.,63,ULM,110
1624,2024,Louisiana Tech,56,SFA,49
1625,2024,Cornell,70,Syracuse,81
1626,2024,Weber St.,54,Utah Valley,70
1627,2024,Midway,44,Austin Peay,98
1628,2024,Indiana St.,90,NIU,67
1629,2024,Central Penn,35,App State,111
1630,2024,Belhaven,65,New Orleans,79
1631,2024,Mount St. Mary's,68,Ole Miss,77
1632,2024,Kansas City,69,Kansas,88
1633,2024,Hardin-Simmons,56,Tarleton St.,92
1634,2024,MUW,23,McNeese,92
1635,2024,Buffalo,59,Butler,72
1636,2024,South Dakota Mines,59,Wyoming,80
1637,2024,Loyola Chicago,77,Tulsa,88
1638,2024,Southern Utah,86,Utah,88
1639,2024,North Carolina,76,UConn,87
1640,2024,North Texas,64,Boise St.,69
1641,2024,Ark.-Pine Bluff,71,Gonzaga,111
1642,2024,Occidental,67,UC San Diego,98
1643,2024,Mont. St.-Northern,67,Montana,91
1644,2024,Indiana,78,Michigan,75
1645,2024,Seton Hall,60,Baylor,78
1646,2024,Oklahoma St.,68,Southern Ill.,70
1647,2024,Evansville,55,BYU,96
1648,2024,San Diego St.,73,Grand Canyon,79
1649,2024,Pacific,53,Idaho,83
1650,2024,Kent St.,82,South Dakota St.,73
1651,2024,Cleveland St.,57,Saint Mary's (CA),70
1652,2024,Whittier,58,CSU Bakersfield,106
1653,2024,Idaho St.,67,Fresno St.,79
1654,2024,Montana St.,61,Washington,85
1655,2024,South Alabama,83,Mercer,62
1656,2024,UNT Dallas,37,UT Arlington,74
1657,2024,Rutgers,57,Wake Forest,76
1658,2024,UMBC,80,Morgan St.,92
1659,2024,FDU-Florham,57,Penn,111
1660,2024,Loyola Maryland,61,La Salle,62
1661,2024,Stonehill,63,Stony Brook,81
1662,2024,Ball St.,68,Detroit Mercy,65
1663,2024,Massachusetts,71,Towson,81
1664,2024,LIU,49,Miami (FL),97
1665,2024,Miami (OH),64,Ohio St.,84
1666,2024,Florida A&M,65,Presbyterian,60
1667,2024,Wofford,81,Gardner-Webb,66
1668,2024,Brown,67,Rhode Island,64
1669,2024,Fairfield,75,Yale,71
1670,2024,St. Bonaventure,94,Niagara,60
1671,2024,Campbell,50,Davidson,62
1672,2024,Toledo,69,Oakland,68
1673,2024,New Hampshire,64,Dartmouth,76
1674,2024,Penn St.,75,Maryland,81
1675,2024,VTSU Lyndon,37,Colgate,115
1676,2024,Old Dominion,79,William & Mary,84
1677,2024,Youngstown St.,78,Ohio,72
1678,2024,Duquesne,85,Marshall,72
1679,2024,Memphis,85,VCU,80
1680,2024,Valparaiso,67,Central Mich.,71
1681,2024,Sacred Heart,50,St. John's (NY),85
1682,2024,American,53,Saint Joseph's,69
1683,2024,Maine,74,Boston U.,65
1684,2024,Jacksonville,52,UCF,94
1685,2024,Wagner,62,Coppin St.,59
1686,2024,UMES,61,NC State,93
1687,2024,Robert Morris,80,Canisius,87
1688,2024,NJIT,80,Fordham,77
1689,2024,Bryant,67,Siena,51
1690,2024,Vermont,73,Northeastern,71
1691,2024,Hofstra,62,Iona,57
1692,2024,Bloomsburg,55,Temple,85
1693,2024,Harris-Stowe,45,Southeast Mo. St.,95
1694,2024,Purdue Fort Wayne,70,Southern Ind.,57
1695,2024,South Carolina,67,Clemson,72
1696,2024,Northern Ariz.,78,Abilene Christian,76
1697,2024,S'western Adventist,58,Houston Christian,95
1698,2024,Texas,65,Marquette,86
1699,2024,Green Bay,69,SIUE,78
1700,2024,UTRGV,76,A&M-Corpus Christi,74
1701,2024,Omaha,58,Texas Tech,87
1702,2024,Milwaukee,71,St. Thomas (MN),75
1703,2024,Saint Louis,69,Drake,75
1704,2024,Richmond,73,UNI,78
1705,2024,Northern Ky.,59,Illinois St.,62
1706,2024,San Francisco,73,Vanderbilt,60
1707,2024,Lipscomb,71,Belmont,72
1708,2024,Rice,39,Houston,75
1709,2024,Coe,58,Western Ill.,80
1710,2024,DePaul,64,Texas A&M,89
1711,2024,Nebraska,65,Minnesota,76
1712,2024,Pittsburgh,80,West Virginia,63
1713,2024,Denver,80,Colorado St.,90
1714,2024,UC Santa Barbara,61,New Mexico,84
1715,2024,San Diego,81,Utah St.,108
1716,2024,UC Davis,68,Nevada,80
1717,2024,UC Riverside,49,Washington St.,86
1718,2024,SMU,74,Arizona St.,76
1719,2024,Utah Tech,72,California Baptist,69
1720,2024,Cal St. Fullerton,60,Pepperdine,55
1721,2024,LIFE Pacific,66,Long Beach St.,88
1722,2024,Lewis & Clark,60,Portland St.,104
1723,2024,Berea,59,Bellarmine,98
1724,2024,Rust,65,North Ala.,109
1725,2024,Virginia-Lynchburg,73,Delaware St.,106
1726,2024,Bethel (IN),62,Wright St.,81
1727,2024,Eastern Ky.,85,UNC Greensboro,87
1728,2024,Little Rock,71,Central Ark.,75
1729,2024,Iowa,65,Iowa St.,90
1730,2024,IUPUI,58,Eastern Ill.,75
1731,2024,Portland,67,North Dakota St.,78
1732,2024,Bethesda (CA),54,CSUN,92
1733,2024,Saint Peter's,59,Duquesne,68
1734,2024,UIC,55,Jacksonville St.,49
1735,2024,Oakland,77,Eastern Mich.,63
1736,2024,N.C. A&T,62,High Point,75
1737,2024,Army West Point,64,Harvard,70
1738,2024,Stonehill,56,Rider,73
1739,2024,Holy Cross,64,Boston College,95
1740,2024,Colby-Sawyer,36,Yale,95
1741,2024,Navy,68,Quinnipiac,71
1742,2024,FDU,76,Manhattan,71
1743,2024,Syracuse,80,Georgetown,68
1744,2024,Tulane,76,Mississippi St.,106
1745,2024,UMass Lowell,77,Massachusetts,91
1746,2024,South Carolina,68,East Carolina,62
1747,2024,FGCU,57,Minnesota,77
1748,2024,Illinois,79,Tennessee,86
1749,2024,Ark.-Pine Bluff,63,UConn,101
1750,2024,Penn,66,Kentucky,81
1751,2024,Virginia-Lynchburg,50,Morgan St.,120
1752,2024,California,90,Butler,97
1753,2024,Valparaiso,50,Virginia Tech,71
1754,2024,Troy,70,Dayton,82
1755,2024,American,77,VMI,69
1756,2024,Youngstown St.,72,Western Mich.,68
1757,2024,CarolinaU,64,Queens (NC),112
1758,2024,Towson,89,UMBC,73
1759,2024,Kansas St.,75,LSU,60
1760,2024,Alabama,86,Purdue,92
1761,2024,South Fla.,88,Florida St.,72
1762,2024,Central Mich.,64,Creighton,109
1763,2024,Bethune-Cookman,80,South Carolina St.,71
1764,2024,Colgate,77,Vermont,71
1765,2024,Cleveland St.,77,Kent St.,83
1766,2024,Wofford,88,Coastal Carolina,80
1767,2024,La Salle,67,Lafayette,51
1768,2024,Western Ky.,82,Buffalo,65
1769,2024,Southern Ind.,54,Indiana St.,98
1770,2024,Longwood,62,Delaware St.,61
1771,2024,Le Moyne,79,Binghamton,91
1772,2024,Ga. Southern,56,North Florida,64
1773,2024,Grand Canyon,69,Liberty,64
1774,2024,Portland,83,North Dakota,72
1775,2024,Louisville,68,DePaul,75
1776,2024,Auburn,104,Indiana,76
1777,2024,Bob Jones,58,Furman,100
1778,2024,Central Conn. St.,56,Maine,69
1779,2024,Georgia St.,60,Mercer,64
1780,2024,Miami (OH),61,Davidson,79
1781,2024,NIU,71,Monmouth,74
1782,2024,UNI,80,Toledo,84
1783,2024,Cairn,33,Lehigh,88
1784,2024,LeMoyne-Owen,78,Florida A&M,108
1785,2024,Charlotte,56,Duke,80
1786,2024,Houston Christian,50,Texas,77
1787,2024,Louisiana,67,Louisiana Tech,72
1788,2024,Northwestern St.,74,Southern Miss.,83
1789,2024,Montana Tech,67,Montana,88
1790,2024,Hofstra,68,Saint Louis,71
1791,2024,Wisconsin,73,Arizona,98
1792,2024,UAB,68,Arkansas St.,87
1793,2024,Marshall,74,Ohio,69
1794,2024,Bethesda (CA),76,UC Santa Barbara,126
1795,2024,TCU,66,Clemson,74
1796,2024,Spring Hill,74,South Alabama,91
1797,2024,Marist,63,Dartmouth,53
1798,2024,Siena,56,St. Bonaventure,89
1799,2024,Alabama A&M,49,Georgia Tech,70
1800,2024,UNC Asheville,63,Western Caro.,78
1801,2024,Drexel,60,West Virginia,66
1802,2024,Arkansas,70,Oklahoma,79
1803,2024,Richmond,76,Florida,87
1804,2024,Northern Ariz.,76,UIW,75
1805,2024,SFA,70,Wyoming,78
1806,2024,Western Ore.,70,Boise St.,109
1807,2024,Jackson St.,55,Houston,89
1808,2024,Elizabeth City St.,70,Nicholls,84
1809,2024,Omaha,58,A&M-Corpus Christi,62
1810,2024,Kansas City,72,Lindenwood,67
1811,2024,N.C. Central,74,Radford,82
1812,2024,Santa Clara,76,New Mexico,93
1813,2024,Mount St. Mary's,77,Loyola Maryland,64
1814,2024,George Fox,77,Portland St.,83
1815,2024,Milwaukee,81,UC Davis,79
1816,2024,Utah Valley,71,Oregon St.,74
1817,2024,New Orleans,82,San Jose St.,87
1818,2024,Cal St. Fullerton,62,Sacramento St.,60
1819,2024,Missouri,64,Kansas,73
1820,2024,Coppin St.,45,George Washington,76
1821,2024,Canisius,71,Pittsburgh,82
1822,2024,Fairfield,67,Sacred Heart,57
1823,2024,Goshen,64,Loyola Chicago,115
1824,2024,Eastern Wash.,73,Air Force,68
1825,2024,Ohio St.,80,Penn St.,83
1826,2024,Southeastern La.,44,Southern U.,69
1827,2024,Saint Mary's (CA),64,Colorado St.,61
1828,2024,Cincinnati,79,Xavier,84
1829,2024,Bryant,75,Stony Brook,86
1830,2024,UCLA,56,Villanova,65
1831,2024,Western Ill.,68,Green Bay,59
1832,2024,Southeast Mo. St.,80,Purdue Fort Wayne,89
1833,2024,James Madison,84,Old Dominion,69
1834,2024,Norfolk St.,64,Illinois St.,58
1835,2024,Sam Houston,60,Missouri St.,69
1836,2024,CSU Bakersfield,73,South Dakota,78
1837,2024,Pacific,56,Fresno St.,89
1838,2024,Akron,77,Northern Ky.,76
1839,2024,Kennesaw St.,84,USC Upstate,77
1840,2024,BYU,69,Utah,73
1841,2024,South Dakota St.,79,Wichita St.,69
1842,2024,Murray St.,49,Austin Peay,53
1843,2024,Felician,85,Merrimack,89
1844,2024,Drake,72,Nevada,53
1845,2024,NJIT,59,Wake Forest,83
1846,2024,Northwest (WA),46,Seattle U,101
1847,2024,Ozark Christian,51,Oral Roberts,110
1848,2024,Idaho St.,74,Southern Utah,82
1849,2024,Rutgers,70,Seton Hall,63
1850,2024,Belmont,75,Middle Tenn.,65
1851,2024,Northwest Nazarene,53,Utah St.,84
1852,2024,UTEP,49,Oregon,71
1853,2024,UC San Diego,62,Pepperdine,68
1854,2024,Idaho,63,Utah Tech,62
1855,2024,Cal Poly,50,Weber St.,78
1856,2024,Notre Dame,59,Marquette,78
1857,2024,LMU (CA),78,UNLV,75
1858,2024,UC Irvine,62,San Diego St.,63
1859,2024,Arizona St.,84,San Diego,89
1860,2024,Gonzaga,73,Washington,78
1861,2024,North Texas,59,Fordham,60
1862,2024,Brown,54,Providence,74
1863,2024,Prairie View,56,Iowa St.,107
1864,2024,Ark.-Fort Smith,60,UTSA,93
1865,2024,Winthrop,85,Little Rock,68
1866,2024,Boston U.,73,Wagner,59
1867,2024,Princeton,70,Saint Joseph's,74
1868,2024,Tenn. Wesleyan,51,Chattanooga,112
1869,2024,Virginia-Lynchburg,50,William & Mary,99
1870,2024,Buffalo St.,64,Niagara,113
1871,2024,SIUE,71,Ball St.,83
1872,2024,Montreat,50,UNCW,119
1873,2024,Oak Hills Christian,14,North Dakota St.,108
1874,2024,Detroit Mercy,59,Northwestern,91
1875,2024,Alcorn,58,VCU,86
1876,2024,Johnson (FL),43,Stetson,123
1877,2024,Rhode Island,70,Col. of Charleston,85
1878,2024,Colorado,90,Miami (FL),63
1879,2024,Ohio Dominican,49,Bowling Green,97
1880,2024,Morehead St.,86,North Ala.,77
1881,2024,St. Thomas (MN),66,Chicago St.,50
1882,2024,Central Ark.,73,Eastern Ill.,70
1883,2024,Ecclesia,52,UT Martin,110
1884,2024,Memphis,81,Texas A&M,75
1885,2024,Howard Payne,69,Abilene Christian,120
1886,2024,Ole Miss,70,UCF,68
1887,2024,Bethany (WV),56,Eastern Ky.,121
1888,2024,Tennessee Tech,72,ETSU,73
1889,2024,Long Beach St.,84,Southern California,79
1890,2024,Michigan,90,Iowa,80
1891,2024,Boston College,86,St. John's (NY),80
1892,2024,Elon,73,UNC Greensboro,82
1893,2024,Tennessee St.,71,Lipscomb,78
1894,2024,Saint Francis (PA),54,Iona,61
1895,2024,Tulsa,57,Oklahoma St.,72
1896,2024,Michigan St.,70,Nebraska,77
1897,2024,Temple,78,UAlbany,73
1898,2024,Grambling,65,Washington St.,83
1899,2024,Hawaii Pacific,53,Hawaii,78
1900,2024,Gallaudet,61,Longwood,92
1901,2024,Northern Colo.,99,Tex. A&M-Commerce,101
1902,2024,Howard,68,Penn,78
1903,2024,Stonehill,62,New Hampshire,75
1904,2024,Mary Baldwin,53,Hampton,100
1905,2024,North Greenville,60,Gardner-Webb,79
1906,2024,Delaware,73,Robert Morris,69
1907,2024,Columbia,87,FDU,83
1908,2024,Yale,73,Quinnipiac,66
1909,2024,Jacksonville,85,South Carolina St.,86
1910,2024,Alabama A&M,91,Samford,118
1911,2024,Jarvis Christian,58,Texas St.,107
1912,2024,Mississippi Val.,40,Gonzaga,78
1913,2024,Utah Tech,75,CSUN,80
1914,2024,New Orleans,72,San Francisco,85
1915,2024,Champion Chris.,61,Southern U.,109
1916,2024,LIU,65,UMass Lowell,78
1917,2024,Monmouth,61,Seton Hall,70
1918,2024,UT Martin,67,NC State,81
1919,2024,Alcorn,65,Maryland,105
1920,2024,N.C. Central,67,N.C. A&T,62
1921,2024,Western Ky.,91,Wright St.,84
1922,2024,Hofstra,68,Duke,89
1923,2024,VMI,56,Radford,73
1924,2024,Ark.-Pine Bluff,86,South Fla.,104
1925,2024,Bethel (TN),74,Tennessee Tech,81
1926,2024,Pfeiffer,59,Campbell,88
1927,2024,Southern-N.O.,63,Troy,110
1928,2024,UMBC,60,Saint Peter's,66
1929,2024,Bryant,53,Cincinnati,85
1930,2024,Bowie St.,73,George Washington,88
1931,2024,Ga. Southern,56,Tennessee,74
1932,2024,Southeastern La.,60,Louisiana Tech,89
1933,2024,ULM,62,Sam Houston,63
1934,2024,Tabor,57,Kansas City,80
1935,2024,IUPUI,65,Minnesota,101
1936,2024,Sterling (KS),47,Tarleton St.,85
1937,2024,Avila,64,Lindenwood,81
1938,2024,Green Bay,70,UIC,68
1939,2024,Austin Peay,70,Southern Ill.,68
1940,2024,Waldorf,36,North Dakota,87
1941,2024,Prairie View,55,UNI,74
1942,2024,Coppin St.,54,Georgetown,71
1943,2024,Northwestern St.,54,Boise St.,95
1944,2024,Northern N.M.,71,New Mexico St.,76
1945,2024,Oral Roberts,76,Texas Tech,82
1946,2024,California Baptist,55,Oregon,76
1947,2024,Mid-Atlantic Christ.,51,Presbyterian,118
1948,2024,UIW,57,Rice,80
1949,2024,Regent,49,Howard,88
1950,2024,Bryn Athyn,40,Princeton,92
1951,2024,Norfolk St.,78,Stony Brook,84
1952,2024,FIU,60,Fla. Atlantic,94
1953,2024,Marshall,87,Toledo,88
1954,2024,App State,93,Queens (NC),81
1955,2024,Boston U.,54,Dartmouth,63
1956,2024,North Ala.,76,Charleston So.,64
1957,2024,Murray St.,81,Mississippi St.,85
1958,2024,UTSA,84,Little Rock,93
1959,2024,Tennessee St.,52,Liberty,74
1960,2024,Chicago St.,75,Northwestern,73
1961,2024,Arkansas St.,75,Louisville,63
1962,2024,Longwood,80,Milwaukee,67
1963,2024,Southern Miss.,48,McNeese,67
1964,2024,UAB,93,Alabama A&M,82
1965,2024,Alabama St.,56,LSU,74
1966,2024,UNC Asheville,62,Auburn,87
1967,2024,Eastern Ky.,62,Louisiana,73
1968,2024,Denver,74,BYU,90
1969,2024,Portland Bible,34,Eastern Wash.,103
1970,2024,Creighton,64,UNLV,79
1971,2024,Utah St.,84,Santa Clara,82
1972,2024,Weber St.,55,Nevada,72
1973,2024,Seattle U,59,San Francisco,62
1974,2024,Trinity Baptist,54,Jacksonville,91
1975,2024,Bethany (WV),70,Youngstown St.,107
1976,2024,Jacksonville St.,60,Wisconsin,75
1977,2024,The Citadel,71,Col. of Charleston,86
1978,2024,St. Mary-Woods,33,Morehead St.,102
1979,2024,East Carolina,65,Florida,70
1980,2024,Furman,110,Tulane,117
1981,2024,Saint Augustine's,48,Campbell,97
1982,2024,Cumberlands (KY),59,Northern Ky.,94
1983,2024,Birmingham-So.,51,New Orleans,91
1984,2024,Grambling,56,Drake,68
1985,2024,ULM,73,Lamar University,97
1986,2024,Mayville St.,62,South Dakota St.,94
1987,2024,St. Thomas (MN),79,Marquette,84
1988,2024,Mount St. Mary's,72,Saint Francis (PA),65
1989,2024,Bridgewater (VA),70,Elon,104
1990,2024,Saginaw Valley,70,Butler,96
1991,2024,St. Andrews,50,N.C. Central,102
1992,2024,Tusculum,43,ETSU,105
1993,2024,Texas St.,73,Sam Houston,60
1994,2024,A&M-Corpus Christi,86,UTRGV,76
1995,2024,Northern Colo.,68,Colorado,90
1996,2024,Cleveland St.,76,Bradley,69
1997,2024,New Mexico,73,New Mexico St.,72
