,year,team1,team1_score,team2,team2_score
144,2025,Cleveland St.,53,Michigan,101
145,2025,Bowling Green,68,Southern Miss.,77
146,2025,East Texas A&M,67,Iowa,89
147,2025,Lafayette,63,Villanova,75
148,2025,Chicago St.,72,Loyola Chicago,79
149,2025,Fisk,66,Tennessee St.,96
150,2025,Dallas,51,SFA,85
151,2025,Howard Payne,74,Abilene Christian,107
152,2025,Westminster (MO),42,SIUE,95
153,2025,Tarleton St.,62,SMU,96
154,2025,William Carey,53,Southeastern La.,91
155,2025,Western N.M.,68,Southern Utah,96
156,2025,Stony Brook,62,Marquette,102
157,2025,South Fla.,83,Florida,98
158,2025,Champion Chris.,61,ULM,111
159,2025,LIU,60,Ole Miss,90
160,2025,Northwest Indian,35,Weber St.,118
161,2025,Eastern Wash.,56,Colorado,76
162,2025,N.M. Highlands,57,New Mexico St.,93
163,2025,Nicholls,84,New Mexico,91
164,2025,Hawaii Hilo,61,Montana,92
165,2025,Southern U.,79,South Dakota,93
166,2025,Sul Ross St.,55,UTEP,102
167,2025,Elon,76,North Carolina,90
168,2025,LIFE Pacific,56,LMU (CA),99
169,2025,Northwest (WA),60,Idaho,94
170,2025,Lindenwood,60,Oklahoma,93
171,2025,Alcorn,59,Utah,100
172,2025,Cal St. Fullerton,79,Grand Canyon,89
173,2025,Green Bay,76,Oklahoma St.,89
174,2025,UNC Asheville,54,Alabama,110
175,2025,North Central (MN),71,St. Thomas (MN),96
176,2025,North Ala.,73,Air Force,57
177,2025,North Dakota,56,Colorado St.,82
178,2025,Concordia-St. Paul,85,Wyoming,108
179,2025,Ohio St.,80,Texas,72
180,2025,Colorado Col.,55,Northern Colo.,75
181,2025,San Fran. St.,47,UC Santa Barbara,96
182,2025,Utah Tech,57,Oregon St.,80
183,2025,Jessup,65,Pacific,92
184,2025,Towson,69,Saint Mary's (CA),76
185,2025,Sam Houston,75,Nevada,91
186,2025,Chattanooga,51,Southern California,77
187,2025,UIW,78,California Baptist,83
188,2025,Western Ill.,59,San Jose St.,55
189,2025,La Verne,48,Long Beach St.,93
190,2025,Canisius,64,Arizona,93
191,2025,Rider,50,UCLA,85
192,2025,UC Riverside,76,Oregon,91
193,2025,Chapman,52,UC Irvine,82
194,2025,Portland St.,92,Washington St.,100
195,2025,CSU Bakersfield,73,California,86
196,2025,Baylor,63,Gonzaga,101
197,2025,Alabama St.,79,UNLV,93
198,2025,Toccoa Falls,61,Kennesaw St.,110
199,2025,SUNY Canton,62,Colgate,95
200,2025,FIU,70,Rice,77
201,2025,Bethune-Cookman,61,Texas Tech,94
202,2025,New Orleans,65,Kansas St.,89
203,2025,Evansville,63,North Texas,80
204,2025,Idaho St.,48,Arizona St.,55
205,2025,Central Ark.,50,BYU,88
206,2025,Cal Maritime,44,Sacramento St.,106
207,2025,Cal Poly,78,San Francisco,86
208,2025,UC Davis,73,Washington,79
209,2025,Mercyhurst,78,Morgan St.,73
210,2025,Wagner,52,Rutgers,75
211,2025,Me.-Fort Kent,47,Maine,98
212,2025,Sacred Heart,56,UConn,92
213,2025,Coppin St.,51,High Point,93
214,2025,Columbia,90,Villanova,80
215,2025,Boyce,48,Morehead St.,89
216,2025,Campbell,56,Virginia,65
217,2025,CSUN,97,Le Moyne,75
218,2025,Stonehill,60,Notre Dame,89
219,2025,Baldwin Wallace,53,Cleveland St.,91
220,2025,Lehigh,77,Georgetown,85
221,2025,UMass Boston,69,New Hampshire,99
222,2025,Mount Olive,68,Richmond,101
223,2025,Ohio Christian,60,Wright St.,89
224,2025,Piedmont,70,USC Upstate,103
225,2025,Carolina Christian,45,Presbyterian,120
226,2025,TAMU-San Antonio,66,Texas Southern,100
227,2025,Virginia-Lynchburg,60,Norfolk St.,104
