,book,team1,highest_ev,team1_ev,team1_p,team1_spread,team1_book_odds,team2,team2_ev,team2_p,team2_spread,team2_book_odds,away_fuzzy_match,home_fuzzy_match
240,fanduel,Grambling,983.3333333333334,-82.85714285714286,0.16666666666666666,16.66903305053711,-3500,Utah Valley,983.3333333333334,0.8333333333333334,-16.66903305053711,1200,Grambling St Tigers,Miss Valley St Delta Devils
239,draftkings,Grambling,983.3333333333334,-82.6388888888889,0.16666666666666666,16.66903305053711,-2400,Utah Valley,983.3333333333334,0.8333333333333334,-16.66903305053711,1200,Grambling St Tigers,Miss Valley St Delta Devils
260,fanduel,LSU,954.7511312217194,954.7511312217194,0.8371040723981901,-12.588529586791992,1160,Harvard,-83.12863606981254,0.16289592760180996,12.588529586791992,-2800,LSU Tigers,Alabama Crimson Tide
261,draftkings,LSU,904.5248868778281,904.5248868778281,0.8371040723981901,-12.588529586791992,1100,Harvard,-82.93471234647706,0.16289592760180996,12.588529586791992,-2100,LSU Tigers,Alabama Crimson Tide
93,draftkings,Colorado,757.6388888888889,757.6388888888889,0.8576388888888888,-12.04751968383789,900,Iona,-84.87413194444444,0.1423611111111111,12.04751968383789,-1600,Colorado Buffaloes,Arizona Wildcats
92,fanduel,Colorado,723.3333333333334,723.3333333333334,0.8576388888888888,-12.04751968383789,860,Iona,-84.87413194444444,0.1423611111111111,12.04751968383789,-1600,Colorado Buffaloes,Arizona Wildcats
0,draftkings,North Carolina,539.3790849673202,539.3790849673202,0.9836601307189542,-25.797985076904297,550,Stony Brook,-98.18840579710145,0.016339869281045753,25.797985076904297,-920,North Carolina A&T Aggies,Stony Brook Seawolves
122,draftkings,UCF,481.34191176470586,481.34191176470586,0.9301470588235294,-19.85015106201172,525,West Ga.,-92.08333333333333,0.06985294117647059,19.85015106201172,-750,NJIT Highlanders,Albany Great Danes
123,fanduel,UCF,430.18382352941177,430.18382352941177,0.9301470588235294,-19.85015106201172,470,West Ga.,-92.01680672268908,0.06985294117647059,19.85015106201172,-700,NJIT Highlanders,Albany Great Danes
1,fanduel,North Carolina,391.8300653594771,391.8300653594771,0.9836601307189542,-25.797985076904297,400,Stony Brook,-98.07422969187675,0.016339869281045753,25.797985076904297,-560,North Carolina A&T Aggies,Stony Brook Seawolves
197,fanduel,Siena,384.5955882352941,-98.69652406417113,0.011029411764705883,27.707991600036618,-550,Texas,384.5955882352941,0.9889705882352942,-27.707991600036618,390,McNeese Cowboys,UT Rio Grande Valley Vaqueros
105,fanduel,South Carolina,380.29411764705884,380.29411764705884,0.6764705882352942,-9.079010009765618,610,Longwood,-64.41176470588236,0.3235294117647059,9.079010009765618,-1000,South Carolina Upstate Spartans,Longwood Lancers
196,draftkings,Siena,374.70588235294116,-98.6764705882353,0.011029411764705883,27.707991600036618,-500,Texas,374.70588235294116,0.9889705882352942,-27.707991600036618,380,McNeese Cowboys,UT Rio Grande Valley Vaqueros
246,draftkings,Texas A&M,324.3697478991597,324.3697478991597,0.8487394957983193,-20.65907669067383,400,Lamar University,-82.04665043587528,0.15126050420168066,20.65907669067383,-535,Texas A&M-Commerce Lions,Lamar Cardinals
3,draftkings,Campbell,318.75000000000006,318.75000000000006,0.2791666666666667,10.07628345489502,1400,Hofstra,-25.857142857142858,0.7208333333333333,-10.07628345489502,-3500,Campbell Fighting Camels,Hofstra Pride
2,fanduel,Campbell,318.75000000000006,318.75000000000006,0.2791666666666667,10.07628345489502,1400,Hofstra,-26.71527777777778,0.7208333333333333,-10.07628345489502,-6000,Campbell Fighting Camels,Hofstra Pride
104,draftkings,South Carolina,305.88235294117646,305.88235294117646,0.6764705882352942,-9.079010009765618,500,Longwood,-63.025210084033624,0.3235294117647059,9.079010009765618,-700,South Carolina Upstate Spartans,Longwood Lancers
245,fanduel,Texas A&M,294.6638655462185,294.6638655462185,0.8487394957983193,-20.65907669067383,365,Lamar University,-81.78700051449151,0.15126050420168066,20.65907669067383,-490,Texas A&M-Commerce Lions,Lamar Cardinals
41,draftkings,NC State,265.2941176470588,-66.46744259201006,0.2837370242214533,7.949951171875,-550,Florida St.,265.2941176470588,0.7162629757785467,-7.949951171875,410,Iowa State Cyclones,Arizona St Sun Devils
40,fanduel,NC State,250.9688581314879,-66.27276881895932,0.2837370242214533,7.949951171875,-530,Florida St.,250.9688581314879,0.7162629757785467,-7.949951171875,390,Iowa State Cyclones,Arizona St Sun Devils
201,fanduel,Liberty,243.45991561181432,-90.80644202769358,0.07172995780590717,17.884361267089837,-355,Florida,243.45991561181432,0.9282700421940928,-17.884361267089837,270,Liberty Flames,Florida Int'l Golden Panthers
77,fanduel,North Florida,221.5810276679842,-86.18925831202046,0.1067193675889328,26.0,-340,Georgia,221.5810276679842,0.8932806324110671,-26.0,260,North Florida Ospreys,West Georgia Wolves
200,draftkings,Liberty,215.61181434599155,-90.41995865545266,0.07172995780590717,17.884361267089837,-298,Florida,215.61181434599155,0.9282700421940928,-17.884361267089837,240,Liberty Flames,Florida Int'l Golden Panthers
76,draftkings,North Florida,212.6482213438735,-85.88550299630244,0.1067193675889328,26.0,-310,Georgia,212.6482213438735,0.8932806324110671,-26.0,250,North Florida Ospreys,West Georgia Wolves
4,fanduel,SMU,193.07692307692307,-38.84615384615385,0.5559440559440559,-1.7922854423522985,-1000,NC State,193.07692307692307,0.44405594405594406,1.7922854423522985,560,SMU Mustangs,NC State Wolfpack
