,year,date,team1,team1_score,team2,team2_score
0,2023,2022-11-07,Kansas Christian,79,Prairie View,94
1,2023,2022-11-07,Brescia,52,Middle Tenn.,79
2,2023,2022-11-07,Mississippi Val.,53,Baylor,117
3,2023,2022-11-07,Pacific,78,Stanford,88
4,2023,2022-11-07,Valley Forge,38,James Madison,123
5,2023,2022-11-07,Harvard,68,Morehouse,63
6,2023,2022-11-07,JWU (Charlotte),60,UNC Greensboro,93
7,2023,2022-11-07,Defiance,27,Oakland,92
8,2023,2022-11-07,MSOE,46,Milwaukee,102
9,2023,2022-11-07,Fisher,43,UMass Lowell,108
10,2023,2022-11-07,Coppin St.,59,Charlotte,82
11,2023,2022-11-07,Warren Wilson,74,App State,142
12,2023,2022-11-07,Howard,63,Kentucky,95
13,2023,2022-11-07,La Salle,68,Villanova,81
14,2023,2022-11-07,Purdue Fort Wayne,56,Michigan,75
15,2023,2022-11-07,New Orleans,53,Butler,89
16,2023,2022-11-07,Merrimack,72,St. John's (NY),97
17,2023,2022-11-07,Emory & Henry,66,ETSU,88
18,2023,2022-11-07,North Greenville,55,Furman,91
19,2023,2022-11-07,CarolinaU,42,Presbyterian,76
20,2023,2022-11-07,Northern Ariz.,55,Michigan St.,73
21,2023,2022-11-07,Green Bay,53,Indiana St.,80
22,2023,2022-11-07,Lebanon Valley,52,Bucknell,113
23,2023,2022-11-07,Valparaiso,70,Toledo,85
24,2023,2022-11-07,Erskine,55,Elon,80
25,2023,2022-11-07,Penn,50,Iona,78
26,2023,2022-11-07,Brown,65,Vermont,80
27,2023,2022-11-07,Guilford,64,Davidson,87
28,2023,2022-11-07,Quinnipiac,67,Rhode Island,62
29,2023,2022-11-07,Montevallo,67,Troy,87
30,2023,2022-11-07,Tennessee Tech,43,Tennessee,75
31,2023,2022-11-07,South Dakota St.,80,Akron,81
32,2023,2022-11-07,UMES,65,Old Dominion,84
33,2023,2022-11-07,Lindenwood,46,Dayton,73
34,2023,2022-11-07,Stetson,83,Florida St.,74
35,2023,2022-11-07,Wilmington (DE),54,Delaware,78
36,2023,2022-11-07,NJIT,59,Saint Peter's,73
37,2023,2022-11-07,Manhattan,56,VCU,73
38,2023,2022-11-07,The Citadel,69,Clemson,80
39,2023,2022-11-07,Siena,75,Holy Cross,68
40,2023,2022-11-07,Houston Christian,66,FIU,77
41,2023,2022-11-07,Tarleton St.,59,Arizona St.,62
42,2023,2022-11-07,LaGrange,56,Kennesaw St.,99
43,2023,2022-11-07,Colgate,87,Buffalo,88
44,2023,2022-11-07,Mt. St. Mary (NY),56,St. Francis Brooklyn,94
45,2023,2022-11-07,Niagara,49,Maryland,71
46,2023,2022-11-07,Marshall,82,Queens (NC),83
47,2023,2022-11-07,Robert Morris,53,Ohio St.,91
48,2023,2022-11-07,Bob Jones,48,Wofford,120
49,2023,2022-11-07,Idaho,63,Denver,68
50,2023,2022-11-07,Bethune-Cookman,58,Iowa,89
51,2023,2022-11-07,Air Force,58,Bowling Green,62
52,2023,2022-11-07,Virginia St.,58,George Washington,85
53,2023,2022-11-07,Thomas (ME),39,Bryant,147
54,2023,2022-11-07,Earlham,39,Ball St.,109
55,2023,2022-11-07,UT Martin,58,Pittsburgh,80
56,2023,2022-11-07,Saint Francis (PA),58,St. Bonaventure,71
57,2023,2022-11-07,Jacksonville,44,Duke,71
58,2023,2022-11-07,UAlbany,62,Towson,67
59,2023,2022-11-07,Lynn,46,Fla. Atlantic,81
60,2023,2022-11-07,Kent St.,79,Northern Ky.,57
61,2023,2022-11-07,Mount St. Mary's,58,West Virginia,76
62,2023,2022-11-07,Chaminade,55,Cincinnati,98
63,2023,2022-11-07,St. Mary's (MD),43,Coastal Carolina,97
64,2023,2022-11-07,VMI,48,Richmond,69
65,2023,2022-11-07,Notre Dame (OH),72,Cleveland St.,68
66,2023,2022-11-07,Winthrop,68,Penn St.,93
67,2023,2022-11-07,Morehead St.,53,Indiana,88
68,2023,2022-11-07,Wagner,76,Temple,73
69,2023,2022-11-07,Columbia,35,Rutgers,75
70,2023,2022-11-07,Edward Waters,61,N.C. A&T,100
71,2023,2022-11-07,Toccoa Falls,52,Charleston So.,83
72,2023,2022-11-07,Regent,38,Liberty,104
73,2023,2022-11-07,Keystone,65,Army West Point,110
74,2023,2022-11-07,Alabama St.,70,UAB,111
75,2023,2022-11-07,Ohio,69,Belmont,70
76,2023,2022-11-07,Brandeis,47,New Hampshire,79
77,2023,2022-11-07,Wayne St. (MI),66,Eastern Mich.,75
78,2023,2022-11-07,Brevard,42,USC Upstate,90
79,2023,2022-11-07,Hofstra,83,Princeton,77
80,2023,2022-11-07,Navy,74,William & Mary,59
81,2023,2022-11-07,Central Conn. St.,67,Massachusetts,94
82,2023,2022-11-07,Sarah Lawrence,41,Yale,96
83,2023,2022-11-07,Northeastern,63,Boston U.,72
84,2023,2022-11-07,Lafayette,54,Miami (FL),67
85,2023,2022-11-07,Miami-Middletown,52,Eastern Ky.,137
86,2023,2022-11-07,Youngstown St.,92,Canisius,81
87,2023,2022-11-07,Chattanooga,78,Col. of Charleston,85
88,2023,2022-11-07,A&M-Corpus Christi,44,Mississippi St.,63
89,2023,2022-11-07,Clayton St.,63,Georgia Tech,93
90,2023,2022-11-07,Texas St.,61,Washington St.,83
91,2023,2022-11-07,Cazenovia,56,Binghamton,87
