,year,date,team1,team1_score,team2,team2_score
92,2023,2022-11-07,Virginia-Lynchburg,59,Norfolk St.,109
93,2023,2022-11-07,Stonehill,54,UConn,85
94,2023,2022-11-07,Dartmouth,74,Fordham,88
95,2023,2022-11-07,Morgan St.,73,Xavier,96
96,2023,2022-11-07,Loyola Maryland,66,DePaul,72
97,2023,2022-11-07,Southern Ind.,91,Missouri,97
98,2023,2022-11-07,Cornell,77,Boston College,79
99,2023,2022-11-07,UNC Asheville,98,UCF,95
100,2023,2022-11-07,Stony Brook,45,Florida,81
101,2023,2022-11-07,George Mason,52,Auburn,70
102,2023,2022-11-07,FDU,82,Loyola Chicago,88
103,2023,2022-11-07,Memphis,76,Vanderbilt,67
104,2023,2022-11-07,Western Ill.,71,Illinois St.,68
105,2023,2022-11-07,Trinity (TX),47,UTSA,74
106,2023,2022-11-07,North Dakota St.,58,Arkansas,76
107,2023,2022-11-07,Lincoln (MO),59,Kansas City,56
108,2023,2022-11-07,Austin Peay,50,NC State,99
109,2023,2022-11-07,Harding,55,Arkansas St.,86
110,2023,2022-11-07,ULM,54,Texas A&M,87
111,2023,2022-11-07,Little Rock,63,Southern Ill.,94
112,2023,2022-11-07,IUPUI,39,Iowa St.,88
113,2023,2022-11-07,Anderson (SC),85,Samford,109
114,2023,2022-11-07,Fairfield,59,Wake Forest,71
115,2023,2022-11-07,Ill. Springfield,83,NIU,77
116,2023,2022-11-07,Omaha,64,Kansas,89
117,2023,2022-11-07,Pfeiffer,71,High Point,109
118,2023,2022-11-07,Sam Houston,52,Oklahoma,51
119,2023,2022-11-07,Saint Augustine's,62,Campbell,79
120,2023,2022-11-07,William Carey,42,Southern Miss.,75
121,2023,2022-11-07,Lehigh,72,Syracuse,90
122,2023,2022-11-07,Southern Nazarene,47,North Texas,53
123,2023,2022-11-07,Northern Colo.,36,Houston,83
124,2023,2022-11-07,Western Caro.,55,Georgia,68
125,2023,2022-11-07,Harris-Stowe,57,SIUE,85
126,2023,2022-11-07,Trinity Christian,48,UIC,82
127,2023,2022-11-07,Centenary (LA),55,Louisiana,106
128,2023,2022-11-07,St. Thomas (TX),61,Lamar University,63
129,2023,2022-11-07,Ark.-Pine Bluff,72,TCU,73
130,2023,2022-11-07,Maine,66,Nebraska,79
131,2023,2022-11-07,Central Ark.,55,Wichita St.,79
132,2023,2022-11-07,Wis.-Parkside,59,Bradley,93
133,2023,2022-11-07,Chicago St.,54,Northwestern,85
134,2023,2022-11-07,Murray St.,68,Saint Louis,91
135,2023,2022-11-07,Jackson St.,56,Abilene Christian,65
136,2023,2022-11-07,Champion Chris.,54,McNeese,110
137,2023,2022-11-07,UNT Dallas,57,Grambling,82
138,2023,2022-11-07,Southeast Mo. St.,64,South Fla.,61
139,2023,2022-11-07,Coastal Ga.,59,Georgia St.,76
140,2023,2022-11-07,UMBC,67,Tulane,89
141,2023,2022-11-07,Longwood,54,Alabama,75
142,2023,2022-11-07,Evansville,78,Miami (OH),74
143,2023,2022-11-07,North Dakota,65,UIW,57
144,2023,2022-11-07,Loyola (LA),72,Southeastern La.,90
145,2023,2022-11-07,UC Riverside,66,Colorado,82
146,2023,2022-11-07,South Dakota,59,Wisconsin,85
147,2023,2022-11-07,St. Thomas (MN),60,Creighton,72
148,2023,2022-11-07,Radford,69,Marquette,79
149,2023,2022-11-07,Tex. A&M-Commerce,60,SMU,77
150,2023,2022-11-07,Wartburg,49,UNI,105
151,2023,2022-11-07,Oakwood,51,North Ala.,108
152,2023,2022-11-07,Colo. Christian,69,Wyoming,102
153,2023,2022-11-07,Shorter,48,Jacksonville St.,111
154,2023,2022-11-07,Alcorn,58,Ole Miss,73
155,2023,2022-11-07,N.M. Highlands,52,New Mexico St.,101
156,2023,2022-11-07,UT Arlington,66,Oklahoma St.,77
157,2023,2022-11-07,Western Mich.,60,Minnesota,61
158,2023,2022-11-07,UTEP,57,Texas,72
159,2023,2022-11-07,North Florida,63,Gonzaga,104
160,2023,2022-11-07,Utah Valley,58,Utah St.,75
161,2023,2022-11-07,Eastern Ill.,57,Illinois,87
162,2023,2022-11-07,Northwestern St.,49,Texas Tech,73
163,2023,2022-11-07,Fisk,75,Tennessee St.,85
164,2023,2022-11-07,Gardner-Webb,63,Colorado St.,65
165,2023,2022-11-07,Delaware St.,57,Virginia Tech,95
166,2023,2022-11-07,Idaho St.,56,BYU,60
167,2023,2022-11-07,Montana St.,54,Grand Canyon,60
168,2023,2022-11-07,LeTourneau,40,SFA,93
169,2023,2022-11-07,Southern Utah,81,New Mexico,89
170,2023,2022-11-07,Mississippi Col.,61,Louisiana Tech,78
171,2023,2022-11-07,UTRGV,59,Kansas St.,93
172,2023,2022-11-07,N.C. Central,61,Virginia,73
173,2023,2022-11-07,UNCW,56,North Carolina,69
174,2023,2022-11-07,FGCU,74,Southern California,61
175,2023,2022-11-07,Nicholls,75,Arizona,117
176,2023,2022-11-07,Bethesda (CA),59,Cal Poly,94
177,2023,2022-11-07,Texas Southern,77,San Francisco,90
178,2023,2022-11-07,Utah Tech,71,Nevada,84
179,2023,2022-11-07,Cal St. Fullerton,57,San Diego St.,80
180,2023,2022-11-07,Fresno Pacific,56,Fresno St.,69
181,2023,2022-11-07,Long Beach St.,79,California Baptist,64
182,2023,2022-11-07,San Diego Christian,35,CSU Bakersfield,68
183,2023,2022-11-07,Eastern Wash.,72,Santa Clara,84
184,2023,2022-11-07,San Fran. St.,59,UC Santa Barbara,75
185,2023,2022-11-07,LIFE Pacific,49,LMU (CA),99
186,2023,2022-11-07,Seattle U,85,UC San Diego,71
187,2023,2022-11-07,Rice,67,Pepperdine,106
188,2023,2022-11-07,La Sierra,55,CSUN,90
189,2023,2022-11-07,Oral Roberts,70,Saint Mary's (CA),78
190,2023,2022-11-07,Chapman,50,UC Irvine,96
191,2023,2022-11-07,Florida A&M,45,Oregon,80
192,2023,2022-11-07,Southern U.,56,UNLV,66
193,2023,2022-11-07,Lewis & Clark,62,Portland,89
194,2023,2022-11-07,Sonoma St.,59,San Diego,81
195,2023,2022-11-07,LIU,48,Utah,89
196,2023,2022-11-07,UC Davis,75,California,65
197,2023,2022-11-07,Weber St.,52,Washington,69
198,2023,2022-11-07,Sacramento St.,50,UCLA,76
199,2023,2022-11-08,UAlbany,74,Immaculata,47
200,2023,2022-11-08,Rider,65,Providence,66
201,2023,2022-11-08,Milwaukee,53,Purdue,84
202,2023,2022-11-08,South Carolina St.,77,South Carolina,80
203,2023,2022-11-08,Mercer,75,East Carolina,77
204,2023,2022-11-08,Rochester Univ. (MI),65,Detroit Mercy,93
205,2023,2022-11-08,Montana,63,Duquesne,91
206,2023,2022-11-08,Sacred Heart,77,Hartford,70
207,2023,2022-11-08,Coppin St.,89,Georgetown,99
208,2023,2022-11-08,Ga. Southern,48,San Jose St.,63
209,2023,2022-11-08,Tulsa,70,Oregon St.,73
210,2023,2022-11-09,North American,68,Prairie View,95
211,2023,2022-11-09,Piedmont,56,Winthrop,78
212,2023,2022-11-09,Hampton,58,James Madison,106
213,2023,2022-11-09,Rockford,56,Western Ill.,113
214,2023,2022-11-09,Cairn,59,Norfolk St.,87
215,2023,2022-11-09,Pitt.-Greensburg,49,Robert Morris,84
216,2023,2022-11-09,American,69,Marist,73
217,2023,2022-11-09,UT Martin,72,Youngstown St.,90
218,2023,2022-11-09,Davidson,102,Wright St.,97
219,2023,2022-11-09,Dist. Columbia,74,Howard,87
220,2023,2022-11-09,Mercy,66,FDU,106
221,2023,2022-11-09,Mobile,59,South Alabama,97
222,2023,2022-11-09,Monmouth,52,Seton Hall,79
223,2023,2022-11-09,Lipscomb,77,South Dakota,85
224,2023,2022-11-09,Champion Chris.,55,Ark.-Pine Bluff,87
225,2023,2022-11-09,Missouri S&T,47,Missouri St.,82
226,2023,2022-11-09,Western Colo.,64,Utah Valley,91
227,2023,2022-11-09,Kansas City,63,LSU,74
228,2023,2022-11-09,IUPUI,48,Drake,80
229,2023,2022-11-09,South Dakota St.,68,Boise St.,66
230,2023,2022-11-09,Cal Maritime,67,UC Davis,90
231,2023,2022-11-09,San Diego Christian,50,Grand Canyon,101
232,2023,2022-11-09,Bellarmine,67,Louisville,66
233,2023,2022-11-09,Puget Sound,55,Seattle U,106
234,2023,2022-11-09,FGCU,73,San Diego,79
235,2023,2022-11-09,Florida A&M,54,Portland,91
236,2023,2022-11-10,Clinton,65,Queens (NC),99
237,2023,2022-11-10,Ouachita Baptist,68,Northwestern St.,79
238,2023,2022-11-10,Baldwin Wallace,55,Kent St.,76
239,2023,2022-11-10,St. Thomas (TX),48,Rice,85
240,2023,2022-11-10,Camp. Harrodsburg,58,Morehead St.,99
241,2023,2022-11-10,Lehigh,52,Virginia Tech,78
242,2023,2022-11-10,N.C. Central,74,App State,79
243,2023,2022-11-10,Charleston So.,56,Ohio St.,82
244,2023,2022-11-10,Presbyterian,58,The Citadel,70
245,2023,2022-11-10,Towson,67,Massachusetts,55
246,2023,2022-11-10,Mid-Atlantic Christ.,40,William & Mary,116
247,2023,2022-11-10,Clark (MA),48,Merrimack,64
248,2023,2022-11-10,SUNY Delhi,57,Cornell,114
249,2023,2022-11-10,Penn St.-York,65,UMBC,92
250,2023,2022-11-10,Colgate,77,Brown,68
251,2023,2022-11-10,NVU-Lyndon,43,Hartford,85
252,2023,2022-11-10,Immaculata,67,Delaware St.,104
253,2023,2022-11-10,Western Ky.,66,Eastern Ky.,60
254,2023,2022-11-10,Goshen,62,Western Mich.,99
255,2023,2022-11-10,Sacred Heart,50,Rutgers,88
256,2023,2022-11-10,Western Caro.,51,Maryland,71
257,2023,2022-11-10,UMass Lowell,89,Columbia,62
258,2023,2022-11-10,Loyola Maryland,65,Penn St.,90
259,2023,2022-11-10,Mid-Amer. Christian,53,Texas St.,71
260,2023,2022-11-10,Tenn. Wesleyan,48,Tennessee Tech,82
261,2023,2022-11-10,Fla. National,74,FIU,95
262,2023,2022-11-10,Quinnipiac,102,Stonehill,95
263,2023,2022-11-10,Dean,71,Holy Cross,85
264,2023,2022-11-10,MUW,42,Troy,96
265,2023,2022-11-10,Oakland City,49,Chattanooga,93
266,2023,2022-11-10,Penn St.-New Kens.,58,VMI,100
267,2023,2022-11-10,Spring Hill,61,Samford,80
268,2023,2022-11-10,Penn St.-Gr Allegheny,49,Morgan St.,130
269,2023,2022-11-10,Dallas Christian,59,ULM,111
270,2023,2022-11-10,Gardner-Webb,71,SFA,86
271,2023,2022-11-10,S'western Adventist,33,Sam Houston,120
272,2023,2022-11-10,Texas Southern,54,Texas Tech,78
273,2023,2022-11-10,North Ala.,84,Alabama A&M,76
274,2023,2022-11-10,Southern Ill.,61,Oklahoma St.,60
275,2023,2022-11-10,Kansas Christian,49,Tarleton St.,95
276,2023,2022-11-10,Central Mich.,73,Marquette,97
277,2023,2022-11-10,Illinois St.,54,Eastern Ill.,49
278,2023,2022-11-10,Omaha,61,Nebraska,75
279,2023,2022-11-10,North Dakota St.,59,Kansas,82
280,2023,2022-11-10,Hannibal-La Grange,58,Lindenwood,85
281,2023,2022-11-10,Radford,76,Notre Dame,79
282,2023,2022-11-10,Cleveland St.,58,Cincinnati,69
283,2023,2022-11-10,Bethune-Cookman,49,Indiana,101
284,2023,2022-11-10,Ark. Baptist,60,Little Rock,71
285,2023,2022-11-10,La Verne,55,Southern Utah,117
286,2023,2022-11-10,Houston Christian,31,Texas,82
287,2023,2022-11-10,Walla Walla,48,Idaho,122
288,2023,2022-11-10,Northern Ariz.,68,Arizona St.,84
289,2023,2022-11-10,Colorado Col.,68,Denver,90
290,2023,2022-11-10,Western Colo.,67,Weber St.,83
291,2023,2022-11-10,Westcliff,56,Idaho St.,97
292,2023,2022-11-10,North Dakota,61,Creighton,96
293,2023,2022-11-10,Ga. Southern,62,Santa Clara,78
294,2023,2022-11-10,Cal Poly,48,San Francisco,60
295,2023,2022-11-10,Nicholls,68,Wyoming,79
296,2023,2022-11-10,Vermont,53,Saint Mary's (CA),79
297,2023,2022-11-10,UC Riverside,81,LMU (CA),79
298,2023,2022-11-10,Alabama St.,58,Southern California,96
299,2023,2022-11-11,Detroit Mercy,66,Boston College,70
300,2023,2022-11-11,Fairfield,71,New Hampshire,83
301,2023,2022-11-11,Johnson (FL),34,Jacksonville,85
302,2023,2022-11-11,UAB,85,Toledo,93
303,2023,2022-11-11,Delaware,71,Air Force,75
304,2023,2022-11-11,Fresno St.,54,UC Santa Barbara,61
305,2023,2022-11-11,Houston,81,Saint Joseph's,55
306,2023,2022-11-11,Howard,75,George Washington,85
307,2023,2022-11-11,Boston U.,57,UConn,86
308,2023,2022-11-11,Louisiana,75,Harvard,61
309,2023,2022-11-11,USC Upstate,38,Duke,84
310,2023,2022-11-11,Miami-Hamilton,65,Stony Brook,86
311,2023,2022-11-11,Hendrix,56,Central Ark.,107
312,2023,2022-11-11,Michigan St.,63,Gonzaga,64
313,2023,2022-11-11,Methodist,47,Coastal Carolina,110
314,2023,2022-11-11,Campbell,67,NC State,73
315,2023,2022-11-11,UNC Greensboro,65,Miami (FL),79
316,2023,2022-11-11,Longwood,69,George Mason,83
317,2023,2022-11-11,Old Dominion,59,Drexel,71
318,2023,2022-11-11,UNI,55,Richmond,68
319,2023,2022-11-11,Mississippi St.,73,Akron,54
320,2023,2022-11-11,Iona,78,Hofstra,83
321,2023,2022-11-11,Bryant,89,Dartmouth,70
322,2023,2022-11-11,Belmont,74,Furman,89
323,2023,2022-11-11,Me.-Fort Kent,45,Maine,90
324,2023,2022-11-11,Duquesne,52,Kentucky,77
325,2023,2022-11-11,Col. of Charleston,86,North Carolina,102
326,2023,2022-11-11,Allen,55,UNCW,104
327,2023,2022-11-11,Florida St.,54,UCF,68
328,2023,2022-11-11,West Virginia,81,Pittsburgh,56
329,2023,2022-11-11,Fla. Atlantic,67,Ole Miss,80
330,2023,2022-11-11,Kennesaw St.,78,Florida,88
331,2023,2022-11-11,SMU,62,Dayton,74
332,2023,2022-11-11,Southern Miss.,60,Vanderbilt,48
333,2023,2022-11-11,Clemson,58,South Carolina,60
334,2023,2022-11-11,St. Francis Brooklyn,54,Minnesota,72
335,2023,2022-11-11,Austin Peay,44,Purdue,63
336,2023,2022-11-11,Milligan,64,Mercer,118
337,2023,2022-11-11,Kansas St.,63,California,54
338,2023,2022-11-11,CSU Bakersfield,44,Utah,72
339,2023,2022-11-11,McNeese,58,Tulane,75
340,2023,2022-11-11,Villanova,64,Temple,68
341,2023,2022-11-11,Mount St. Mary's,78,Coppin St.,83
342,2023,2022-11-11,Bowling Green,87,Oakland,82
343,2023,2022-11-11,Stanford,50,Wisconsin,60
344,2023,2022-11-11,John Brown,62,Oral Roberts,95
345,2023,2022-11-11,Montana,64,Xavier,86
346,2023,2022-11-11,Colorado,74,Grambling,83
347,2023,2022-11-11,NIU,46,Northwestern,63
348,2023,2022-11-11,Norfolk St.,70,Baylor,87
349,2023,2022-11-11,Chicago St.,61,St. Thomas (MN),83
350,2023,2022-11-11,UTSA,55,A&M-Corpus Christi,75
351,2023,2022-11-11,Lamar University,66,TCU,77
352,2023,2022-11-11,Loyola Chicago,70,UIC,63
353,2023,2022-11-11,N.C. A&T,71,Iowa,112
354,2023,2022-11-11,Tex. A&M-Commerce,77,Northern Colo.,80
355,2023,2022-11-11,Liberty,59,Alabama,95
356,2023,2022-11-11,Fordham,48,Arkansas,74
357,2023,2022-11-11,Abilene Christian,58,Texas A&M,77
358,2023,2022-11-11,Penn,85,Missouri,92
359,2023,2022-11-11,South Fla.,59,Auburn,67
360,2023,2022-11-11,Ark.-Pine Bluff,58,Oklahoma,66
361,2023,2022-11-11,Georgia,71,Wake Forest,81
362,2023,2022-11-11,Princeton,73,Navy,74
363,2023,2022-11-11,Elon,64,ETSU,77
364,2023,2022-11-11,South Alabama,74,New Mexico,80
365,2023,2022-11-11,Eastern Mich.,83,Michigan,88
366,2023,2022-11-11,Monmouth,42,Virginia,89
367,2023,2022-11-11,Bradley,62,Utah St.,84
368,2023,2022-11-11,Southern U.,78,Arizona,95
369,2023,2022-11-11,Florida A&M,43,Oregon St.,60
370,2023,2022-11-11,Kansas City,48,Illinois,86
371,2023,2022-11-11,Yale,74,Eastern Wash.,60
372,2023,2022-11-11,Southeastern La.,69,Colorado St.,80
373,2023,2022-11-11,Portland St.,91,Portland,98
374,2023,2022-11-11,Pepperdine,71,Cal St. Fullerton,74
375,2023,2022-11-11,NJIT,43,California Baptist,59
376,2023,2022-11-11,Western Ill.,74,DePaul,86
377,2023,2022-11-11,BYU,75,San Diego St.,82
378,2023,2022-11-11,UC Irvine,69,Oregon,56
379,2023,2022-11-11,Long Beach St.,69,UCLA,93
380,2023,2022-11-11,North Florida,67,Washington,75
381,2023,2022-11-12,Green Bay,58,Georgetown,92
382,2023,2022-11-12,Saint Peter's,44,Seton Hall,80
383,2023,2022-11-12,South Carolina St.,61,Tennessee St.,80
384,2023,2022-11-12,Wright St.,73,Louisville,72
385,2023,2022-11-12,Cleveland St.,70,Ohio,81
386,2023,2022-11-12,Goshen,44,Miami (OH),87
387,2023,2022-11-12,Stonehill,82,Army West Point,77
388,2023,2022-11-12,SIUE,76,Purdue Fort Wayne,81
389,2023,2022-11-12,James Madison,97,Buffalo,62
390,2023,2022-11-12,UC Clermont,49,Northern Ky.,89
391,2023,2022-11-12,Ball St.,71,Indiana St.,83
392,2023,2022-11-12,UMass Lowell,65,Rutgers,73
393,2023,2022-11-12,Wagner,69,La Salle,77
394,2023,2022-11-12,Brevard,46,UNC Asheville,94
395,2023,2022-11-12,Champion Chris.,65,UT Martin,124
396,2023,2022-11-12,Jackson St.,79,Tulsa,85
397,2023,2022-11-12,Belhaven,38,Samford,90
398,2023,2022-11-12,Bryn Athyn,43,UMES,90
399,2023,2022-11-12,Wofford,80,High Point,91
400,2023,2022-11-12,Niagara,50,Bucknell,68
401,2023,2022-11-12,Presbyterian,57,East Carolina,77
402,2023,2022-11-12,Texas St.,70,Rhode Island,66
403,2023,2022-11-12,Alcorn,66,Wichita St.,57
404,2023,2022-11-12,Northern Ariz.,69,Utah Valley,73
405,2023,2022-11-12,Grand Canyon,46,Nevada,59
406,2023,2022-11-12,Bethesda (CA),68,San Jose St.,90
407,2023,2022-11-12,Middle Tenn.,68,Winthrop,76
408,2023,2022-11-12,TCNJ,50,Rider,87
409,2023,2022-11-12,Lyon,46,Southeast Mo. St.,83
410,2023,2022-11-12,St. Francis (IL),63,New Orleans,65
411,2023,2022-11-12,Camp. Harrodsburg,54,Lipscomb,107
412,2023,2022-11-12,Kentucky St.,61,Western Ky.,127
413,2023,2022-11-12,Arkansas St.,52,LSU,61
414,2023,2022-11-12,UIW,63,UNLV,88
415,2023,2022-11-12,Dakota St.,64,South Dakota,82
416,2023,2022-11-12,Lafayette,68,St. John's (NY),83
417,2023,2022-11-12,Evansville,65,Saint Louis,83
418,2023,2022-11-12,Hartford,53,Saint Francis (PA),77
419,2023,2022-11-12,MCLA,52,Dartmouth,107
420,2023,2022-11-12,Binghamton,78,Marist,75
421,2023,2022-11-12,St. Bonaventure,80,Canisius,84
422,2023,2022-11-12,Cardinal Stritch,38,Milwaukee,112
423,2023,2022-11-12,Washington St.,61,Boise St.,71
424,2023,2022-11-12,Morgan St.,54,VCU,69
425,2023,2022-11-12,Georgia Tech,59,Georgia St.,57
426,2023,2022-11-12,Trinity Baptist,32,Ga. Southern,53
427,2023,2022-11-12,UAlbany,62,Siena,75
428,2023,2022-11-12,Bellarmine,55,Morehead St.,62
429,2023,2022-11-12,Regent,60,Hampton,89
430,2023,2022-11-12,Lindsey Wilson,53,Murray St.,90
431,2023,2022-11-12,S'western Adventist,33,UTRGV,115
432,2023,2022-11-12,Illinois St.,69,Northwestern St.,67
433,2023,2022-11-12,Northeastern,65,Providence,89
434,2023,2022-11-12,Southwestern (TX),61,UT Arlington,103
435,2023,2022-11-12,New Mexico St.,64,UTEP,67
436,2023,2022-11-12,St. Katherine,48,Southern Utah,91
437,2023,2022-11-12,CSUN,63,Utah Tech,69
438,2023,2022-11-12,UC Davis,75,LMU (CA),85
439,2023,2022-11-12,Sacramento St.,65,UC San Diego,55
440,2023,2022-11-12,Mississippi Val.,54,Hawaii,72
441,2023,2022-11-13,Gallaudet,56,Howard,108
442,2023,2022-11-13,Eastern Ky.,69,Cincinnati,87
443,2023,2022-11-13,N.C. A&T,43,Iowa St.,80
444,2023,2022-11-13,Quinnipiac,72,Central Conn. St.,70
445,2023,2022-11-13,Columbia,85,Sacred Heart,88
446,2023,2022-11-13,Eastern Ill.,60,Central Mich.,76
447,2023,2022-11-13,VMI,71,Davidson,75
448,2023,2022-11-13,Harvard,92,Elon,77
449,2023,2022-11-13,Wells,60,Colgate,93
450,2023,2022-11-13,Pacific,91,North Dakota St.,86
451,2023,2022-11-13,Colorado,78,Tennessee,66
452,2023,2022-11-13,Ark.-Pine Bluff,47,Mississippi St.,80
453,2023,2022-11-13,Arizona St.,66,Texas Southern,67
454,2023,2022-11-13,Pfeiffer,68,Longwood,100
455,2023,2022-11-13,St. Francis Brooklyn,48,St. Thomas (MN),84
456,2023,2022-11-13,Oklahoma St.,91,Oakland,62
457,2023,2022-11-13,Idaho,72,Omaha,79
458,2023,2022-11-13,Misericordia,58,Lehigh,97
459,2023,2022-11-13,Towson,80,Penn,74
460,2023,2022-11-13,American,56,George Mason,73
461,2023,2022-11-13,Youngstown St.,81,Notre Dame,88
462,2023,2022-11-13,Western Mich.,65,Valparaiso,81
463,2023,2022-11-13,Southeastern La.,76,Wyoming,72
464,2023,2022-11-13,Brescia,45,Western Caro.,112
465,2023,2022-11-13,Southern Ill.,53,Southern Ind.,71
466,2023,2022-11-13,Louisiana,81,ETSU,77
467,2023,2022-11-13,Brown,70,Loyola Maryland,75
468,2023,2022-11-13,NJIT,64,San Diego,74
469,2023,2022-11-13,Alabama St.,62,Pepperdine,91
470,2023,2022-11-13,UC Merced,71,San Francisco,88
471,2023,2022-11-13,Manhattan,74,FDU,77
472,2023,2022-11-13,Lindenwood,53,Missouri,82
473,2023,2022-11-13,Portland St.,71,Seattle U,83
474,2023,2022-11-13,Ave Maria,61,FGCU,105
475,2023,2022-11-13,William & Mary,77,Virginia Tech,94
476,2023,2022-11-13,Montana St.,70,Long Beach St.,57
477,2023,2022-11-13,Mississippi Val.,51,Yale,80
478,2023,2022-11-13,North Texas,33,Saint Mary's (CA),63
479,2023,2022-11-13,Vermont,85,Cal St. Fullerton,94
