,date,team,team_score,opponent,opponent_score,home_team,opponent_strength,diff,adjusted_diff
0,2022-11-07,Kansas Christian,79,Prairie View,94,Prairie View,12.21875,-15,-2.78125
1,2022-11-07,Brescia,52,Middle Tenn.,79,Middle Tenn.,24.4375,-27,-2.5625
2,2022-11-07,Mississippi Val.,53,Baylor,117,Baylor,36.0400390625,-64,-27.9599609375
3,2022-11-07,Pacific,78,Stanford,88,Stanford,25.64453125,-10,15.64453125
4,2022-11-07,Valley Forge,38,James Madison,123,James Madison,27.20703125,-85,-57.79296875
5,2022-11-07,Harvard,68,Morehouse,63,Morehouse,,5,
6,2022-11-07,JWU (Charlotte),60,UNC Greensboro,93,UNC Greensboro,22.375,-33,-10.625
7,2022-11-07,Defiance,27,Oakland,92,Oakland,12.8359375,-65,-52.1640625
8,2022-11-07,MSOE,46,Milwaukee,102,Milwaukee,18.125,-56,-37.875
9,2022-11-07,Fisher,43,UMass Lowell,108,UMass Lowell,22.33984375,-65,-42.66015625
10,2022-11-07,Coppin St.,59,Charlotte,82,Charlotte,26.4384765625,-23,3.4384765625
11,2022-11-07,Warren Wilson,74,App State,142,App State,19.62890625,-68,-48.37109375
12,2022-11-07,Howard,63,Kentucky,95,Kentucky,31.37890625,-32,-0.62109375
13,2022-11-07,La Salle,68,Villanova,81,Villanova,28.21875,-13,15.21875
14,2022-11-07,Purdue Fort Wayne,56,Michigan,75,Michigan,29.705078125,-19,10.705078125
15,2022-11-07,New Orleans,53,Butler,89,Butler,23.140625,-36,-12.859375
16,2022-11-07,Merrimack,72,St. John's (NY),97,St. John's (NY),27.84375,-25,2.84375
17,2022-11-07,Emory & Henry,66,ETSU,88,ETSU,15.390625,-22,-6.609375
18,2022-11-07,North Greenville,55,Furman,91,Furman,29.25,-36,-6.75
19,2022-11-07,CarolinaU,42,Presbyterian,76,Presbyterian,7.875,-34,-26.125
20,2022-11-07,Northern Ariz.,55,Michigan St.,73,Michigan St.,32.25,-18,14.25
21,2022-11-07,Green Bay,53,Indiana St.,80,Indiana St.,27.109375,-27,0.109375
22,2022-11-07,Lebanon Valley,52,Bucknell,113,Bucknell,10.421875,-61,-50.578125
23,2022-11-07,Valparaiso,70,Toledo,85,Toledo,27.8125,-15,12.8125
24,2022-11-07,Erskine,55,Elon,80,Elon,8.109375,-25,-16.890625
25,2022-11-07,Penn,50,Iona,78,Iona,28.75,-28,0.75
26,2022-11-07,Brown,65,Vermont,80,Vermont,25.87109375,-15,10.87109375
27,2022-11-07,Guilford,64,Davidson,87,Davidson,22.318359375,-23,-0.681640625
28,2022-11-07,Quinnipiac,67,Rhode Island,62,Rhode Island,16.203125,5,21.203125
29,2022-11-07,Montevallo,67,Troy,87,Troy,23.0341796875,-20,3.0341796875
30,2022-11-07,Tennessee Tech,43,Tennessee,75,Tennessee,38.625,-32,6.625
31,2022-11-07,South Dakota St.,80,Akron,81,Akron,25.0625,-1,24.0625
32,2022-11-07,UMES,65,Old Dominion,84,Old Dominion,21.28515625,-19,2.28515625
33,2022-11-07,Lindenwood,46,Dayton,73,Dayton,28.125,-27,1.125
34,2022-11-07,Stetson,83,Florida St.,74,Florida St.,16.474609375,9,25.474609375
35,2022-11-07,Wilmington (DE),54,Delaware,78,Delaware,12.708984375,-24,-11.291015625
36,2022-11-07,NJIT,59,Saint Peter's,73,Saint Peter's,10.8125,-14,-3.1875
37,2022-11-07,Manhattan,56,VCU,73,VCU,29.46875,-17,12.46875
38,2022-11-07,The Citadel,69,Clemson,80,Clemson,26.0,-11,15.0
39,2022-11-07,Siena,75,Holy Cross,68,Holy Cross,8.720703125,7,15.720703125
40,2022-11-07,Houston Christian,66,FIU,77,FIU,16.5068359375,-11,5.5068359375
41,2022-11-07,Tarleton St.,59,Arizona St.,62,Arizona St.,28.521484375,-3,25.521484375
42,2022-11-07,LaGrange,56,Kennesaw St.,99,Kennesaw St.,22.90625,-43,-20.09375
43,2022-11-07,Colgate,87,Buffalo,88,Buffalo,17.0,-1,16.0
44,2022-11-07,Mt. St. Mary (NY),56,St. Francis Brooklyn,94,St. Francis Brooklyn,6.890625,-38,-31.109375
45,2022-11-07,Niagara,49,Maryland,71,Maryland,33.25,-22,11.25
46,2022-11-07,Marshall,82,Queens (NC),83,Queens (NC),17.25,-1,16.25
47,2022-11-07,Robert Morris,53,Ohio St.,91,Ohio St.,28.625,-38,-9.375
48,2022-11-07,Bob Jones,48,Wofford,120,Wofford,18.640625,-72,-53.359375
49,2022-11-07,Idaho,63,Denver,68,Denver,12.7734375,-5,7.7734375
50,2022-11-07,Bethune-Cookman,58,Iowa,89,Iowa,33.26171875,-31,2.26171875
51,2022-11-07,Air Force,58,Bowling Green,62,Bowling Green,12.09375,-4,8.09375
52,2022-11-07,Virginia St.,58,George Washington,85,George Washington,20.0,-27,-7.0
53,2022-11-07,Thomas (ME),39,Bryant,147,Bryant,20.28515625,-108,-87.71484375
54,2022-11-07,Earlham,39,Ball St.,109,Ball St.,23.0,-70,-47.0
55,2022-11-07,UT Martin,58,Pittsburgh,80,Pittsburgh,28.46484375,-22,6.46484375
56,2022-11-07,Saint Francis (PA),58,St. Bonaventure,71,St. Bonaventure,17.4375,-13,4.4375
57,2022-11-07,Jacksonville,44,Duke,71,Duke,33.1015625,-27,6.1015625
58,2022-11-07,UAlbany,62,Towson,67,Towson,23.25,-5,18.25
59,2022-11-07,Lynn,46,Fla. Atlantic,81,Fla. Atlantic,32.6142578125,-35,-2.3857421875
60,2022-11-07,Kent St.,79,Northern Ky.,57,Northern Ky.,19.568359375,22,41.568359375
61,2022-11-07,Mount St. Mary's,58,West Virginia,76,West Virginia,32.53125,-18,14.53125
62,2022-11-07,Chaminade,55,Cincinnati,98,Cincinnati,32.234375,-43,-10.765625
63,2022-11-07,St. Mary's (MD),43,Coastal Carolina,97,Coastal Carolina,15.71875,-54,-38.28125
64,2022-11-07,VMI,48,Richmond,69,Richmond,19.25,-21,-1.75
65,2022-11-07,Notre Dame (OH),72,Cleveland St.,68,Cleveland St.,18.65234375,4,22.65234375
66,2022-11-07,Winthrop,68,Penn St.,93,Penn St.,32.625,-25,7.625
67,2022-11-07,Morehead St.,53,Indiana,88,Indiana,35.125,-35,0.125
68,2022-11-07,Wagner,76,Temple,73,Temple,25.171875,3,28.171875
69,2022-11-07,Columbia,35,Rutgers,75,Rutgers,33.1015625,-40,-6.8984375
70,2022-11-07,Edward Waters,61,N.C. A&T,100,N.C. A&T,9.98828125,-39,-29.01171875
71,2022-11-07,Toccoa Falls,52,Charleston So.,83,Charleston So.,7.451171875,-31,-23.548828125
72,2022-11-07,Regent,38,Liberty,104,Liberty,29.8984375,-66,-36.1015625
73,2022-11-07,Keystone,65,Army West Point,110,Army West Point,16.203125,-45,-28.796875
74,2022-11-07,Alabama St.,70,UAB,111,UAB,31.4794921875,-41,-9.5205078125
75,2022-11-07,Ohio,69,Belmont,70,Belmont,22.0,-1,21.0
76,2022-11-07,Brandeis,47,New Hampshire,79,New Hampshire,13.953125,-32,-18.046875
77,2022-11-07,Wayne St. (MI),66,Eastern Mich.,75,Eastern Mich.,11.78125,-9,2.78125
78,2022-11-07,Brevard,42,USC Upstate,90,USC Upstate,15.306640625,-48,-32.693359375
79,2022-11-07,Hofstra,83,Princeton,77,Princeton,26.5859375,6,32.5859375
80,2022-11-07,Navy,74,William & Mary,59,William & Mary,11.625,15,26.625
81,2022-11-07,Central Conn. St.,67,Massachusetts,94,Massachusetts,17.5,-27,-9.5
82,2022-11-07,Sarah Lawrence,41,Yale,96,Yale,28.5,-55,-26.5
83,2022-11-07,Northeastern,63,Boston U.,72,Boston U.,16.5625,-9,7.5625
84,2022-11-07,Lafayette,54,Miami (FL),67,Miami (FL),32.21875,-13,19.21875
85,2022-11-07,Miami-Middletown,52,Eastern Ky.,137,Eastern Ky.,21.0,-85,-64.0
86,2022-11-07,Youngstown St.,92,Canisius,81,Canisius,15.7109375,11,26.7109375
