Team,Score
Colorado,26.4140625
NIU,15.0
Norfolk St.,18.203125
UTSA,10.7587890625
Lamar University,5.697265625
Loyola Chicago,14.56640625
N.C. A&T,9.98828125
Liberty,29.8984375
Fordham,21.3828125
Abilene Christian,18.6875
South Fla.,19.96875
Georgia,19.96875
Princeton,26.5859375
Elon,8.109375
South Alabama,23.025390625
Eastern Mich.,11.78125
Bradley,27.5078125
Yale,28.5
Southeastern La.,15.01953125
Portland St.,12.3125
Pepperdine,16.9375
BYU,28.7421875
UC Irvine,23.16796875
Saint Peter's,10.8125
Wright St.,19.251953125
SIUE,13.57421875
James Madison,27.20703125
Ball St.,23.0
Wofford,18.640625
Grand Canyon,24.2626953125
Middle Tenn.,24.4375
Arkansas St.,13.0
UIW,9.0517578125
Hartford,-1.046875
Binghamton,12.203125
St. Bonaventure,17.4375
Washington St.,25.857421875
Georgia Tech,20.01953125
New Mexico St.,19.98828125
CSUN,9.375
Eastern Ky.,21
Arizona St.,28.521484375
Oklahoma St.,31.06640625
William & Mary,11.625
North Texas,30.7783203125
Portland,17.75
Richmond,19.25
George Washington,20
DePaul,20.8125
Troy,23.0341796875
Miami (OH),13.90625
Jacksonville St.,16.587890625
Louisiana Tech,22.4208984375
Butler,23.140625
Holy Cross,8.720703125
Alabama A&M,10.7578125
Santa Clara,26.490234375
App State,19.62890625
Northwestern,33.453125
Queens (NC),17.25
Buffalo,17.0
Bucknell,10.421875
New Hampshire,13.953125
Vanderbilt,27.0
Kentucky,31.37890625
New Mexico,27.3427734375
Marquette,32.390625
San Diego St.,33.919921875
FIU,16.5068359375
Duke,33.1015625
LMU (CA),26.44140625
Alabama,39.26171875
California,13.42578125
Dayton,28.125
Michigan,29.705078125
Oakland,12.8359375
Army West Point,16.203125
Marist,12.5
Cincinnati,32.234375
Iowa,33.26171875
VCU,29.46875
Missouri St.,21.75
Gonzaga,34.1640625
San Francisco,26.025390625
Furman,29.25
Colorado St.,22.328125
Nebraska,23.9375
Pittsburgh,28.46484375
Wichita St.,24.685546875
Boise St.,28.7255859375
Tennessee St.,9.59375
Samford,24.6015625
Utah St.,33.5517578125
California Baptist,19.6875
Penn St.,32.625
Massachusetts,17.5
Temple,25.171875
Indiana,35.125
UCF,28.56640625
Charlotte,26.4384765625
UC San Diego,14.748046875
Virginia,30.6328125
Coastal Carolina,15.71875
South Carolina,17.171875
Boston College,17.875
Nevada,27.97265625
UC Santa Barbara,24.896484375
Florida,28.2802734375
Denver,12.7734375
Grambling,19.609375
Illinois,34.26171875
High Point,12.125
Saint Louis,28
San Jose St.,26.546875
Miami (FL),32.21875
UIC,15.375
SFA,23.24609375
Wake Forest,26.9453125
Prairie View,12.21875
Virginia Tech,26.5546875
Providence,31.875
ETSU,15.390625
Texas A&M,32.853515625
UCLA,38.0
Drake,26.0
Indiana St.,27.109375
Akron,25.0625
Texas Tech,29.65625
Louisville,11.25
Wyoming,18.49609375
Utah,27.71875
Syracuse,24.25390625
Texas,37.9375
Rhode Island,16.203125
Ohio St.,28.625
St. John's (NY),27.84375
East Carolina,20.0
Northern Ky.,19.568359375
LSU,20.0
Tulane,24.103515625
Canisius,15.7109375
Creighton,36.0
NC State,30.6875
Wisconsin,31.078125
Drexel,18.265625
Auburn,32.828125
Arkansas,35.1015625
Minnesota,18.546875
North Carolina,29.48828125
Ole Miss,25.1875
Tennessee,38.625
Iowa St.,32.0
Oklahoma,28.080078125
UConn,38.98046875
Purdue,35.21875
Saint Mary's (CA),35.294921875
Washington,22.97265625
Southern California,29.6015625
Notre Dame,20.59375
Oregon St.,16.71484375
San Diego,13.8505859375
Oregon,29.26171875
Xavier,32.71484375
Maryland,33.25
Missouri,30
Baylor,36.0400390625
Rutgers,33.1015625
Georgetown,17.359375
Saint Joseph's,20.75
Arizona,38.1171875
Seton Hall,27.0859375
Toledo,27.8125
UNLV,25.919921875
Georgia St.,15.3125
Hawaii,22.169921875
Kansas,35.0
TCU,33.25
