Team,Score
Mississippi Val.,4.5078125
Pacific,17.21875
Harvard,20.0703125
Coppin St.,9.03515625
Howard,15.482421875
La Salle,16.75
Purdue Fort Wayne,16.6875
New Orleans,5.9072265625
Merrimack,10.1484375
Northern Ariz.,18.0
Green Bay,1.0
Valparaiso,15.0
Penn,22.84375
Brown,17.203125
Quinnipiac,18.84375
Tennessee Tech,12.2265625
South Dakota St.,20.0
UMES,13.16015625
Lindenwood,4.703125
Stetson,19.6162109375
NJIT,9.451171875
Manhattan,14.2265625
The Citadel,11.5703125
Siena,17.44921875
Houston Christian,4.71875
Tarleton St.,20.46875
Colgate,23.36328125
Niagara,16.279296875
Marshall,28.0
Robert Morris,15.79296875
Idaho,10.453125
Bethune-Cookman,7.986328125
Air Force,19.994140625
UT Martin,11.53125
Saint Francis (PA),8.1796875
Jacksonville,14.6435546875
UAlbany,6.0029296875
Kent St.,28.37109375
Mount St. Mary's,14.828125
VMI,7.625
Winthrop,15.0859375
Morehead St.,15.7958984375
Wagner,10.078125
Columbia,6.0
Regent,-37.2265625
Alabama St.,8.0
Ohio,23.0
Hofstra,26.90625
Navy,22.1572265625
Central Conn. St.,8.62890625
Northeastern,10.673828125
Lafayette,14.984375
Youngstown St.,22.375
Chattanooga,20.6591796875
A&M-Corpus Christi,20.1484375
Texas St.,18.11328125
Stonehill,10.1953125
Dartmouth,12.392578125
Morgan St.,8.1875
Loyola Maryland,12.181640625
Southern Ind.,11.6640625
Cornell,21.353515625
UNC Asheville,19.2578125
Stony Brook,9.3828125
George Mason,23
FDU,11.21875
Memphis,31.234375
Western Ill.,15.0
North Dakota St.,17.0
Austin Peay,9.25
ULM,10.7685546875
Little Rock,8.859375
IUPUI,4.65234375
Fairfield,16.541015625
Omaha,12
Sam Houston,27.9453125
Lehigh,16.03125
Northern Colo.,13.7734375
Western Caro.,15.609375
Ark.-Pine Bluff,6.611328125
Maine,13
Central Ark.,8.712890625
Chicago St.,12.7109375
Murray St.,15.1875
Jackson St.,11.859375
Champion Chris.,-41.888671875
Southeast Mo. St.,17.5
UMBC,18.095703125
Longwood,18.494140625
Evansville,6.0
North Dakota,13.0
UC Riverside,22.4375
South Dakota,10.3125
St. Thomas (MN),21.81640625
Radford,20.4296875
Tex. A&M-Commerce,11.0
Alcorn,13.57421875
UT Arlington,17.25390625
Western Mich.,12.42578125
UTEP,20.95703125
North Florida,12.1875
Utah Valley,27.57421875
Eastern Ill.,6.83203125
Northwestern St.,18.91015625
Gardner-Webb,16.58984375
Delaware St.,4.734375
Idaho St.,13.5859375
Montana St.,23.25
Southern Utah,22.42578125
UTRGV,13.21875
N.C. Central,16.5615234375
UNCW,20.640625
FGCU,18
Nicholls,13.1826171875
Texas Southern,11.796875
Utah Tech,18.3564453125
Cal St. Fullerton,20.0908203125
Long Beach St.,19.875
San Diego Christian,-15.9140625
Eastern Wash.,23.0
Seattle U,20.728515625
Rice,18.576171875
Oral Roberts,27
Florida A&M,3.7421875
Southern U.,16.4375
LIU,-3.01953125
UC Davis,18.6484375
Weber St.,20.453125
Sacramento St.,16.73046875
Rider,17.78125
Milwaukee,18.125
South Carolina St.,5.484375
Mercer,17.375
Montana,19.109375
Sacred Heart,9.109375
Ga. Southern,17.5986328125
Tulsa,12.1796875
North American,-22.185546875
Hampton,8.2578125
American,15.5625
Davidson,22.318359375
Monmouth,5.0
Lipscomb,21.1875
Kansas City,9.451171875
Bellarmine,14.78515625
Charleston So.,7.451171875
Presbyterian,7.875
Towson,23.25
Western Ky.,21.4375
UMass Lowell,22.33984375
North Ala.,13.96875
Southern Ill.,20.8515625
Central Mich.,8.91796875
Illinois St.,12.755859375
Cleveland St.,18.65234375
Cal Poly,15.654296875
Vermont,25.87109375
Detroit Mercy,16.203125
UAB,31.4794921875
Delaware,12.708984375
Fresno St.,20.828125
Houston,41.0
Boston U.,16.5625
Louisiana,24.21875
USC Upstate,15.306640625
Michigan St.,32.25
Campbell,17.671875
UNC Greensboro,22.375
Old Dominion,21.28515625
UNI,20.0
Mississippi St.,29.9375
Iona,28.75
Bryant,20.28515625
Belmont,22.0
Duquesne,24.0
Col. of Charleston,27.78125
Florida St.,16.474609375
West Virginia,32.53125
Fla. Atlantic,32.6142578125
Kennesaw St.,22.90625
SMU,18.64453125
Southern Miss.,25.6767578125
Clemson,26.0
St. Francis Brooklyn,6.890625
Kansas St.,33.9375
CSU Bakersfield,11.7421875
McNeese,9.1171875
Villanova,28.21875
Bowling Green,12.09375
Stanford,25.64453125
