,date,team,team_score,opponent,opponent_score,home_team,opponent_strength,diff,adjusted_diff
0,2022-11-07,Kansas Christian,79,Prairie View,94,Prairie View,13.94921875,-15,-1.05078125
1,2022-11-07,Brescia,52,Middle Tenn.,79,Middle Tenn.,21.3125,-27,-5.6875
2,2022-11-07,Mississippi Val.,53,Baylor,117,Baylor,35.328125,-64,-28.671875
3,2022-11-07,Pacific,78,Stanford,88,Stanford,24.796875,-10,14.796875
4,2022-11-07,Valley Forge,38,James Madison,123,James Madison,34.75,-85,-50.25
5,2022-11-07,Harvard,68,Morehouse,63,Morehouse,,5,
6,2022-11-07,JWU (Charlotte),60,UNC Greensboro,93,UNC Greensboro,21.875,-33,-11.125
7,2022-11-07,Defiance,27,Oakland,92,Oakland,12.40625,-65,-52.59375
8,2022-11-07,MSOE,46,Milwaukee,102,Milwaukee,18.015625,-56,-37.984375
9,2022-11-07,Fisher,43,UMass Lowell,108,UMass Lowell,23.9375,-65,-41.0625
10,2022-11-07,Coppin St.,59,Charlotte,82,Charlotte,26.0,-23,3.0
11,2022-11-07,Warren Wilson,74,App State,142,App State,18.17578125,-68,-49.82421875
12,2022-11-07,Howard,63,Kentucky,95,Kentucky,28.12109375,-32,-3.87890625
13,2022-11-07,La Salle,68,Villanova,81,Villanova,26.96875,-13,13.96875
14,2022-11-07,Purdue Fort Wayne,56,Michigan,75,Michigan,26.658203125,-19,7.658203125
15,2022-11-07,New Orleans,53,Butler,89,Butler,27.89453125,-36,-8.10546875
16,2022-11-07,Merrimack,72,St. John's (NY),97,St. John's (NY),26.9375,-25,1.9375
17,2022-11-07,Emory & Henry,66,ETSU,88,ETSU,15.453125,-22,-6.546875
18,2022-11-07,North Greenville,55,Furman,91,Furman,21.25,-36,-14.75
19,2022-11-07,CarolinaU,42,Presbyterian,76,Presbyterian,8.25,-34,-25.75
20,2022-11-07,Northern Ariz.,55,Michigan St.,73,Michigan St.,27.146484375,-18,9.146484375
21,2022-11-07,Green Bay,53,Indiana St.,80,Indiana St.,27.015625,-27,0.015625
22,2022-11-07,Lebanon Valley,52,Bucknell,113,Bucknell,12.0,-61,-49.0
23,2022-11-07,Valparaiso,70,Toledo,85,Toledo,24.2734375,-15,9.2734375
24,2022-11-07,Erskine,55,Elon,80,Elon,5.0,-25,-20.0
25,2022-11-07,Penn,50,Iona,78,Iona,33.1875,-28,5.1875
26,2022-11-07,Brown,65,Vermont,80,Vermont,19.0,-15,4.0
27,2022-11-07,Guilford,64,Davidson,87,Davidson,22.25,-23,-0.75
28,2022-11-07,Quinnipiac,67,Rhode Island,62,Rhode Island,16.734375,5,21.734375
29,2022-11-07,Montevallo,67,Troy,87,Troy,23.55078125,-20,3.55078125
30,2022-11-07,Tennessee Tech,43,Tennessee,75,Tennessee,42.328125,-32,10.328125
31,2022-11-07,South Dakota St.,80,Akron,81,Akron,22.28125,-1,21.28125
32,2022-11-07,UMES,65,Old Dominion,84,Old Dominion,22.0,-19,3.0
33,2022-11-07,Lindenwood,46,Dayton,73,Dayton,28.75390625,-27,1.75390625
34,2022-11-07,Stetson,83,Florida St.,74,Florida St.,19.32421875,9,28.32421875
35,2022-11-07,Wilmington (DE),54,Delaware,78,Delaware,17.03125,-24,-6.96875
36,2022-11-07,NJIT,59,Saint Peter's,73,Saint Peter's,9.375,-14,-4.625
37,2022-11-07,Manhattan,56,VCU,73,VCU,25.71484375,-17,8.71484375
38,2022-11-07,The Citadel,69,Clemson,80,Clemson,27.806640625,-11,16.806640625
39,2022-11-07,Siena,75,Holy Cross,68,Holy Cross,10.26171875,7,17.26171875
40,2022-11-07,Houston Christian,66,FIU,77,FIU,12.689453125,-11,1.689453125
41,2022-11-07,Tarleton St.,59,Arizona St.,62,Arizona St.,31.41015625,-3,28.41015625
42,2022-11-07,LaGrange,56,Kennesaw St.,99,Kennesaw St.,22.5,-43,-20.5
43,2022-11-07,Colgate,87,Buffalo,88,Buffalo,20.0,-1,19.0
44,2022-11-07,Mt. St. Mary (NY),56,St. Francis Brooklyn,94,St. Francis Brooklyn,12.875,-38,-25.125
45,2022-11-07,Niagara,49,Maryland,71,Maryland,37.125,-22,15.125
46,2022-11-07,Marshall,82,Queens (NC),83,Queens (NC),19.92578125,-1,18.92578125
47,2022-11-07,Robert Morris,53,Ohio St.,91,Ohio St.,39.935546875,-38,1.935546875
48,2022-11-07,Bob Jones,48,Wofford,120,Wofford,20.150390625,-72,-51.849609375
49,2022-11-07,Idaho,63,Denver,68,Denver,16.32421875,-5,11.32421875
50,2022-11-07,Bethune-Cookman,58,Iowa,89,Iowa,34.0,-31,3.0
51,2022-11-07,Air Force,58,Bowling Green,62,Bowling Green,12.453125,-4,8.453125
52,2022-11-07,Virginia St.,58,George Washington,85,George Washington,16.5625,-27,-10.4375
53,2022-11-07,Thomas (ME),39,Bryant,147,Bryant,22.63671875,-108,-85.36328125
54,2022-11-07,Earlham,39,Ball St.,109,Ball St.,24.984375,-70,-45.015625
55,2022-11-07,UT Martin,58,Pittsburgh,80,Pittsburgh,28.9150390625,-22,6.9150390625
56,2022-11-07,Saint Francis (PA),58,St. Bonaventure,71,St. Bonaventure,20.1875,-13,7.1875
57,2022-11-07,Jacksonville,44,Duke,71,Duke,36.5234375,-27,9.5234375
58,2022-11-07,UAlbany,62,Towson,67,Towson,22.2109375,-5,17.2109375
59,2022-11-07,Lynn,46,Fla. Atlantic,81,Fla. Atlantic,35.0625,-35,0.0625
60,2022-11-07,Kent St.,79,Northern Ky.,57,Northern Ky.,16.9609375,22,38.9609375
61,2022-11-07,Mount St. Mary's,58,West Virginia,76,West Virginia,34.5625,-18,16.5625
62,2022-11-07,Chaminade,55,Cincinnati,98,Cincinnati,31.875,-43,-11.125
63,2022-11-07,St. Mary's (MD),43,Coastal Carolina,97,Coastal Carolina,12.1962890625,-54,-41.8037109375
64,2022-11-07,VMI,48,Richmond,69,Richmond,24.3359375,-21,3.3359375
65,2022-11-07,Notre Dame (OH),72,Cleveland St.,68,Cleveland St.,19.0,4,23.0
66,2022-11-07,Winthrop,68,Penn St.,93,Penn St.,28.78515625,-25,3.78515625
67,2022-11-07,Morehead St.,53,Indiana,88,Indiana,35.15625,-35,0.15625
68,2022-11-07,Wagner,76,Temple,73,Temple,24.703125,3,27.703125
69,2022-11-07,Columbia,35,Rutgers,75,Rutgers,43.0,-40,3.0
70,2022-11-07,Edward Waters,61,N.C. A&T,100,N.C. A&T,11.955078125,-39,-27.044921875
71,2022-11-07,Toccoa Falls,52,Charleston So.,83,Charleston So.,11.0,-31,-20.0
72,2022-11-07,Regent,38,Liberty,104,Liberty,29.984375,-66,-36.015625
73,2022-11-07,Keystone,65,Army West Point,110,Army West Point,8.2421875,-45,-36.7578125
74,2022-11-07,Alabama St.,70,UAB,111,UAB,32.25,-41,-8.75
75,2022-11-07,Ohio,69,Belmont,70,Belmont,21.0,-1,20.0
76,2022-11-07,Brandeis,47,New Hampshire,79,New Hampshire,8.875,-32,-23.125
77,2022-11-07,Wayne St. (MI),66,Eastern Mich.,75,Eastern Mich.,12.140625,-9,3.140625
78,2022-11-07,Brevard,42,USC Upstate,90,USC Upstate,10.0,-48,-38.0
79,2022-11-07,Hofstra,83,Princeton,77,Princeton,22.7890625,6,28.7890625
80,2022-11-07,Navy,74,William & Mary,59,William & Mary,13.251953125,15,28.251953125
81,2022-11-07,Central Conn. St.,67,Massachusetts,94,Massachusetts,21.34375,-27,-5.65625
82,2022-11-07,Sarah Lawrence,41,Yale,96,Yale,30.3359375,-55,-24.6640625
83,2022-11-07,Northeastern,63,Boston U.,72,Boston U.,18.53125,-9,9.53125
84,2022-11-07,Lafayette,54,Miami (FL),67,Miami (FL),34.662109375,-13,21.662109375
85,2022-11-07,Miami-Middletown,52,Eastern Ky.,137,Eastern Ky.,20.0,-85,-65.0
86,2022-11-07,Youngstown St.,92,Canisius,81,Canisius,18.53125,11,29.53125
87,2022-11-07,Chattanooga,78,Col. of Charleston,85,Col. of Charleston,28.484375,-7,21.484375
88,2022-11-07,A&M-Corpus Christi,44,Mississippi St.,63,Mississippi St.,31.328125,-19,12.328125
89,2022-11-07,Clayton St.,63,Georgia Tech,93,Georgia Tech,22.5,-30,-7.5
90,2022-11-07,Texas St.,61,Washington St.,83,Washington St.,26.15625,-22,4.15625
91,2022-11-07,Cazenovia,56,Binghamton,87,Binghamton,11.203125,-31,-19.796875
92,2022-11-07,Virginia-Lynchburg,59,Norfolk St.,109,Norfolk St.,16.5,-50,-33.5
93,2022-11-07,Stonehill,54,UConn,85,UConn,44.5,-31,13.5
94,2022-11-07,Dartmouth,74,Fordham,88,Fordham,22.837890625,-14,8.837890625
95,2022-11-07,Morgan St.,73,Xavier,96,Xavier,34.546875,-23,11.546875
96,2022-11-07,Loyola Maryland,66,DePaul,72,DePaul,23.7822265625,-6,17.7822265625
97,2022-11-07,Southern Ind.,91,Missouri,97,Missouri,33.0,-6,27.0
98,2022-11-07,Cornell,77,Boston College,79,Boston College,17.0,-2,15.0
99,2022-11-07,UNC Asheville,98,UCF,95,UCF,31.830078125,3,34.830078125
100,2022-11-07,Stony Brook,45,Florida,81,Florida,30.0,-36,-6.0
101,2022-11-07,George Mason,52,Auburn,70,Auburn,31.0,-18,13.0
102,2022-11-07,FDU,82,Loyola Chicago,88,Loyola Chicago,15.71875,-6,9.71875
103,2022-11-07,Memphis,76,Vanderbilt,67,Vanderbilt,22.658203125,9,31.658203125
104,2022-11-07,Western Ill.,71,Illinois St.,68,Illinois St.,15.7578125,3,18.7578125
105,2022-11-07,Trinity (TX),47,UTSA,74,UTSA,11.0,-27,-16.0
106,2022-11-07,North Dakota St.,58,Arkansas,76,Arkansas,35.4921875,-18,17.4921875
107,2022-11-07,Lincoln (MO),59,Kansas City,56,Kansas City,16.974609375,3,19.974609375
108,2022-11-07,Austin Peay,50,NC State,99,NC State,31.0,-49,-18.0
109,2022-11-07,Harding,55,Arkansas St.,86,Arkansas St.,11.3125,-31,-19.6875
