year,team,conference,logo
2023,SIUE,OVC,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/siu-edwardsville.svg
2023,SMU,AAC,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/smu.svg
2023,"South Alabama","Sun Belt",https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/south-ala.svg
2023,"South Carolina",SEC,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/south-carolina.svg
2023,"South Carolina St.",MEAC,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/south-carolina-st.svg
2023,"South Dakota","Summit League",https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/south-dakota.svg
2023,"South Dakota St.","Summit League",https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/south-dakota-st.svg
2023,"South Fla.",AAC,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/south-fla.svg
2023,"Southeast Mo. St.",OVC,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/southeast-mo-st.svg
2023,"Southeastern La.",Southland,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/southeastern-la.svg
2023,"Southern California",Pac-12,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/southern-california.svg
2023,"Southern Ill.",MVC,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/southern-ill.svg
2023,"Southern Ind.",OVC,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/southern-ind.svg
2023,"Southern Miss.","Sun Belt",https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/southern-miss.svg
2023,"Southern U.",SWAC,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/southern-u.svg
2023,"Southern Utah",WAC,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/southern-utah.svg
2023,"St. Bonaventure","Atlantic 10",https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/st-bonaventure.svg
2023,"St. Francis Brooklyn",NEC,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/st-francis-ny.svg
2023,"St. John's (NY)","Big East",https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/st-johns-ny.svg
2023,"St. Thomas (MN)","Summit League",https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/st-thomas-mn.svg
2023,Stanford,Pac-12,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/stanford.svg
2023,Stetson,ASUN,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/stetson.svg
2023,Stonehill,NEC,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/stonehill.svg
2023,"Stony Brook",CAA,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/stony-brook.svg
2023,Syracuse,ACC,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/syracuse.svg
2023,"Tarleton St.",WAC,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/tarleton-st.svg
2023,TCU,"Big 12",https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/tcu.svg
2023,Temple,AAC,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/temple.svg
2023,Tennessee,SEC,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/tennessee.svg
2023,"Tennessee St.",OVC,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/tennessee-st.svg
2023,"Tennessee Tech",OVC,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/tennessee-tech.svg
2023,"Tex. A&M-Commerce",Southland,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/tex-am-commerce.svg
2023,Texas,"Big 12",https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/texas.svg
2023,"Texas A&M",SEC,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/texas-am.svg
2023,"Texas Southern",SWAC,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/texas-southern.svg
2023,"Texas St.","Sun Belt",https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/texas-st.svg
2023,"Texas Tech","Big 12",https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/texas-tech.svg
2023,"The Citadel",SoCon,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/citadel.svg
2023,Toledo,MAC,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/toledo.svg
2023,Towson,CAA,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/towson.svg
2023,Troy,"Sun Belt",https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/troy.svg
2023,Tulane,AAC,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/tulane.svg
2023,Tulsa,AAC,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/tulsa.svg
2023,UAB,C-USA,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/uab.svg
2023,UAlbany,"America East",https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/albany-ny.svg
2023,"UC Davis","Big West",https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/uc-davis.svg
2023,"UC Irvine","Big West",https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/uc-irvine.svg
2023,"UC Riverside","Big West",https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/uc-riverside.svg
2023,"UC San Diego","Big West",https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/uc-san-diego.svg
2023,"UC Santa Barbara","Big West",https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/uc-santa-barbara.svg
2023,UCF,AAC,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/ucf.svg
2023,UCLA,Pac-12,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/ucla.svg
2023,UConn,"Big East",https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/uconn.svg
2023,UIC,MVC,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/ill-chicago.svg
2023,UIW,Southland,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/uiw.svg
2023,ULM,"Sun Belt",https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/la-monroe.svg
2023,"UMass Lowell","America East",https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/umass-lowell.svg
2023,UMBC,"America East",https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/umbc.svg
2023,UMES,MEAC,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/md-east-shore.svg
2023,"UNC Asheville","Big South",https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/unc-asheville.svg
2023,"UNC Greensboro",SoCon,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/unc-greensboro.svg
2023,UNCW,CAA,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/unc-wilmington.svg
2023,UNI,MVC,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/uni.svg
2023,UNLV,"Mountain West",https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/unlv.svg
2023,"USC Upstate","Big South",https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/usc-upstate.svg
2023,"UT Arlington",WAC,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/texas-arlington.svg
2023,"UT Martin",OVC,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/ut-martin.svg
2023,Utah,Pac-12,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/utah.svg
2023,"Utah St.","Mountain West",https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/utah-st.svg
2023,"Utah Tech",WAC,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/utah-tech.svg
2023,"Utah Valley",WAC,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/utah-valley.svg
2023,UTEP,C-USA,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/utep.svg
2023,UTRGV,WAC,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/utrgv.svg
2023,UTSA,C-USA,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/utsa.svg
2023,Valparaiso,MVC,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/valparaiso.svg
2023,Vanderbilt,SEC,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/vanderbilt.svg
2023,VCU,"Atlantic 10",https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/vcu.svg
2023,Vermont,"America East",https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/vermont.svg
2023,Villanova,"Big East",https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/villanova.svg
2023,Virginia,ACC,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/virginia.svg
2023,"Virginia Tech",ACC,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/virginia-tech.svg
2023,VMI,SoCon,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/vmi.svg
2023,Wagner,NEC,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/wagner.svg
2023,"Wake Forest",ACC,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/wake-forest.svg
2023,Washington,Pac-12,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/washington.svg
2023,"Washington St.",Pac-12,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/washington-st.svg
2023,"Weber St.","Big Sky",https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/weber-st.svg
2023,"West Virginia","Big 12",https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/west-virginia.svg
2023,"Western Caro.",SoCon,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/western-caro.svg
2023,"Western Ill.","Summit League",https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/western-ill.svg
2023,"Western Ky.",C-USA,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/western-ky.svg
2023,"Western Mich.",MAC,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/western-mich.svg
2023,"Wichita St.",AAC,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/wichita-st.svg
2023,"William & Mary",CAA,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/william-mary.svg
2023,Winthrop,"Big South",https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/winthrop.svg
2023,Wisconsin,"Big Ten",https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/wisconsin.svg
2023,Wofford,SoCon,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/wofford.svg
2023,"Wright St.",Horizon,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/wright-st.svg
2023,Wyoming,"Mountain West",https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/wyoming.svg
2023,Xavier,"Big East",https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/xavier.svg
2023,Yale,"Ivy League",https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/yale.svg
2023,"Youngstown St.",Horizon,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/youngstown-st.svg
