year,team,conference,logo
2023,"CSU Bakersfield","Big West",https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/bakersfield.svg
2023,CSUN,"Big West",https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/cal-st-northridge.svg
2023,Dartmouth,"Ivy League",https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/dartmouth.svg
2023,Davidson,"Atlantic 10",https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/davidson.svg
2023,Dayton,"Atlantic 10",https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/dayton.svg
2023,Delaware,CAA,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/delaware.svg
2023,"Delaware St.",MEAC,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/delaware-st.svg
2023,Denver,"Summit League",https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/denver.svg
2023,DePaul,"Big East",https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/depaul.svg
2023,"Detroit Mercy",Horizon,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/detroit.svg
2023,Drake,MVC,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/drake.svg
2023,Drexel,CAA,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/drexel.svg
2023,Duke,ACC,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/duke.svg
2023,Duquesne,"Atlantic 10",https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/duquesne.svg
2023,"East Carolina",AAC,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/east-carolina.svg
2023,"Eastern Ill.",OVC,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/eastern-ill.svg
2023,"Eastern Ky.",ASUN,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/eastern-ky.svg
2023,"Eastern Mich.",MAC,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/eastern-mich.svg
2023,"Eastern Wash.","Big Sky",https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/eastern-wash.svg
2023,Elon,CAA,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/elon.svg
2023,ETSU,SoCon,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/east-tenn-st.svg
2023,Evansville,MVC,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/evansville.svg
2023,Fairfield,MAAC,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/fairfield.svg
2023,FDU,NEC,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/fairleigh-dickinson.svg
2023,FGCU,ASUN,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/fgcu.svg
2023,FIU,C-USA,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/fiu.svg
2023,"Fla. Atlantic",C-USA,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/fla-atlantic.svg
2023,Florida,SEC,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/florida.svg
2023,"Florida A&M",SWAC,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/florida-am.svg
2023,"Florida St.",ACC,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/florida-st.svg
2023,Fordham,"Atlantic 10",https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/fordham.svg
2023,"Fresno St.","Mountain West",https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/fresno-st.svg
2023,Furman,SoCon,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/furman.svg
2023,"Ga. Southern","Sun Belt",https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/ga-southern.svg
2023,Gardner-Webb,"Big South",https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/gardner-webb.svg
