year,team1,team1_score,team2,team2_score
2023,Oakwood,51,"North Ala.",108
2023,"Mississippi Col.",61,"Louisiana Tech",78
2023,Fisk,75,"Tennessee St.",85
2023,"Delaware St.",57,"Virginia Tech",95
2023,UNCW,56,"North Carolina",69
2023,"N.C. Central",61,Virginia,73
2023,"Northwestern St.",49,"Texas Tech",73
2023,UTRGV,59,"Kansas St.",93
2023,"Montana St.",54,"Grand Canyon",60
2023,"Southern Utah",81,"New Mexico",89
2023,Gardner-Webb,63,"Colorado St.",65
2023,Alcorn,58,"Ole Miss",73
2023,"Idaho St.",56,BYU,60
2023,UTEP,57,Texas,72
2023,LeTourneau,40,SFA,93
2023,"Eastern Ill.",57,Illinois,87
2023,"Utah Valley",58,"Utah St.",75
2023,"North Florida",63,Gonzaga,104
2023,"Western Mich.",60,Minnesota,61
2023,"UT Arlington",66,"Oklahoma St.",77
2023,"N.M. Highlands",52,"New Mexico St.",101
2023,Shorter,48,"Jacksonville St.",111
2023,"Colo. Christian",69,Wyoming,102
2023,FGCU,74,"Southern California",61
2023,Nicholls,75,Arizona,117
2023,"Seattle U",85,"UC San Diego",71
2023,"Fresno Pacific",56,"Fresno St.",69
2023,"Long Beach St.",79,"California Baptist",64
2023,"San Diego Christian",35,"CSU Bakersfield",68
2023,"Bethesda (CA)",59,"Cal Poly",94
2023,"San Fran. St.",59,"UC Santa Barbara",75
2023,"LIFE Pacific",49,"LMU (CA)",99
2023,"Oral Roberts",70,"Saint Mary's (CA)",78
2023,"Eastern Wash.",72,"Santa Clara",84
2023,Rice,67,Pepperdine,106
2023,"La Sierra",55,CSUN,90
2023,Chapman,50,"UC Irvine",96
2023,"Florida A&M",45,Oregon,80
2023,"Texas Southern",77,"San Francisco",90
2023,"Utah Tech",71,Nevada,84
2023,"Cal St. Fullerton",57,"San Diego St.",80
2023,"Southern U.",56,UNLV,66
2023,"Lewis & Clark",62,Portland,89
2023,"Sonoma St.",59,"San Diego",81
2023,LIU,48,Utah,89
2023,"UC Davis",75,California,65
2023,"Weber St.",52,Washington,69
2023,"Sacramento St.",50,UCLA,76
2023,UAlbany,74,Immaculata,47
2023,Rider,65,Providence,66
2023,Milwaukee,53,Purdue,84
2023,"South Carolina St.",77,"South Carolina",80
2023,Mercer,75,"East Carolina",77
2023,"Rochester Univ. (MI)",65,"Detroit Mercy",93
2023,Montana,63,Duquesne,91
2023,"Sacred Heart",77,Hartford,70
2023,"Coppin St.",89,Georgetown,99
2023,"Ga. Southern",48,"San Jose St.",63
2023,Tulsa,70,"Oregon St.",73
2023,"North American",68,"Prairie View",95
2023,Piedmont,56,Winthrop,78
2023,Hampton,58,"James Madison",106
2023,Rockford,56,"Western Ill.",113
2023,Cairn,59,"Norfolk St.",87
2023,Pitt.-Greensburg,49,"Robert Morris",84
2023,American,69,Marist,73
2023,"UT Martin",72,"Youngstown St.",90
2023,Davidson,102,"Wright St.",97
2023,"Dist. Columbia",74,Howard,87
2023,Mercy,66,FDU,106
2023,Mobile,59,"South Alabama",97
2023,Monmouth,52,"Seton Hall",79
2023,Lipscomb,77,"South Dakota",85
2023,"Champion Chris.",55,"Ark.-Pine Bluff",87
2023,"Missouri S&T",47,"Missouri St.",82
2023,"Western Colo.",64,"Utah Valley",91
2023,"Kansas City",63,LSU,74
2023,IUPUI,48,Drake,80
2023,"South Dakota St.",68,"Boise St.",66
2023,"Cal Maritime",67,"UC Davis",90
2023,"San Diego Christian",50,"Grand Canyon",101
2023,Bellarmine,67,Louisville,66
2023,"Puget Sound",55,"Seattle U",106
2023,FGCU,73,"San Diego",79
2023,"Florida A&M",54,Portland,91
2023,Clinton,65,"Queens (NC)",99
2023,"Ouachita Baptist",68,"Northwestern St.",79
2023,"Baldwin Wallace",55,"Kent St.",76
2023,"St. Thomas (TX)",48,Rice,85
2023,"Camp. Harrodsburg",58,"Morehead St.",99
2023,Lehigh,52,"Virginia Tech",78
2023,"N.C. Central",74,"App State",79
2023,"Charleston So.",56,"Ohio St.",82
2023,Presbyterian,58,"The Citadel",70
2023,Towson,67,Massachusetts,55
2023,"Mid-Atlantic Christ.",40,"William & Mary",116
2023,"Clark (MA)",48,Merrimack,64
2023,"SUNY Delhi",57,Cornell,114
2023,"Penn St.-York",65,UMBC,92
2023,Colgate,77,Brown,68
2023,NVU-Lyndon,43,Hartford,85
2023,Immaculata,67,"Delaware St.",104
2023,"Western Ky.",66,"Eastern Ky.",60
2023,Goshen,62,"Western Mich.",99
2023,"Sacred Heart",50,Rutgers,88
2023,"Western Caro.",51,Maryland,71
2023,"UMass Lowell",89,Columbia,62
2023,"Loyola Maryland",65,"Penn St.",90
2023,"Mid-Amer. Christian",53,"Texas St.",71
2023,"Tenn. Wesleyan",48,"Tennessee Tech",82
2023,"Fla. National",74,FIU,95
2023,Quinnipiac,102,Stonehill,95
2023,Dean,71,"Holy Cross",85
2023,MUW,42,Troy,96
2023,"Oakland City",49,Chattanooga,93
2023,"Penn St.-New Kens.",58,VMI,100
2023,"Spring Hill",61,Samford,80
2023,"Penn St.-Gr Allegheny",49,"Morgan St.",130
2023,"Dallas Christian",59,ULM,111
2023,Gardner-Webb,71,SFA,86
2023,"S'western Adventist",33,"Sam Houston",120
2023,"Texas Southern",54,"Texas Tech",78
2023,"North Ala.",84,"Alabama A&M",76
