,date,team,team_score,opponent,opponent_score,home_team,opponent_strength,diff,adjusted_diff
0,2023-11-06,Spalding,63,IUPUI,70,IUPUI,0.75,-7,-6.25
1,2023-11-06,St. Joseph's (L.I.),48,Hofstra,101,Hofstra,23.171875,-53,-29.828125
2,2023-11-06,Fort Lauderdale,47,Troy,92,Troy,21.125,-45,-23.875
3,2023-11-06,North American,68,SFA,96,SFA,18.0,-28,-10.0
4,2023-11-06,Kansas Christian,66,Prairie View,89,Prairie View,5.0625,-23,-17.9375
5,2023-11-06,Georgia,71,Oregon,82,Oregon,29.66015625,-11,18.66015625
6,2023-11-06,Linfield,46,Oregon St.,82,Oregon St.,18.94921875,-36,-17.05078125
7,2023-11-06,John Jay,57,Penn,102,Penn,15.9765625,-45,-29.0234375
8,2023-11-06,Rivier,51,UMass Lowell,96,UMass Lowell,19.7158203125,-45,-25.2841796875
9,2023-11-06,Tennessee Tech,42,Tennessee,80,Tennessee,42.021484375,-38,4.021484375
10,2023-11-06,Northern Ariz.,52,UConn,95,UConn,45.66796875,-43,2.66796875
11,2023-11-06,Samford,45,Purdue,98,Purdue,43.42578125,-53,-9.57421875
12,2023-11-06,NJIT,60,Miami (FL),101,Miami (FL),27.890625,-41,-13.109375
13,2023-11-06,St. Mary-Woods,60,Indiana St.,90,Indiana St.,33.50390625,-30,3.50390625
14,2023-11-06,Maine,52,Charlotte,69,Charlotte,24.1767578125,-17,7.1767578125
15,2023-11-06,Va. Wesleyan,57,Old Dominion,71,Old Dominion,12.203125,-14,-1.796875
16,2023-11-06,Immaculata,67,Rider,113,Rider,16.59375,-46,-29.40625
17,2023-11-06,Winthrop,56,Clemson,78,Clemson,37.0703125,-22,15.0703125
18,2023-11-06,Radford,70,North Carolina,86,North Carolina,38.96875,-16,22.96875
19,2023-11-06,Monmouth,61,George Mason,72,George Mason,26.28515625,-11,15.28515625
20,2023-11-06,Brown,70,Colgate,72,Colgate,21.44140625,-2,19.44140625
21,2023-11-06,Niagara,63,Notre Dame,70,Notre Dame,24.0078125,-7,17.0078125
22,2023-11-06,N.C. A&T,52,Pittsburgh,100,Pittsburgh,34.28125,-48,-13.71875
23,2023-11-06,Piedmont,86,Coastal Carolina,88,Coastal Carolina,11.5625,-2,9.5625
24,2023-11-06,Longwood,69,St. Bonaventure,73,St. Bonaventure,24.650390625,-4,20.650390625
25,2023-11-06,Vassar,53,Yale,102,Yale,26.384765625,-49,-22.615234375
26,2023-11-06,VMI,75,Richmond,93,Richmond,29.0,-18,11.0
27,2023-11-06,Erskine,58,Gardner-Webb,98,Gardner-Webb,20.080078125,-40,-19.919921875
28,2023-11-06,Mount Olive,66,UNCW,105,UNCW,24.2099609375,-39,-14.7900390625
29,2023-11-06,New Hampshire,72,Syracuse,83,Syracuse,25.0,-11,14.0
30,2023-11-06,Detroit Mercy,60,Toledo,94,Toledo,22.23828125,-34,-11.76171875
31,2023-11-06,UMBC,93,Louisville,94,Louisville,17.0390625,-1,16.0390625
32,2023-11-06,Wash. & Lee,63,Davidson,86,Davidson,22.759765625,-23,-0.240234375
