,date,team,team_score,opponent,opponent_score,home_team,opponent_strength,diff,adjusted_diff
75,2023-11-06,Coast Guard,48,Quinnipiac,116,Quinnipiac,12.4375,-68,-50.5625
76,2023-11-06,Merrimack,55,Vermont,67,Vermont,19.5859375,-12,12.5859375
77,2023-11-06,Regent,29,William & Mary,84,William & Mary,7.90625,-55,-42.09375
78,2023-11-06,Cornell,84,Lehigh,78,Lehigh,11.875,6,22.875
79,2023-11-06,Manhattan,61,Bryant,59,Bryant,15.5,2,22.5
80,2023-11-06,FDU,92,Buffalo,86,Buffalo,4.0,6,15.0
81,2023-11-06,S'western Adventist,59,UTRGV,110,UTRGV,4.25,-51,-41.75
82,2023-11-06,Saint Peter's,59,Seton Hall,70,Seton Hall,24.75,-11,18.75
83,2023-11-06,Millsaps,70,New Orleans,100,New Orleans,9.625,-30,-15.375
84,2023-11-06,American,63,Villanova,90,Villanova,37.0,-27,15.0
85,2023-11-06,Dallas Christian,54,Northwestern St.,101,Northwestern St.,2.03125,-47,-39.96875
86,2023-11-06,Towson,57,Colorado,75,Colorado,33.0,-18,20.0
87,2023-11-06,Lipscomb,59,Wichita St.,76,Wichita St.,21.2734375,-17,9.2734375
88,2023-11-06,Georgia St.,87,Belmont,89,Belmont,16.609375,-2,19.609375
89,2023-11-06,Wagner,64,Fordham,68,Fordham,12.875,-4,13.875
90,2023-11-06,Oral Roberts,71,UT Arlington,75,UT Arlington,15.7578125,-4,16.7578125
91,2023-11-06,Texas St.,66,Little Rock,71,Little Rock,10.75,-5,10.75
92,2023-11-06,Central Ark.,53,Tulsa,70,Tulsa,19.0,-17,7.0
93,2023-11-06,William Carey,42,Southern Miss.,64,Southern Miss.,8.5,-22,-8.5
94,2023-11-06,Western Ill.,68,UTSA,78,UTSA,7.6875,-10,2.6875
95,2023-11-06,UNT Dallas,67,Grambling,82,Grambling,2.1875,-15,-7.8125
96,2023-11-06,Mississippi Val.,60,LSU,106,LSU,23.453125,-46,-17.546875
