Team,Score
Norfolk St.,15.56640625
Notre Dame,24.0078125
Providence,30.04296875
Butler,29.236328125
Florida St.,29.7265625
Charleston So.,9.8203125
Valparaiso,13.22265625
Saint Mary's (CA),37.4375
UNLV,27.234375
South Carolina,33.142578125
Washington,26.91796875
Washington St.,31.623046875
Seattle U,24.705078125
Ball St.,15.25
Northwestern,31.037109375
Oregon St.,18.94921875
New Orleans,3.828125
Northern Colo.,18.546875
Portland,11.25
Wyoming,17.76171875
UConn,45.66796875
Boise St.,30.5
LMU (CA),18.4189453125
LSU,25.7578125
Texas,34.4375
Rhode Island,16.4765625
DePaul,13.033203125
Charlotte,24.1767578125
Fordham,19.62890625
Kent St.,19.515625
Murray St.,20.060546875
Drake,33.4072265625
Indiana,25.57421875
Purdue,43.42578125
Saint Joseph's,26.421875
Buffalo,7.2021484375
Colorado,35.751953125
Oregon,29.66015625
SMU,27.2109375
Kansas,34.25
UCLA,26.1806640625
UTEP,18.8583984375
Syracuse,25.0
La Salle,17.400390625
UAB,27.265625
Texas Tech,32.9169921875
Ole Miss,25.560546875
Loyola Chicago,25.876953125
West Virginia,21.6796875
Southern Ill.,24.10546875
Baylor,37.244140625
Georgia Tech,23.455078125
Stanford,24.73046875
Duquesne,26.6796875
Florida,30.681640625
Gonzaga,37.08984375
California,23.44140625
Penn St.,26.2421875
Oklahoma,31.017578125
Michigan St.,36.78125
Arkansas,25.453125
Iowa St.,39.9951171875
Seton Hall,30.9375
NC State,29.677734375
BYU,36.8046875
UC San Diego,22.71875
Alabama,39.361328125
George Washington,15.6875
VCU,28.125
Vanderbilt,19.5390625
East Carolina,21.2333984375
Tulsa,18.6328125
Ohio St.,30.6953125
Middle Tenn.,13.9453125
Minnesota,29.2255859375
Mississippi St.,30.5205078125
Cincinnati,31.28125
Miami (FL),27.890625
Grand Canyon,29.490234375
California Baptist,19.5625
South Fla.,26.81640625
Hawaii,21.375
Creighton,37.306640625
St. Bonaventure,24.650390625
Illinois,37.953125
TCU,34.333984375
George Mason,26.28515625
Tulane,22.9716796875
Louisville,17.0390625
Eastern Ky.,17.34375
North Carolina,38.96875
Rutgers,25.2890625
Massachusetts,27.47265625
Nebraska,35.515625
Pittsburgh,34.28125
Southern California,27.6875
Coastal Carolina,11.5625
