,year,date,team1,team1_score,team2,team2_score
111,2024,2023-11-06,Binghamton,61,Northwestern,72
112,2024,2023-11-06,Alabama St.,59,Ole Miss,69
113,2024,2023-11-06,Alcorn,59,Arkansas,93
114,2024,2023-11-06,Avila,48,Kansas City,79
115,2024,2023-11-06,Midway,58,Murray St.,91
116,2024,2023-11-06,Bradley,73,UAB,71
117,2024,2023-11-06,Jackson St.,77,Memphis,94
118,2024,2023-11-06,Morehead St.,73,Alabama,105
119,2024,2023-11-06,Loyola Maryland,73,Florida,93
120,2024,2023-11-06,ULM,31,Houston,84
121,2024,2023-11-06,FIU,62,UCF,85
122,2024,2023-11-06,Miami (OH),64,Evansville,72
123,2024,2023-11-06,Lourdes,56,Illinois St.,75
124,2024,2023-11-06,Green Bay,44,Iowa St.,85
125,2024,2023-11-06,New Mexico St.,46,Kentucky,86
126,2024,2023-11-06,Ark.-Pine Bluff,79,Missouri,101
127,2024,2023-11-06,Elon,78,Wake Forest,101
128,2024,2023-11-06,Central Mich.,59,Oklahoma,89
129,2024,2023-11-06,Mobile,83,South Alabama,74
130,2024,2023-11-06,Warner Pacific,36,Idaho St.,92
131,2024,2023-11-06,UIW,56,Texas,88
132,2024,2023-11-06,Tex. A&M-Commerce,46,Texas A&M,78
133,2024,2023-11-06,Kentucky St.,57,Southern Ill.,88
134,2024,2023-11-06,Trinity Christian,61,Valparaiso,100
135,2024,2023-11-06,N.C. Central,56,Kansas,99
136,2024,2023-11-06,Arkansas St.,76,Wisconsin,105
137,2024,2023-11-06,Life (GA),72,Austin Peay,90
138,2024,2023-11-06,Youngstown St.,62,Louisiana,72
139,2024,2023-11-06,Ky. Wesleyan,64,Western Ky.,90
140,2024,2023-11-06,Fisk,61,Tennessee St.,76
141,2024,2023-11-06,Northern Ky.,57,Middle Tenn.,74
142,2024,2023-11-06,NIU,70,Marquette,92
143,2024,2023-11-06,Doane,53,Omaha,85
144,2024,2023-11-06,James Madison,79,Michigan St.,76
145,2024,2023-11-06,S'western Assemblies,63,SMU,82
146,2024,2023-11-06,Blue Mountain (MS),60,North Ala.,93
147,2024,2023-11-06,Dartmouth,54,Duke,92
148,2024,2023-11-06,Mt. Marty,53,South Dakota,85
149,2024,2023-11-06,Northwest Indian,63,Montana St.,103
150,2024,2023-11-06,Abilene Christian,64,Oklahoma St.,59
151,2024,2023-11-06,Southern U.,75,TCU,108
152,2024,2023-11-06,UIC,58,Cincinnati,69
153,2024,2023-11-06,McMurry,71,UTEP,120
154,2024,2023-11-06,Southeast Mo. St.,67,Grand Canyon,88
155,2024,2023-11-06,Jessup ,51,UC Davis,86
156,2024,2023-11-06,Nicholls,81,Tulane,91
157,2024,2023-11-06,St. Thomas (MN),66,California,71
158,2024,2023-11-06,Houston Christian,63,BYU,110
159,2024,2023-11-06,Akron,81,South Dakota St.,75
160,2024,2023-11-06,Colorado Col.,58,Northern Colo.,87
161,2024,2023-11-06,Texas Southern,55,New Mexico,92
162,2024,2023-11-06,Eastern Wash.,66,Utah,101
163,2024,2023-11-06,Portland St.,62,Air Force,55
164,2024,2023-11-06,South Dakota Mines,48,Utah St.,101
165,2024,2023-11-06,Morgan St.,59,Arizona,122
166,2024,2023-11-06,Bethesda (CA),59,San Francisco,128
167,2024,2023-11-06,Kansas St.,69,Southern California,82
168,2024,2023-11-06,Louisiana Tech,73,Colorado St.,81
169,2024,2023-11-06,CUI,64,Pepperdine,76
170,2024,2023-11-06,Southern Utah,72,CSU Bakersfield,73
171,2024,2023-11-06,La Verne,62,Cal Poly,80
172,2024,2023-11-06,Sam Houston,64,Pacific,57
173,2024,2023-11-06,Stanislaus St.,28,Saint Mary's (CA),107
174,2024,2023-11-06,San Fran. St.,57,California Baptist,74
175,2024,2023-11-06,Cal St. Fullerton,57,San Diego St.,83
176,2024,2023-11-06,Long Beach St.,73,Portland,78
177,2024,2023-11-06,Denver,87,UC San Diego,95
178,2024,2023-11-06,Fresno Pacific,66,Fresno St.,77
179,2024,2023-11-06,Idaho,59,Washington St.,84
180,2024,2023-11-06,CSUN,79,Stanford,88
181,2024,2023-11-06,Sonoma St.,64,San Diego,68
182,2024,2023-11-06,Saint Francis (PA),44,UCLA,75
183,2024,2023-11-06,Bellarmine,57,Washington,91
184,2024,2023-11-07,Brescia,41,Jacksonville St.,91
185,2024,2023-11-07,Drexel,61,La Salle,67
186,2024,2023-11-07,Oakland City,49,App State,87
187,2024,2023-11-07,FGCU,63,Indiana,69
188,2024,2023-11-07,Stony Brook,74,St. John's (NY),90
189,2024,2023-11-07,West Va. Tech,72,Eastern Ky.,108
190,2024,2023-11-07,UAlbany,71,Massachusetts,92
191,2024,2023-11-07,Dalton St.,65,Western Caro.,106
192,2024,2023-11-07,Oakwood,46,Kennesaw St.,93
193,2024,2023-11-07,Goshen,40,Ball St.,101
194,2024,2023-11-07,Le Moyne,57,Georgetown,94
195,2024,2023-11-07,Mount St. Mary's,53,Maryland,68
196,2024,2023-11-07,St. Thomas (TX),57,Rice,101
197,2024,2023-11-07,Presbyterian,68,Vanderbilt,62
198,2024,2023-11-07,UNI,77,North Texas,83
199,2024,2023-11-07,North Dakota,68,Iowa,110
200,2024,2023-11-07,UNC Asheville,74,Michigan,99
201,2024,2023-11-07,Northern N.M.,56,Wyoming,104
202,2024,2023-11-07,S'western Adventist,46,A&M-Corpus Christi,111
203,2024,2023-11-07,Vanguard ,55,Boise St.,89
204,2024,2023-11-07,Purdue Fort Wayne,82,DePaul,74
205,2024,2023-11-07,Benedictine Mesa,62,Weber St.,96
206,2024,2023-11-07,Northwest Indian,59,Montana,107
207,2024,2023-11-07,Florida A&M,54,Creighton,105
208,2024,2023-11-07,Auburn,82,Baylor,88
209,2024,2023-11-07,Sacramento St.,63,Nevada,77
210,2024,2023-11-07,UC Irvine,64,San Jose St.,72
